Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords
Yes,,Mikolaj Pawlikowski,Engineering Lead,Bloomberg,,,,Chaos Engineering in 2021,"Chaos Engineering has come a long way in the recent years.

Starting with Chaos Monkey, through the distributed effort, it has evolved into a serious, scientific method of making your software better.

In this talk, Mikolaj Pawlikowski, the author of ""Chaos Engineering: Site reliability through controlled disruption"" will talk about the journey so far, and what lies ahead.

Oh, and we'll see whether sharks are really more dangerous than hamburgers.",https://www.linkedin.com/in/mikolajpawlikowski/,@mikopawlikowski,,,,ce_miko.png,https://youtu.be/g01ObyU3aEU,"chaos engineering,2021"
Yes,,Leonid Belkind,CTO,Stackpulse,,,,Chaos Engineering + Generic Mitigations: The Path to Self-Healing Systems,"Chaos Engineering is a powerful tool to test your resilience when the unexpected occurs. But you also need to build out the practice for what comes next - how you rectify issues caused by unexpected conditions. 

In this talk, Leonid Belkind, StackPulse CTO and Co-Founder, discusses how to use Chaos Engineering together with generic mitigations to deliver resilience that can't be accomplished with either alone. He'll share examples of how to fit these practices together, what's needed to get started, and how to use both together to begin building out self-healing systems.",https://www.linkedin.com/in/leonidbelkind/,@LBelkind,,,,ce_leonid.png,https://youtu.be/Zl0q_JJzCUQ,"generic mitigations,self healing systems"
No,security,Swapnil Deshmukh,CTO,Certus CyberSecurity,,,,Shift up: Continous Security and feedback loop in production,"DevOps engineering culture demands deploying code at lightning speeds. And speed equals carelessness. And carelessness may lead to breach. 

This talk is an introduction to shift up paradigm, think of it as an extension of shift left but a culture that only strives in production. Shift up enables an organization identify, and remediate insecure code and address any security gaps within infrastructural stack in seal-healing and iterative manner. To achieve this end state an organization needs to perform defensive dynamic security testing and test configuration, and system failures against A/B units. These exercises helps validate effectiveness of production's layered protection, which is responsible to protect application code and most importantly customer's data. And last but not the least, building capabilities to identify external-facing assets in continuous manner and monitor it through out its existence. Enabling an organization with a feedback loop between *AST tools (SAST, DAST, IAST, MAST) and layered defenses in production. Further arming them with a protective shield against ever-evolving attacks and ultimately gaining IT utopia!",https://www.linkedin.com/in/swapnil2/,@sec2_0,,,,ce_swapnil.png,https://youtu.be/azofjyUDgJw,"shift up,security,feedback loop"
No,security,Aaron Rinehart,CTO,Verica,David Lavezzo,Director of Cyber Chaos Engineering,Capital One,Cyber Chaos Engineering: How to Implement Security without a Blindfold,"The complex ordeal of delivering secure and reliable software will continue to become exponentially more difficult unless we begin approaching the craft differently.

Enter Chaos Engineering, but now also for security. Instead of a focus on resilience against service disruptions, the focus is to identify the truth behind our current state security and determine what “normal” operations actually look like when it's put to the test.

The speed, scale, and complex operations within modern systems make them tremendously difficult for humans to mentally model their behavior. Security Chaos Engineering is an emerging practice that is helping engineers and security professionals realign the actual state of operational security and build confidence that it works the way it was intended to.",https://www.linkedin.com/in/aaronsrinehart/,@aaronrinehart,https://www.linkedin.com/in/david-lavezzo-44977434/,,,ce_aarondavid.png,https://youtu.be/5-nlCxeQUF4,cyber chaos engineering
No,security,Thibault Koechlin,CTO,CrowdSec,,,,Leveraging the crowd power to regain faith in Internet’s zero trust architecture,"""Did you know that, every day across the Internet, each IP address is scanned hundreds of times? Or that more than 2,000 attacks are perpetrated, stealing 1.4 million personal records? That’s right, every single day! Today, there is a way to rebalance the odds and protect our resources through crowdsourced security and reputation. 

In 2020, our ways of living and working turned completely upside down in a matter of days. We all brought our companies home and our homes in our companies’ systems. Staying connected to our colleagues, friends and family became a critical necessity, which opened the door for hackers to cause disruption and we saw a huge increase of attacks all around the world.

Even though worldwide spending on cybersecurity is predicted to reach $1 trillion in 2021 according to Forbes, the game will still be asymmetrical and all companies will keep being hacked regardless of their security budgets. Expensive security doesn’t mean better security. A new approach is needed and this is why we created CrowdSec.

Join us for this talk so we can explore why a collaborative approach to security could contribute to solving the problem and how we could make the Internet safer together.""",https://www.linkedin.com/in/thibault-koechlin-3061a226/,@Crowd_Security,,,,ce_thibault.png,https://youtu.be/CpcJhMyCw3M,"crowd power,internets zero trust architecture"
No,security,Kennedy Torkura,Cyber Security Engineer,Mattermost,,,,Risk-Driven Fault Injection: Security Chaos Engineering for the Fast & Furious,"""The dynamic nature of cloud-native infrastructure requires continuous security mechanisms to effectively detect security threats, especially those with unknown patterns and behavior. This talk proposes Risk-driven Fault Injection (RDFI) techniques to address these
challenges. Essentially, RDFI applies the principles of chaos engineering to cloud security and leverages feedback
loops to execute, monitor, analyze and plan security fault injection campaigns, based on a knowledge-base.

The knowledge-base consists of fault models designed from secure baselines, cloud security best practices, and observations derived during iterative fault injection campaigns. These observations are helpful for
identifying vulnerabilities while verifying the correctness of security attributes (integrity, confidentiality, and
availability). Furthermore, RDFI proactively supports risk analysis and security hardening efforts by sharing
security information with security mechanisms.  We have designed and implemented the RDFI strategies
including various chaos engineering algorithms as a software tool: CloudStrike. 

Several evaluations have
been conducted with CloudStrike against infrastructure deployed on two major public cloud infrastructure:
Amazon Web Services and Google Cloud Platform. The time performance linearly increases, proportional
to increasing attack rates. Also, the analysis of vulnerabilities detected via security fault injection has been
used to harden the security of cloud resources to demonstrate the effectiveness of the security information
provided by CloudStrike. Therefore, we opine that our approaches are suitable for overcoming contemporary
cloud security issues.
""",https://www.linkedin.com/in/aondona/,@run2obtain,,,,ce_kennedy.png,https://youtu.be/B9_WBz4VJO8,fault injection
No,security,Yury Niño,DevOps Engineer,Aval Digital Labs,Jhonnatan Gil Chaves,DevOps Engineer,Aval Digital Labs,Securing the Cloud: Empowering Developers to practice Security Chaos Engineering,"Cloud platforms must face all kinds of security issues that are frequently a matter for security engineers, not for developers. As a result, security is treated as separate from development. Although sponsors have promoted the integration of security practices into all stages of software development, many developers think security is a topic for other engineering fields. Despite having tools such as Snyk and Blackduck, as result developers are missing the benefits they get from their cloud platforms.  

This talk will show the benefits of practicing security chaos engineering [SCE] by empowering developers to leverage the power of security topics directly. [SCE] offers many advantages that include a reduction in remediation costs, disruption to end-users, and improvement of confidence in production systems. In this talk, we are going to show how this practice has helped us to develop a culture based on security between software developers.

Methodology:
* Present the foundation of the software development life cycle.
* Explore the integration of SDLC, resilience, and security using tools such as Snyk and Blackduck.
* Analyze why developers do not include the security topics in their activities.
* Present a novel practice titled Security Chaos Engineering.
* Show how democratizing security between software developers has shown us the benefits from the distributed, immutable and ephemeral, or DIE, model.
* Show some of the experiments that we are trying in ADL for promoting a culture based on security using SCE.""",https://www.linkedin.com/in/yury-ni%C3%B1o-roa-91752113/,@yurynino,https://www.linkedin.com/in/jhonnatan-gil-chaves-57773919/,@jthan24,,ce_yuryjhon.png,https://youtu.be/W_wazXG70-Y,"cloud,security chaos engineering"
No,security,Romansh Yadav,Senior Security Consultant,Aptiva Corp,,,,Attacking/Defending Mobile Apps Training,"The talk aims to teach attendees Android & iOS application security from basic level to advanced.
​
I will cover architecture, file system, security model, application components, OWASP mobile top 10, Mitigation, toolset, frameworks, techniques used to identify, analyse and exploit vulnerabilities.",https://www.linkedin.com/in/romansh-yadav/,@romanshyadav,,,,ce_romansh.png,https://youtu.be/4WdMWhGrIeQ,"mobile apps,attack,defend"
No,deep dive,Tammy Bryant (Butow),Principal SRE,Gremlin,,,,Chaos Engineering: When The Network Breaks,"Chaos Engineering is a disciplined approach to identifying failures before they become outages. By proactively testing how a system responds under stress, you can identify and fix failures before they end up in the news. Chaos Engineering lets you compare what you think will happen to what actually happens in your systems. You literally “break things on purpose” to learn how to build more resilient systems.

Tammy Butow leads a walkthrough of network chaos engineering, covering the tools and practices you need to implement chaos engineering in your organization. Even if you’re already using chaos engineering, you’ll learn to identify new ways to use chaos engineering to improve the resilience of your network and services. You will also discover how other companies are using chaos engineering—and the positive results they have had using chaos to create reliable distributed systems.

This talk will share how you can accelerate your understanding of how your network can break (packet loss, blackhole attacks, latency injection, and packet corruption) and impact your services.",https://www.linkedin.com/in/tammybutow/,@tammyxbryant,,,,ce_tammy.png,https://youtu.be/vslg-W-ox-k,breaking network
No,deep dive,Paweł Skrzypek,CTO,7bulls.com,Alicja Reniewicz,Full Stack Engineer,7bulls.com,Forecasting based proactive optimization of cloud resources,"Novel concept of advanced adaptation of cloud resource using predicted demand for Cloud resources. Presented approach is using advanced forecasting methods combined with machine learning based solvers, which can dynamically adapt to changed workload. The benefits of that approach will be shown.

The presentation, with the practical examples of the novel approach to proactive optimization of cloud resources based on dynamical and anticipated use of resources. The prediction of application workload is provided as input to the advanced, machine learning based solvers which calculate the optimal deployment plan for the application to anticipate the future needs. The latest state of the art methods are used for forecasting, like ES-Hybrid and advanced Monte Carlo Tree Search based solvers are used to find the optimal solution.",https://www.linkedin.com/in/pawel-skrzypek-836344/,,https://www.linkedin.com/in/alicja-reniewicz-834b321bb/,,,ce_pawel_alicja.png,https://youtu.be/LrPYtefkHJ4,"proactive optimization,cloud resources"
