Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Nick Hodges,Developer Advocate,Rollbar,,,,Self Healing Systems,"SaaS systems enable all kinds of cool new ways of designing and building software applications. 
One way this is manifested through the notion of self-healing systems, that is, systems that monitor and fix themselves.

Through the use of intelligent error monitoring and feature flags, we can start to see applications that can do just that.",https://www.linkedin.com/in/nickhodges,@NickHodges,,,,ce_nick.png,https://youtu.be/UBqouRXnslA,self healing systems,30
Yes,,Zach Wasserman,CTO,Fleet,,,,"Glitches in the Matrix, or Taming Agent Chaos","This talk is accessible to all levels, and will include specific examples from [Fleet's codebase](https://github.com/fleetdm/fleet/) that will engage even advanced practitioners. We will also touch on the capabilities in [osquery](https://github.com/osquery/osquery) that help to improve reliability.

Questions posed and answered from Fleet's experience include:

* Where to focus efforts when considering performance and chaos?
* How does Fleet engineer for resiliency when our users self-host the software and have hundreds of thousands of (potentially misbehaving) agents checking in for * coordination?
* What Go tooling can we use to improve monitoring of the Fleet server both during internal performance testing and while running in production?
* How do we collect information about the infrastructure dependencies (MySQL & Redis) to understand the entire system beyond the code we control?
* How can we ensure osquery agents don't bring down the endpoints they are deployed to protect?",https://www.linkedin.com/in/zacharywasserman,@thezachw,,,C42 Chaos 2022 - Zach Wasserman.pdf,ce_zach.png,https://youtu.be/hBtYFm2m2Lo,"glitches in the matrix, or taming agent chaos",30
Yes,,Ana Margarita Medina,Senior Chaos Engineer,Gremlin,,,,Continuous Reliability. How?,"As engineers we expect our systems and applications to be reliable. And we often test to ensure that at a small scale or in development. But when you scale up and your infrastructure footprint increases, the assumption that conditions will remain stable is wrong. Reliability at scale does not mean eliminating failure; failure is inevitable. How can we get ahead of these failures and ensure we do it in a continuous way?

One of the ways we can go about this is by implementing solutions like CNCF's sandbox project Keptn. Keptn allows us to leverage the tooling we already use and implement pipelines where we execute chaos engineering experiments and performance testing while implementing SLOs. Ana will share how you can start simplifying cloud-native application delivery and operations with Keptn to ensure you deploy reliable applications to production.",https://www.linkedin.com/in/anammedina,@ana_m_medina,,,C42 Chaos 2022 - Ana Margarita Medina.pdf,ce_ana.png,https://youtu.be/5NJk7wc5WII,continuous reliability,30
Yes,,John Engel-Kemnetz,Principal Program Manager,Microsoft,,,,Chaos engineering at Microsoft with Azure Chaos Studio,"Resilience of cloud applications requires collaboration between the cloud provider and the cloud consumer. At Microsoft, we are embodying this ethos with Azure Chaos Studio, a fully-managed chaos engineering experimentation platform for accelerating discovery of hard-to-find problems, from late-stage development through production. 

In this session, we’ll discuss how Chaos Studio is being used by both Microsoft cloud service teams and Azure customers to improve resilience and share some key learnings from putting chaos engineering into action at enterprise scale.",https://www.linkedin.com/in/johnkemnetz,@jkemnetz,,,,ce_john.png,https://youtu.be/c63JZRgRxIQ,azure chaos studio,30
Yes,,Sakshyam Shah,Developer Relations Engineer ,Teleport,,,,Defining Steady States and Developing Hypotheses for Security Chaos Engineering,This talk explores how teams can use existing security frameworks and benchmarks to define a Steady State and develop hypotheses for Security Chaos Engineering.,https://www.linkedin.com/in/sshahconnects,@sshahtweets,,,,ce_sakshyam.png,https://youtu.be/cYx5gVYj97Q,steady states developing hypotheses,30
Yes,,Gunnar Grosch,Senior Developer Advocate,AWS,,,,Chaos engineering for serverless with AWS Fault Injection Simulator,"Companies of all sizes and industries perform chaos experiments on instance- and container-based workloads. However, serverless functions and managed services present different failure modes and levels of abstraction. 

This session looks at forming hypotheses to fit serverless, what the experiments can achieve, and how to perform them safely using AWS Fault Injection Simulator and open-source libraries.",https://www.linkedin.com/in/gunnargrosch/,@GunnarGrosch,,,,ce_gunnar.png,https://youtu.be/xNhWZkBslUQ,serverless aws fault injection simulator,30
No,getting started,Narmatha Bala,Senior Software Engineering Manager,Microsoft CSE,,,,Confidence in Chaos - How properly applied observability practices can take the ‘chaos’ out of chaos testing,"Everyone wants to use observability because it can reduce time between a problem and a solution, but there is a difference between applying traditional observability practices and how they are applied for each custom project and scenario. Narmatha Bala is a Senior Software Engineering Manager in the Commercial Software Engineering (CSE) team and runs the Observability chapter of the CSE Engineering Playbook, a best practices guide put together by development teams to accelerate the sharing of how best to work together, to quickly transfer learnings across teams with customers, particularly with new technologies and projects as a way to enable customers to carry the work forward and continue the development. CSE is a global engineering organization that works directly with the largest companies and not-for-profits in the world to tackle their most significant technical challenges. 

In this talk, Narmatha will share her experiences in instilling Observability best practices with engineers who use best utilize observability in applications versus engineers that think they do. She will cover why actionable failures are a good thing in system design, how to best define Service Level Agreements and Objectives (SLAs, SLOs), and where monitoring fits into the process. This talk is best suited for intermediate practitioners who want to improve their chaos testing by improving their observability practices. 
",,,,,C42 Chaos 2022 - Narmatha Bala.pdf,ce_namatha.png,https://youtu.be/KEP0VZUhQ40,observability confidence observability practices,
No,getting started,Ayelet Sachto,Strategic Cloud Engineer,Google,,,,Maintaining Reliable systems: How to minimize Incident's impact?,"Incidents are expensive to the business, especially if customers leave us if we are perceived as unreliable. But failures will happen, it's not an issue of IF, but a question of when. So how can we reduce the impact on our users?
In this talk, I will review the production incident cycle, the time that we are not reliable and our users are not happy which includes the time to detect, time to repair and time between failures.  I'll share a few methods to tackle each one of those parts in order to minimize incident impact both from technical and people aspects, expending on incident response and postmortems to know what is the most important thing for us, and we want to be data driven in those decisions.

",https://www.linkedin.com/in/ayelet-sachto,@ayeletsachto,,,,ce_ayelet.png,https://youtu.be/u24KSshT2js,reliable systems minimize incident's impact,
No,getting started,Paul Marsicovetere,Senior Cloud Infrastructure Engineer,Formidable,,,,Optimizing incident response thanks to Chaos Engineering,"When some groups think of chaos engineering, they may think of how the principles and experiments can add resiliency, security and performance improvements to a system. I too was of that mindset until performing a focussed chaos engineering experiment, which lead to some helpful conclusions that were then utilized during a production incident.

This talk will demonstrate how these experiments eventually led to key discoveries in a system and how during a production incident, the conclusions artifact was utilized to assist with incident response. Had the chaos experiment not been performed, incident response would have taken much longer and would have been more painful for end-users.

My goal is to help provide another answer to the question ""why chaos engineering?"". Incident response is always in need of constant improvement and refinement, and chaos engineering is a tool that can most certainly help us.",https://www.linkedin.com/in/paulmarsicovetere,@paulmarsicloud,,,C42 Chaos 2022 - Paul Marsicovetere.pdf,ce_paul.png,https://youtu.be/UbugZS4eK4s,optimizing incident response,
No,getting started,Kyle Shelton,Chaos & Reliability Engineering & Builder,AWS,,,,Disaster Recovery preparedness using Chaos Engineering,"In the context of disaster recovery, we use Chaos Engineering to recreate or simulate the actual event. This gives us the opportunity to test our Disaster Recovery Plan and our response procedures in a controlled scenario, as opposed to recreating disaster-like conditions manually or waiting for a real disaster.  By solidifying your disaster recovery plan through chaos engineering, you can be confident that the next big AWS service event will have little to no impact on your customers. 

The agenda of this talk is:
What is DR and Why do I need it 
How to use chaos engineering to help with DR Planning
How to identify critical asset and create RPO/RTO
Fire drills and DR plan Confidence

 ",https://www.linkedin.com/in/kyleshelton5/,@chaoskyle55,,,,ce_kyle.png,https://youtu.be/9den8fe82ck,disaster recovery preparedness,
