Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Teaser
Yes,,Or Elimelech,SRE Lead,StackPulse,Eldad Rudich,Director of Engineering,StackPulse,"How we used Open-Source tools to create Puerta, a gating service for Flagger","At StackPulse we use a full CI/CD pipeline with FluxCD + Flagger, in order to support our CD culture needs. We also developed Puerta — a homegrown gating service that implements the Flagger webhook phases to support time-based approvals, triggering E2E jobs (CircleCI etc.), load-testing and auto release to production once canary passes on staging.

In this session, we’ll discuss why and how we built Puerta and dig into three key areas:
- How to customize your CD workflow to fit your needs and culture
- How to empower developers so they can quickly deploy their code securely 
- How we dedicated time and resources to developing this internal CD service",https://www.linkedin.com/in/0r3limelech/,@orelimelech_,https://www.linkedin.com/in/eldad-rudich/,@d3bu9,,cloud_or_eldad.png,https://youtu.be/Vs_kTJ8rOBw,"open source gating service,flagger",
Yes,,Michael Sickles,Solution Architect,Honeycomb.io,,,,Using OpenTelemetry in a polyglot environment,"Michael Sickles will walk through instrumenting the Google Microservices demo app in OpenTelemetry. 

This demo app uses Go, Java, NodeJS, .Net, and Python all communicating in a distributed microservice architecture.  

Michael will talk about the challenges he faced to get everything to connect and show up in a single OpenTelemetry Trace.  ",https://www.linkedin.com/in/msickles/,@McSick90,,,Conf42 Cloud Native 2021 - Michael Sickles - Instrumenting a polyglot system with OpenTelemetry.pdf,cloud_michaels.png,https://youtu.be/RyxqYe8TGJU,"telemetry,polyglot environment",
Yes,,Josh Stella,CTO,Fugue,,,,Locking Down the Security of IAM,"If you use Amazon Web Services (AWS), you’re probably making extensive use of AWS Identity and Access Management (IAM). It’s a powerful service for managing access to your AWS services and resources that is almost like a new kind of network in the cloud. 

But for enterprise cloud environments, AWS IAM security can become quite complex. Recent high-profile cloud-based data breaches have involved AWS IAM but cannot be chalked up to simple customer mistakes. Rather, advanced cloud misconfiguration attacks exploit IAM misconfigurations that compliance controls and security professionals often miss. 

In this session, Josh will walk through some of these  IAM misconfigurations, using the AWS console to demonstrate  to  participants how to avoid becoming a victim of cloud exploits through IAM.  Josh will dig into AWS IAM and take us on a deep dive into the layers of AWS IAM and how malicious actors can exploit common misconfigurations to gain access to—and extract—data without detection. 

You’ll understand how to identify AWS IAM misconfiguration vulnerabilities you’ve missed before—and how malicious actors exploit them.

In this talk, Fugue co-founder and CEO,  Josh Stella digs into how AWS IAM works to help you think more critically about the security for your AWS use cases. You’ll understand how to identify AWS IAM misconfiguration vulnerabilities you may have missed before—and how malicious actors exploit them.
 

",https://www.linkedin.com/in/josh-stella-949a9711/,@Joshstella,,,,cloud_josh_new.png,https://youtu.be/fBI8nWRuPkg,"security,iam",
Yes,,Uma Mukkara,CEO,Chaos Native,,,,Chaos Engineering for Cloud Native,"Reliability is key to adoption and scale of cloud native systems. Chaos Engineering is a way of measuring how reliable the services are. There are a host of ways to use Chaos Engineering in DevOps. 

This session describes the importance of Chaos Engineering and best practices around them specifically to Cloud Native environments.",https://www.linkedin.com/in/uma-mukkara/,@Uma_Mukkara,,,Conf42 Cloud Native 2021 - Uma Mukkara - Chaos Engineering in the Cloud.pdf,cloud_uma.png,https://youtu.be/VNhGNy10QnM,"reliability,cloud native systems",
No,deep dive,Natalie Pistunovich,Lead Developer Advocate,Aerospike,,,,Building a K8s Operator for a Distributed Database,"How did we build a k8s operator that allows 100% up time for a high availability high workload database?

Operating a distributed high load, high throughput database in the cloud comes with several interesting challenges. In order to manage real-time serving of mission critical workloads at 100% availability we developed a Kubernetes operator that handles the operational complexities.
 
We needed to handle the following requirements: 
- Apply live patches
- Replace live cluster with tens of nodes
- Handle degraded/crashed nodes 

Under these conditions: 
- High Availability - remain 100% online with no down time
- Operate under very high workloads and traffic 
- Manage replicated records across different hardware failure groups (rack awareness)

Due to its stateful nature and the type of workloads that are usually handled, cluster management and recovery are non-trivial. We are using the Operators API to handle that complexity and control the clusters from within Kubernetes.

In this talk we’ll cover the steps we took to plan and execute and the challenges we faced and share the best practices.
",https://www.linkedin.com/in/nataliepistunovich/,@nataliepis,,,Conf42 Cloud Native 2021 - Natalie Pistunovich - K8S Operator Distributed Database.pdf,cloud_natalie.png,https://youtu.be/UfGy6jgjaTI,"k8s operator,distributed database",
No,deep dive,Adam Gordon Bell,Developer Advocate,Earthly,,,,Compiling Containers,"What happens when you take a Dockerfile and build it? How is the series of commands executed and turned into a docker image and then a container?

The answer is BuildKit. BuildKit is an OCI image builder and it is behind every docker build and the secret sauce in several other projects.

In this talk, I will explain how BuildKit works. We will learn it is a compiler and like many compilers, it has a frontend, a backend, and an internal representation (IR). As we will learn about this hidden gem we will also learn a little bit about compilers and containerization.",https://www.linkedin.com/in/adamgordonbell/,@adamgordonbell,,,,cloud_adamgordon.png,https://youtu.be/RHqNNTqmfEA,compiling containers,
No,deep dive,M4dz,Tech Evangelist - Developer Advocate,alwaysdata,,,,Cgroups for the best: Using container technologies as a PaaS provider,"Kubernetes, Docker, LXC, Virtual Machines, Micro-services… And what if all the trendy tail of containers isn't just f** up? Let's see how we run isolation and containers in our PaaS using POSIX and Linux native features: Cgroups!

We power a PaaS platform, but we don't choose to rely on fancy containers technologies to run isolation. Instead, we intensively rely on permissions and cgroups. Here's an explanation of our architecture, how we use it in production, and why we made those choices that we support for a while now. A proper introduction to isolation in production, for a lightweight environment, far away from Docker, Kubernetes, and others trendy stuff.",https://www.linkedin.com/in/m4d-z/,@m4d_z,,,,cloud_madz.png,https://youtu.be/A2QY5PXmahU,"cgroups,container technologies,paas provider",
No,deep dive,Mary Grygleski,Developer Advocate,IBM,,,,Exploring Stateful Microservices built with Open Liberty in Kubernetes,"How does one choose to architect a system that has a Microservice / REST API endpoints?  There are many solutions out there.  Some are better than others.  Should state be held in a server side component?  Generally we are told this is a bad practice, but is it?  It’s unclear and this confusion may lead to poor technology stack choices that are impossible or extremely hard to change later on as your system evolves in terms of demand and performance.

We learn from the experience of others.  Choosing who to follow is hard and this topic will help you the developer or technical decision maker to meet your company’s I.T. demands in the modern world.  We will explore into a tried and true, enterprise-grade, Java Open Source stack - Open Liberty in Kubernetes - which exercises and promises to fulfill the expectations of a modern server solution that epitomizes all the elements needed to build, run and deploy an efficient production system today.

We will examine and demonstrate the fundamentals of such a system that’s built with Open Liberty in Kubernetes:
* Microservices/REST API –  Options to use when running your apps in the JVM
* Concurrency – how to take advantage of multi-core CPUs and clustered distributed systems 
* Stateful vs Stateless - while stateless apps are easier to implement, the bulk of the apps in production are stateful which involve a higher level of complexity and risk, especially when data would need to travel across multiple machine and network boundaries
* Deployment – how about containerization and orchestration using Kubernetes?
",https://www.linkedin.com/in/mary-grygleski/,@mgrygles,,,Conf42 Cloud Native 2021 - Mary Grygleski - Stateful Microservices.pdf,cloud_mary.png,https://youtu.be/6uQ_TzC1Vbk,"stateful microservices,open liberty,kubernetes",
No,deep dive,Ismael Hommani,Cloud Native Developer,WeScale,Joachim Rousseau,Coding Architect,WeScale,The Cloud: Application and Configuration,"Cloud is now well accepted in development practices. Projects with no cloud element are more the exception than the rule. However, this new paradigm requires adjustment for your workloads. It is not just about containerization, micro-service approach or managed services usage.

Code organisation must also reflect the adoption of this new paradigm.

Configuration is part of it. Traditionally thought as an operational element, it becomes more and more prevalent in an environment where high-scalability, distribution but also failures are the watchwords.

How to guarantee the consistency of our configuration amongst the thousands of instances that represents our applications ? How to automate the entire configuration lifecycle ? Should we even think about live configuration update? 
Questions that predate the cloud era but that have been exacerbated by the cloud arrival.

In this session we would like to introduce you with a Cloud-Native pattern called “Configuration layer”. Through theory and practice, we would like to demonstrate the elegance of the approach in a Cloud-Native environment to industrialize your configuration management.",https://www.linkedin.com/in/%F0%9F%92%BB-ismael-hommani%E2%98%81%EF%B8%8F-37b45576/,,https://www.linkedin.com/in/joachimrousseau/,,Conf42 Cloud Native 2021 - Ismael Hommani Joachim Rousseau - Cloud Native Configuration.pdf,cloud_ismael_joachim.png,https://youtu.be/b5-qxyangIs,"cloud,application,configuration",
No,deep dive,Phil Wilkins,Senior Consultant & Tech Evangelist,Capgemini,,,,Making Logs Work for you with Fluentd,"Understanding what is happening with a distributed solution can be challenging. Whilst the solution space for monitoring and application log management is mature, there is a tendency for organizations to end up with multiple tools which overlap in this space to meet different team needs – result multiple agents/probes on every server. Many of these tools work by bulk central analysis rather than enabling events of interest to be spotted as they’re logged.

Fluentd presents us with a means to simplify the monitoring landscape, address challenges of hyper-distribution occurring with microservice solutions, allowing different tools needing log data to help in their different way. Without imposing a specific analysis tool on relevant teams.

In this session, we’ll explore the challenges of modern log management.  We’ll look at how Fluentd works and what it can bring to making both development and ops activities easier.  To do this we’ll explore and demos some examples of Fluentd and how it makes life easier & more efficient.",https://www.linkedin.com/in/philwilkins/,@mp3monster,,,Conf42 Cloud Native 2021 - Phil Wilkins - Making Logs Work for you with Fluentd.pdf,cloud_phil.png,https://youtu.be/-HbNuEAT6BA,"logs,fluentd",
No,deep dive,Akanksha Sheoran,EMEA Business Development Manager,AWS,,,,"Save, Grow and Innovate using AWS Databases ","In this session, you will learn how AWS databases help you save cost, increase agility and innovate faster. We will also look into our NO-SQL database portfolio and Managed open source DB's ",https://www.linkedin.com/in/akanksha-sheoran-26535520/,@akankshasheoran,,,"Conf42 Cloud Native 2021 - Akanksha Sheoran - Save, Grow and Innovate using AWS Databases.pdf",cloud_akanksha.png,https://youtu.be/TbVJD1qUtQk,"save,grow,innovate,databases",
No,deep dive,Rafał Leszko,Cloud-Native Team Lead ,Hazelcast,,,,Architectural Caching Patterns for Kubernetes,"Kubernetes brings new ideas of how to organize the caching layer for your applications. You can still use the old-but-good client-server topology, but now there is much more than that. This session will start with the known distributed caching topologies: embedded, client-server, and cloud. Then, I'll present Kubernetes-only caching strategies, including:
- Sidecar Caching
- Reverse Proxy Caching with Nginx
- Reverse Proxy Sidecar Caching with Hazelcast
- Envoy-level caching with Service Mesh

In this session you'll see:
- A walk-through of all caching topologies you can use in Kubernetes
- Pros and Cons of each solution
- The future of caching in container-based environments",https://www.linkedin.com/in/rafal-leszko/,@RafalLeszko,,,Conf42 Cloud Native 2021 - Rafal Leszko - Architectural Caching Patterns for Kubernetes.pdf,cloud_rafal.png,https://youtu.be/3FE1wMMfw2w,"architectural caching patterns,kubernetes",
No,deep dive,Ricardo Miranda,Big Data Consultant,Closer Consulting,,,,Automation is where a project starts,"Cloud native is all about speed, time from merging a PR to have this feature in production is priceless. The unique successful path is starting automation development immediately. 

This strategy as the side effect of incrementally hardening the automation layer, testing in prod the automation layer.",https://www.linkedin.com/in/ricardocmiranda/,,,,Conf42 Cloud Native 2021 - Ricardo Miranda - Automation is where a project starts.pdf,cloud_ricardo.png,https://youtu.be/Ii-Bc3D0aUc,automation is where a project starts,
No,multi-cloud,Adrienne Tacke,Senior Developer Advocate,MongoDB,,,,Multi-Cloud Magic: Leveraging Multi-Cloud Clusters in Real-World Scenarios,"Public, Private, Hybrid...Multi-Cloud?

As the cloud development options and architectures continue to evolve, we've finally found ourselves at the next new thing: Multi-Cloud. What is it? Do we really need it? How would you take advantage of a multi-cloud solution?

In this talk, I'd like to describe a few real-world use cases where a multi-cloud solution is currently in production, specifically when it comes to data. 

Specifically, we'll see how multi-cloud helps:
- Data Sovereignty scenarios
- Fulfill varied client cloud requirements
- Developers have more freedom in choosing services
- Achieve greater availability

A demo on how to setup a multi-cloud cluster will also be shown.

The audience will leave with a more confident understanding of real-world, multi-cloud use cases and see how to create their own!",https://www.linkedin.com/in/adriennetacke/,@AdrienneTacke,,,Conf42 Cloud Native 2021 - Adrienne Tacke - Multi-Cloud Magic.pdf,cloud_adriennetacke.png,https://youtu.be/-IBtLTprnfY,"multi-cloud magic,clusters",
No,multi-cloud,Leonardo Murillo,CTO,Qwinix,,,,Doing GitOps for multi-cloud resource management using Crossplane and Flux2,"How would you like for resources to be automatically created across any clouds of your choosing by simply pushing a manifest to a repository? In this talk we'll see hands on how to do multi cloud management following the GitOps operating model by leveraging Flux2 and Crossplane!

A continuous delivery world without pipelines, with automatic reconciliation of resources eliminating all drift in configuration, everything versioned and everything declarative! That is what GitOps is all about. What if only you could follow this same operating model for all your cloud resources, across any public cloud?

In this talk you'll learn how to do precisely that! We will be using Flux2 and Crossplane, and you will see hands on how, using these two CNCF projects, you can manage your entire multicloud architecture using Kubernetes as your control plane while following the GitOps principles.

You will learn to:
- Install Flux2
- Using Flux2, install Crossplane in your cluster
- Configure AWS and GCP providers for Crossplane
- Deploy resources across both clouds with nothing but a push to the repo

This talk is all about code! A couple of slides in the deck to give a brief intro of GitOps and the two projects we'll be using, and then it's all live code!",https://www.linkedin.com/in/leonardomurillo/,@murillodigital,,,,cloud_leonardo.png,https://youtu.be/AyRhi92v9O0,"gitops,multicloud,crossplane,flux2",
No,multi-cloud,Lawrence Finn,Author,Cloud Sidecar,,,,Enabling multi-cloud and breaking vendor lock-in with Cloud Sidecar,"Many companies want to become multi-cloud or have the ability to switch clouds. However, cloud providers try hard to lock in customers with proprietary services like storage. Cloud Sidecar provides a simple way to take existing software and deploy it to different clouds without complex rewrites.

Cloud providers offer numerous services that abstract away common problems from software developers.  No longer do companies need to manage their own file storage solutions, message queues, key-value stores, etc...  The problem is, once you start building software on top of these services you get locked into that specific cloud provider.  This is better known as vendor lock-in.  Of course, the more services you use the harder it is to go multi-cloud or switch clouds.  

Cloud Sidecar solves the problem of vendor lock-in by converting requests from one cloud's API to another cloud's API.  So if your applications use Amazon Web Services' S3 and SQS, you can easily deploy Cloud Sidecar next to your application and now it automatically uses Google Cloud's GCS and Pubsub.  Learn about Cloud Sidecar, how it works, how easy it is to modify your software to use it, and how you can deploy it.",,@lawrencefinn,,,Conf42 Cloud Native 2021 - Larry Finn - Enabling multi-cloud and breaking vendor lock-in with Cloud Sidecar.pdf,cloud_lawrence.png,https://youtu.be/2LMFVjv6kJo,"multi-cloud,breaking,cloud sidecar",
No,multi-cloud,Paweł Skrzypek,CTO,7bulls.com,Alicja Reniewicz,Full Stack Engineer,7bulls.com,Autonomous Multi-Cloud serverless deployment and optimized management,"The dynamic development of Cloud Computing with the introduction of novel Cloud computing models like serverless creates new challenges for Cloud deployment. 

This presentation describes how to implement Multi-Cloud native strategies using advanced an open source framework that allows for Cloud-agnostic Multi-Cloud deployment and optimized management of the serverless applications based on flexible monitoring, context aware maximization of the application owner’s utility of the deployed serverless components, and autonomic reconfiguration based on the application’s current execution context.

All stages of the cloud deployment planning and designing process will be shown. Also, the key execution steps will be provided.
",https://www.linkedin.com/in/pawel-skrzypek-836344/,,https://www.linkedin.com/in/alicja-reniewicz-834b321bb/,,,cloud_pawel_alicja.png,https://youtu.be/VKKupHojptA,autonomous multi-cloud serverless deployment,
No,security,Ara Pulido,Developer Relations,Datadog,,,,Embracing change: Policy-as-code for Kubernetes with OPA and Gatekeeper,"Sometimes, RBAC is not enough: we need ways to define and enforce fine-grained policies for our clusters.

Gatekeeper and OPA make it easy to adopt policy-as-code practices in Kubernetes. You’ll learn how to adopt these techniques and how to integrate Gatekeeper with your existing tools.

Kubernetes provides a native Role based access control (RBAC) authorization scheme, allowing cluster operators to define rules to define which operations users or services can do against a particular Kubernetes object. As more enterprises migrate to cloud native environments like Kubernetes, RBAC alone presents limitations. The need for more scalable ways to define and enforce fine-grained policies increases: how can I limit the number of replicas of a pod for certain users? how can I ensure that all images come from trusted registries?

In this talk we will demo Gatekeeper for Kubernetes environments. You’ll learn how to adopt policy-as-code techniques and how you can integrate Gatekeeper with your existing tools. ",https://www.linkedin.com/in/arapulido/,@arapulido,,,Conf42 Cloud Native 2021 - Ara Pulido - Embracing change_ Policy-as-code for Kubernetes with OPA and Gatekeeper.pdf,cloud_arapulido.png,https://youtu.be/l-3tBjuPv_I,"poilcy-as-code,kubernetes,opa,gatekeeper",
No,security,Mofizur Rahman,Developer Advocate,IBM,,,,Kubernetes Security Jumpstart,"Kubernetes makes it possible to run containerized application at scale. It solves many problems of microservice architecture by abstracting away things like container deployment, container-to-container communication, load balancing. While Kubernetes is great at it many things, it seems to be lacking in terms of security. It has some security features but in most respect it is not production grade security, at least not by default.

If you are thinking about or already started with Kubernetes for your production workload, there are some steps you could follow to make sure your environments sand applications is secure. 

In this talk we will discuss some best practices for Kubernetes security. From container image to secret management, we will try to cover it all. And after this talk hopefully we will all be in a better position to harden and secure our Kubernetes cluster.",https://www.linkedin.com/in/moficodes/,@moficodes,,,,cloud_mofizur.png,https://youtu.be/FGfsf2pyF5Y,"kubernetes,security,jumpstart",
No,security,Brian Vermeer,Developer Advocate,Snyk,,,,Securing Containers by Breaking In,"There’s no better way to understand container security than seeing some live hacking! This session introduces the state of docker security by reviewing vulnerabilities in Docker images and their impact on applications and demonstrates via hands-on live hacking. 

This session further provides the audience with security best practices when building docker container images, and each successful hack will help you better understand the mistakes you can make, their implications, and how you can avoid them.",https://www.linkedin.com/in/brianvermeer/,@BrianVerm,,,Conf42 Cloud Native 2021 - Brian Vermeer - Securing Containers by Breaking In.pdf,cloud_brianvermeer.png,https://youtu.be/YVUDklRY9m4,containers breaking in,
No,security,Vandana Verma,Security Architect,IBM,,,,Journey towards Secure Architecture in the Cloud,"Organisations are moving to cloud due to easy of use, scalability, computing services and many more things that cloud has to offer. Tough times have changed the paradigm to a new level where organisations which were only in the planning stage are now on the cloud. However, when cloud offers the benefits, there are certain Risks that also come with it. The stepping stone while taking the step forward towards cloud is Architecture Review or Secure Architecture Review.  We will be touching up various clouds.

This talk will cover the following aspects around Cloud Services.
1. Basics of Cloud Security Architecture and why to need an Architecture Review
2. Architecture Review Methodology
3. How is it useful?
5. What the developers or admins have to keep in mind ",https://www.linkedin.com/in/vandana-verma/,@InfosecVandana,,,Conf42 Cloud Native 2021 - Vandana Verma - Building secure architecture in the cloud.pdf,cloud_vandana.png,https://youtu.be/7qNlwtiY43I,secure architecture,
No,security,Stuart Green,Cloud Security Architect,Check Point Software Technologies,,,,Cloud Threat Landscape - 2021,"This session reveals Check Point Research (CPR) latest Cloud related findings. From a fraudulent wire transfer initiated through an email compromised on a cloud app to a vulnerability within a public cloud infrastructure, CPR analyse the latest risks and threat landscape of public cloud. 

The session will also include global threat intelligence stats related to COVID-19 and public cloud.",https://www.linkedin.com/in/stuartg/,,,,Conf42 Cloud Native 2021 - Stuart Green - Cloud threat landscape.pdf,cloud_stuart.png,https://youtu.be/tDq2viQr5ZU,loud thread landscape 2021,
No,security,Ashish Rajan,Producer and Host,Cloud Security Podcast,,,,Truth about running Cloud Security Assessments in 2021,"This talk is a Practitioners story on what it is really like to run Cloud Security Assessment compared to what the blogs and Cloud Service Provider documentation will tell you. There are some hard truths here, some Cloud Security Assessors might not like me giving away the reality but it is better out than in. 

I share Real world Assessment stories and how it differs from documentation and some automation tools that I personally use for running automated security scans  

If you are a seasoned Cloud Security Assessment running person or If you are looking at starting to do Cloud Security Assessment in Cloud, you will get a glimpse of what that world really looks like. You might not like me if you are CSPM but the truth has to come out. ",https://www.linkedin.com/in/ashishrajan/,@hashishrajan,,,"Conf42 Cloud Native 2021 - Ashish Rajan -Truth about running Cloud  Security Assessment in 2021,pdf",cloud_ashish.png,https://youtu.be/LMa3gQR1jFU,Cloud Security Assessments in 2021,
