Title,Abstract,Name1,Company1,url
Scalability and Cloud Native Architecture on AWS,"This talk aims to explore systems that must grow alongside business outcomes. I will first discuss when it is optimal to scale cloud resources. Then, I will talk about leveraging architectural patterns to gain the most from AWS and build scalable, secure, and performant data systems. The audience will be equipped with tools to assess the effectiveness and cost-efficiency of their systems by interpreting vital signs. This informative presentation is suitable for individuals of all expertise levels. Practical illustrations from real-world scenarios will animate the concepts and highlight the inevitable trade-offs technologists will encounter. Rather than fixating solely on technological perfection, I will underscore the significance of evaluating various business outcomes.
",Gaurav Raje,,
From Baremetal to Kubernetes: YDB’s Journey,"This case study aims to demonstrate how large-scale bare-metal deployments of stateful applications, like YDB, an open-source distributed database, can be integrated into Kubernetes. It has long been assumed that Kubernetes is primarily suited for stateless applications. However, in this talk, we will explore the challenges of managing stateful workloads: for instance, how to solve a particular problem of attaching YDB to raw block devices to achieve optimal performance while maintaining security.

Additionally, Kubernetes itself offers significant value. With the help of a Kubernetes operator, maintenance tasks can be automated, ensuring database cluster awareness. For example, during version updates, it is crucial to bulk-update only the nodes that won't impact the overall performance of the database cluster.

Applications rarely require access to drives as raw block devices. In order to obtain maximum performance, YDB communicates with drives in block mode, without any filesystem. A number of issues arise. How to maintain POSIX locks on drives, so that each drive can be used only by one container at a time? We will share our experience and several useful practices developed along the way.",Egor Tarasov,,
Scaling Secrets in Kubernetes: A Secure Multi-Cluster Approach,"A secret is any piece of information that you want to keep confidential, such as API keys, passwords, certificates, and SSH keys.

External Secrets Operator is an open source Kubernetes operator that integrates external secret management systems like HashiCorp Vault, Google Secrets Manager and many more. The goal of External Secrets Operator is to synchronise secrets from external APIs into Kubernetes. It reads information from external APIs and automatically injects the values into a Kubernetes Secret. If the secret from the external API changes, the controller will reconcile the state in the cluster and update the secrets accordingly.

To manage secrets across multiple Kubernetes clusters, External Secret Operator can be deployed in the management cluster. Sveltos can then be used to distribute the secrets to managed clusters.

The integration of External Secrets Operator and Sveltos enables a powerful solution for managing secrets in a Kubernetes environment.

By combining these tools, platform admin can effortlessly fetch secrets from external secret management systems and securely distribute their content to a multitude of Kubernetes clusters.

The integration of External Secrets Operator and Sveltos brings several benefits:
- Centralized Management: Secrets are managed and retrieved from external systems within the management cluster, streamlining the process and reducing complexities.
- Enhanced Security: Secrets are encrypted and stored securely in the external secret management systems, ensuring data confidentiality.
- Automated Updates: When secrets change in the external secret management systems, the External Secrets Operator automatically updates the Kubernetes Secrets in the management cluster, ensuring synchronization.
- Consistency Across Clusters: Sveltos ensures that fetched secrets are consistently distributed to all managed clusters, providing a unified and secure approach to secret management.
- Scalability: The solution is designed to scale efficiently, accommodating a multitude of Kubernetes clusters while maintaining performance and security standards.",Gianluca Mardente,,https://www.linkedin.com/in/gianlucamardente/
"From edge to cloud, creating data pipelines using open-source technologies on Kubernetes.","During this presentation, we embark on an immersive journey into a tangible scenario—an exemplification of the process of capturing real-time modifications within a relational database. The focal point is a meticulously configured connector that harnesses the capabilities of Debezium and Apicurio Registry. This captured data is then seamlessly channeled into Kafka, adopting Avro's compact binary format. To fully unlock the potential of this captured data, tools like ksqldb and kafka-ui step into the spotlight. These instruments not only visualize the dynamic changes but also empower users to curate streams and craft queries that operate atop this streaming data landscape. Join us in this session to navigate the intricacies of this transformative narrative.",Carles Arnal,,
Mastering Generative AI: Harnessing AWS GenAI for Your Solutions,"AWS GenAI offers a plethora of tools for generative AI applications. In this talk, we'll journey through the suite of offerings from Amazon Bedrock's scalable solutions to the cost-effective training and inference capabilities of AWS Trainium and Inferentia. We'll discuss how Amazon CodeWhisperer can supercharge your coding efforts and delve into the power of Hugging Face on AWS. We will also explore Amazon SageMaker's capabilities for building, training, and deploying generative models. Come, join us as we unravel the complexities of AWS GenAI and pave the way for innovation and efficiency.",Samuel Baruffi,,
Ephemeral Environments 101,"## What are ephemeral environments?
Ephemeral environments are standalone deployments of your feature branches. In order to provide value to your SDLC, they must mimic production. This means they'll have production-like data and dependencies. Ephemeral environments are the modern answer to the archaic 24/7 staging environment: they can be spun up upon a PR, and spun down upon merge. 

## Why should I use ephemeral environments?
Running your E2E tests in staging is becoming an anti-pattern. You can shorten the inner dev loop by building environments based on each feature branch. This way, as soon as a dev completes a feature, they can run their E2E suite directly against the branch and fix any bugs right when the tests complete. Catching bugs on feature branches leads to fewer bugs in staging *and* production. 

Not only are ephemeral environments a solution for testing, but they also make cross-team collaboration easier. Instead of a screen-share Zoom call, you can send your peers SSO-enabled links to your environments. This way, they can interact with your feature branch's environment and provide async feedback.

## How do I build my own ephemeral environment solution?
Since ephemeral environments are elastic, you'll want to use Kubernetes to scale your services. Each of your app's services should exist within a container so they remain secure and are packaged with all required dependencies. It is best practice to use Docker Compose as your application definition.",Natalie Lunbeck,,
Unlock the Power of Serverless Computing with Cloud Functions,"As a speaker, I would also disucss:
- Presenting case studies of example serverless applications that have been built with Cloud Functions.
-Our session dives into the transformative world of serverless computing, unpacking its benefits and guiding attendees through Cloud Functions' features for seamless application development and deployment

And why I am the person for it as I have disucssed this sort of topic before in conferences like HashiTalk ,Devfest and more .",Neel Shah,,https://www.linkedin.com/in/neel-shah-07460218a/
Practical AI with Machine Learning for Observability in Netdata,"Machine Learning for observability can be challenging, given the uniqueness of each workload. However, we can leverage ML to detect individual component anomalies, even if they are sometimes noisy/imprecise. At Netdata, we use ML models to analyze the behavior of individual metrics. These models adapt to the specific characteristics of each metric, ensuring anomalies can be detected accurately, even in unique workloads.

The power of ML becomes evident when these seemingly noisy anomalies converge across various services, serving as indicators of something exceedingly unusual. ML is an advisor, training numerous independent models for each individually collected metric to achieve anomaly detection based on recent behavior.

When multiple independent metrics exhibit anomalies simultaneously, it is usually a signal that something unusual is occurring. This approach to ML can be instrumental in uncovering malicious attacks and, in many cases, predicting combined failures across seemingly unrelated components.",Costa Tsaousis,,https://www.netdata.cloud/
"Forget Developer Platforms, Think Developer Productivity!","Developer platforms are getting a lot of hype right now. But that’s just something big companies do, and it means setting up a huge Kubernetes cluster and deploying Backstage. Right? Wrong! Actually, it is all about improving developer productivity, and that is important for a single developer, or a company with tens of thousands of IT professionals. It also means that the tools, services and artefacts needed to boost productivity can be widely different, and there is no default solution. 

In this talk, we will discuss the latest research on how you can measure and improve Developer Productivity. Then, we will look at actual tools and methods that make you more productive as an individual, a team or a whole company. And you might call this a developer platform, or not. That’s OK. 
",Christian Denich,,https://www.linkedin.com/in/christian-denich/
Monolith to Microservice:  Accelerate your Modernization with Containers (App2Container) and AWS Migration Hub Refactor Spaces,"Having successfully migrated a monolithic application to AWS, you now have access to AWS Tools and Services that can accelerate your modernization journey to a micro-services architecture. We'll cover the Strangler Fig pattern - an industry standard modernization approach. We'll deep dive on common AWS Services - Containers, Serverless and Database.

We'll be hands-on as we go. We'll use AWS App2Container to jump start our application’s containerization and deploy it to Amazon Elastic Containers Service (Amazon ECS). We'll then turn to AWS Migration Hub Refactor Spaces to demonstrate how you can modernize a monolith faster by leveraging Amazon CodeWhisperer and Amazon Q to accelerate your application modernization. ",Richard Lees,,https://www.linkedin.com/in/richalees/
