Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Dewan Ahmed,Principal Developer Advocate,Harness,,,,Secure by Default: Building Confidence in AI-Driven Delivery,"The fastest way to break trust in DevSecOps is to automate insecurity at scale. As AI takes a central role in our pipelines, it is time to rethink what ""secure by default"" really means.

In this keynote, Dewan Ahmed will challenge the audience to look beyond vulnerability scanners and compliance gates. He will share a vision for intelligent security by design, where native intelligence within the delivery platform detects not only vulnerable code but risky delivery behavior such as misconfigured environments, suspicious artifact provenance, and drift between source and runtime.

You will walk away with a framework for balancing automation with human oversight and examples from Harness’ work on building verifiable, auditable, AI-native delivery systems. In the new world of DevSecOps, safety is not a step; it is an outcome we continuously learn to improve.",https://www.linkedin.com/in/diahmed/,,,,,Dewan Ahmed_devsecops.png,https://youtu.be/1LKjaIYYqPU,"secure,ai,delivery",
No,ai,Rajanikant Vellaturi,Senior Support Communications Manager,Snowflake,,,,"AI-Driven Customer Experience: How to Start, Scale, and Succeed in the Enterprise","This session will highlight practical strategies for using AI to transform customer experience in the enterprise. Based on my work at Snowflake and supported by real-world outcomes, topics will include:

- Building hyper-personalized customer journeys using AI in industries like retail, finance, and healthcare
- Case study: Using AI to analyze CSAT feedback and dramatically improve response times and satisfaction
- Leveraging modern AI agents and chatbots for smarter, empathetic support
- Predictive analytics for proactive issue resolution across telecom, SaaS, and manufacturing
- Navigating ethical challenges, including data silos, bias, and over-personalization
- Five actionable best practices for effective AI adoption

The aim is to provide attendees with a practical blueprint for embedding AI into their workflows, balancing automation with the human touch, and driving measurable impact.
",https://www.linkedin.com/in/rajanikant-vellaturi/,,,,,Rajanikant Vellaturi_devsecops.png,https://youtu.be/Ry5i7ibI4MI,"start,scale,succeed",
No,ai,Victor Agboola,Cyber Security Analyst,Cyber Security Analyst,,,,How AI can enhance digital forensic analysis and evidence collection,"In a world where cybercriminals evolve faster, AI is revolutionizing digital forensics, uncovering evidence, helping investigations, and automating analysis. Discover how AI-driven forensics enhances accuracy, speeds up case resolution, and reshapes future cybersecurity investigations.",https://www.linkedin.com/in/agboolavictor/,,,,,Victor Agboola_devsecops.png,https://youtu.be/UiccZxu-YQQ,"forensic,ai,analysis",
No,ai,Rajkumar Sukumar,Lead Data/AI Engineering,AT&T Services Inc,,,,DevSecOps for AI: Embedding Security and Ethics into the Machine Learning Pipeline,"Learn how to embed security, compliance, and ethics into your AI pipelines. This talk shows how DevSecOps teams can safeguard ML systems from design to deployment using secure data flows, privacy-aware training, policy-as-code, and audit-ready pipelines for trustworthy AI.",https://www.linkedin.com/in/rajkumar-sukumar-86215ba0/,,,,,Rajkumar Sukumar_devsecops.png,https://youtu.be/2cGCqpuZoNU,"ai,ml,ethics",
No,cloud,Meenu Venkataarangam,Program Manager,Recode Solutions INC,,,,Accelerating Enterprise Migrations with Secure and Scalable Automation,"Discover how automation is transforming complex enterprise migrations into faster, safer, and more predictable journeys. Learn how DevSecOps-driven frameworks reduce risks, close security gaps, and enable zero-downtime transitions turning migration into a true strategic advantage.",https://www.linkedin.com/in/meenu-venkataarangam-97a8438a/,,,,,Meenu Venkataarangam_devsecops.png,https://youtu.be/gzv9CiWSK44,"migration,cloud,auto",
No,cloud,Rayenn Hamrouni,DevOps Engineer,Lenstra,,,,From Blue to Green Without Seeing Red: Mastering Deployments on AWS,"How can you implement a Blue/Green deployment strategy on AWS? What are the benefits — and the trade-offs? These are some of the questions this talk will answer through a real-world case study.

We’ll explore how Lambda@Edge can be used to meet this need for a web application delivered via CloudFront, and how to adapt this implementation when caching comes into play. Expect discussions around architecture, optimization, and performance.

This is a hands-on field experience, illustrated by the technical decisions made and the challenges encountered along the way.",https://www.linkedin.com/in/rayennhamrouni/,,,,,Rayenn Hamrouni_devsecops.png,https://youtu.be/5e2GLJX8IQ8,"deployments,aws",
No,cloud,Venkatesh Kata,SR. MIDDLEWARE/DEVOPS ENGINEER,CGI,,,,DevSecOps Revolution: AI-Powered Autonomous Cloud Security & Infrastructure,"Discover how AI/ML transforms DevSecOps from manual security gates to autonomous protection, enabling shift-left security with 40% fewer production vulnerabilities and 25% faster deployment cycles.",https://www.linkedin.com/in/venkatesh-kata-5a01141b7/,,,,,Venkatesh Kata_devsecops.png,https://youtu.be/Yxjclmav97k,"ai,cloud,auto",
No,data,Mallikarjun Bussa,Lead Business Intelligence Engineer,Dropbox,,,,Secure Self-Service BI: Democratizing Data Access in the DevSecOps Era,"Unlock the power of secure self-service BI! Discover how AI, NLP, and augmented analytics can deliver rapid insights while embedding DevSecOps principles of governance, automation, and trust. Learn to democratize data without sacrificing security or compliance.",https://www.linkedin.com/in/mallikarjun-mj-bussa-11a36411a/,,,,,Mallikarjun Bussa_devsecops.png,https://youtu.be/jP5dW9j_Zlw,"data,access,secure",
No,data,Raghav Sai Cheedalla,Senior Software Engineer,Meta,,,,AI for Inclusive Education: Secure and Ethical Personalization of Learning Pathways,"AI is reshaping education for 7.5M+ U.S. students with special needs. This session shows how DevSecOps safeguards data, ensures equity, and powers adaptive learning systems that improve outcomes while keeping trust and compliance at the core.",https://www.linkedin.com/in/raghavsaicheedalla/,,,,,Raghav Sai Cheedalla_devsecops.png,https://youtu.be/5lmBGWbej3o,"ai,ethics,edu",
No,devops,Sanjeevani Bhardwaj,"Director, Product Management",Salesforce,,,,DevSecOps Health Framework: 4-Dimension Assessment Cutting Incidents by 42%,"Learn how a 4-dimension Technical Health Index transforms reactive DevSecOps into proactive security optimization, delivering 42% fewer incidents and 2.8× faster secure development across 15 enterprise implementations. Get actionable metrics for your pipeline.",https://www.linkedin.com/in/sanjeevani02/,,,,,Sanjeevani Bhardwaj_devsecops.png,https://youtu.be/7xz4n_dSKwM,"health,secure,cloud",
No,devops,Gresshma Atluri,Cybersecurity Risk Analyst,Chevron,,,,DevSecOps Supply Chain Defense: Proactive Strategies Against Modern Cyber Threats,"Transform your DevSecOps pipeline security with proven strategies that reduce supply chain attacks by 57%. Learn actionable frameworks from real-world incidents to build resilient, proactive defense systems that protect your entire software delivery lifecycle.",https://www.linkedin.com/in/gresshma-atluri-91b995199/,,,,,Gresshma Atluri_devsecops.png,https://youtu.be/KK3CEw2BKQ0,"supply,chain,threats",
No,devops,Bhaskar Bharat Sawant,Lead Engineer,Cornerstone Building Brands,,,,"Supply Chain Defense by Default — SBOMs, SLSA, and Provenance in CI/CD","Lock down your software supply chain without slowing delivery. Automate SBOMs, enforce provenance and attestations, adopt hermetic builds, and verify artifacts at deploy—so every release is traceable, trusted, and compliant by default.",https://www.linkedin.com/in/bhaskar-bharat-sawant-533218122/,,,,,Bhaskar Bharat Sawant_devsecops.png,https://youtu.be/28OftT0yHhg,"supply,chain,ci",
No,devops,Kuldeep Deshwal,Director of Engineering,Proofpoint,,,,Sustainable Developer Productivity: Avoiding Pitfalls in DevSecOps Culture,"Discover how to overcome the “productivity paradox” in DevSecOps. Learn the top pitfalls draining developer effectiveness and a proven framework to boost secure delivery, reduce burnout, and build sustainable, high-performing engineering cultures.",https://www.linkedin.com/in/kuldeep-deshwal/,,,,,Kuldeep Deshwal_devsecops.png,https://youtu.be/e7rOpdfQLJM,"culture,teams,secure",
No,devops,Nishanth Sirikonda,Workday Solutions Architect,First Day Foundation,,,,Building Unbreakable Systems: Risk-Driven DevSecOps in Action,"Systems fail when risk is overlooked. This talk shows how risk-driven DevSecOps — powered by automation, monitoring, and compliance-as-code — helps enterprises build resilient, “unbreakable” systems that adapt under pressure without slowing innovation.",https://www.linkedin.com/in/nishanthswd/,,,,,Nishanth Sirikonda_devsecops.png,https://youtu.be/nvq6a3Vnygw,"risk,secure,system",
