Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Teaser
Yes,,Liran Haimovitch,CTO,Rookout,,,,Why you’re getting understandability wrong,"Understandability is the most important concept in software, that most companies today aren’t tracking. Systems should be built and presented in ways that make it easy for engineers to comprehend them; the more understandable a system is, the easier it will be for engineers to change it in a predictable and safe manner. But with the rise of complex systems, it has become all too common that many times we no longer understand our own code once we deploy it.

As a result of increasing system complexity, developers are spending too much time firefighting and fixing bugs. In recent surveys, most devs say they spend at least a day per week troubleshooting issues with their code (sometimes, it can be a couple of days up to a full week trying to fix an elusive bug). This is hurting developer productivity and business results. It also creates a tough choice between flying slow or flying blind; as developers, we are too often making decisions without data in order to maintain velocity.",https://www.linkedin.com/in/liran-haimovitch-652bba95/,@liran_last,,,,java_liran.png,https://youtu.be/htiICUhTmH8,"understandability,wrong",tt_liran.png
No,testing,Brian Vermeer,Developer Advocate,Snyk,,,,Live hacking: Breaking into your Java web app,"In this session, we will demonstrate how common vulnerabilities in the Java eco-system are exploited on a daily base by live hacking real-world application libraries. All the examples used are commonly known exploits, some more famous than others, such as Apache Struts and Spring break remote code execution vulnerabilities.
 
By exploiting them and showing you how you can be attacked, before showing you how to protect yourself, you will have a better understanding of why and how security focus and DevSecOps is essential for every developer.",https://www.linkedin.com/in/brianvermeer/,@BrianVerm,,,,java_brian.png,https://youtu.be/xriZuPVyTZg,"live hacking,breaking java app",tt_brian.png
No,testing,Catalin Tudose,Java & Web Technologies Expert,Luxoft,,,,BDD with JUnit 5 and Cucumber,"This presentation will demonstrate the principles, practice, and benefits of Behavior Driven Development (BDD). We'll show how to develop software that addresses the business needs and that follows the behavior of the end user: not only doing the things right, but also doing the right thing.",https://www.linkedin.com/in/catalin-tudose-847667a1/,@CatalinTudose5,,,,java_catalin.png,https://youtu.be/6KXGJKx4WcM,"bdd,junit 5,cucumber",tt_catalin.png
No,testing,Frank Kriegl,Software Developer & Java Enthusiast,,,,,"Benchmarking the Warm-Up Performance of HotSpot VM, GraalVM and OpenJ9 -- A Learner's Journey","Are you new to the JVM? Did you just run your Java programs but never cared what the JVM does with your code under the hood? Want to learn about JVM internals, how to (not) write a Java benchmark test or are you simply curious about JVM performance? Then this talk is for you!",https://www.linkedin.com/in/frank-kriegl/,@frankfranok,,,,java_frank.png,https://youtu.be/KcEDAMHvpis,"hotspot vm,graalvm,openj9",tt_frank.png
No,testing,Igor Braga,Software Developer,IBM,,,,Demystifying Garbage Collection in Java,"Are you curious to know whats happening under the rood of a Java application in terms of memory management? How objects are managed (allocated deallocated), how Java abstracts away the illusion of not needing an explicit memory management allocator? Well, this talk is for you.",https://www.linkedin.com/in/igorbraga/,@igor_h_braga,,,,java_igor.png,https://youtu.be/yAIb6GM3b5k,garbarge collection,tt_igor.png
No,testing,Rafał Leszko,Cloud Native Team Lead,Hazelcast,,,,Mutation Testing with PIT,"How well tested is your system? How do you measure it? Code coverage can give you the answer, however can we trust our unit tests? Trust me or not, but I used to work for the investment banking industry in a big project where a lot of unit tests had no assertions (!). And yes… the coverage was very high.

Mutation testing is a method to check the quality of your unit tests and show more reasonable code coverage reports. In this session I will describe the idea of mutation testing and show a live example with the use of PIT Mutation Testing framework.",https://www.linkedin.com/in/rafal-leszko/,@RafalLeszko,,,,java_rafal.png,https://youtu.be/a9R9FRnkLu4,"mutation testing,pit",tt_rafal.png
No,deep dive,Grace Jansen,Developer Advocate,IBM,,,,Reacting to an Event-Driven World,"The amount of data being produced is growing exponentially and a large amount of this data is in the form of events (e.g sensor updates, clicks on a website or even tweets). How can we architect our applications to be more reactive to these fluctuating loads and better manage our thirst for data?",https://www.linkedin.com/in/grace-jansen/,@gracejansen27,,,Conf42 Enterprise Software 2021 - Grace Jansen - Reacting To An Event-Driven World.pdf,java_grace.png,https://youtu.be/0GJpApGGF4U,event driven world,tt_grace.png
No,deep dive,Bogdan Sucaciu,Tech Lead,Deloitte Digital,,,,Demystifying Event-Driven Architectures with Apache Kafka,"What makes a system an ""Event-Driven"" one? Adding a Message Broker ?! Using FaaS ( Function-as-a-Service ) ?! Or maybe, using Reactive APIs ?! Can anything be modeled to an Event-Driven Architecture? Join my sessions to find out the answer to these questions and many more others.",https://www.linkedin.com/in/bogdan-sucaciu/,@BSucaciu,,,,java_bogdan.png,https://youtu.be/xi6q2FLL2S8,"event driven architectures,apache kafka",tt_bogdan.png
No,deep dive,Dmitry Vinnik,Developer Advocate,Facebook,,,,Back to the CompletableFuture: Concurrency in Action,"Callback hell is a known way to give any JavaScript developer nightmares. However, Java developers are not much better off since anything concurrency and multithreading related gives us cold sweats.
 
With Threads and Runnables being the very first (and often last) things we used in Java, these classes gave many of us impression of and appreciation for complexities of concurrency. As a result, many developers abandoned the idea of ever touching thread management in Java and focused on a single-threaded development.",https://www.linkedin.com/in/dmitry-vinnik/,@DmitryVinnik,,,,java_dmitry.png,https://youtu.be/it0Zo5QhlQk,concurrency,tt_dmitry.png
No,deep dive,Ranjan Mohan,Open Source & Java Enthusiast,,Silvia Siu Luo,Computer Science Student,Carleton University,Debugging JVM performance issues,"With heavy advancements in Java, the number and scale of deployments are ever increasing. With such growth, understanding how to debug memory and CPU performance issues related to the java application and JVM are critical to ensure smooth operation.
 
This presentation will talk about performance issue scenarios and provide an overview of tools/scripts/processes to triage and eventually understand the problem to a level where the next step would be to fix it.
We will go through heap dumps, thread dumps, process crash logs etc",https://www.linkedin.com/in/ranjanmj/,,https://www.linkedin.com/in/silvia-siu-luo/,,,java_ranjansilvia.png,https://youtu.be/DWBIDrAi4zo,"jvm,perfomance issues",tt_ranjansilvia.png
No,deep dive,Jonathan Meek,Software Developer,The Home Depot,,,,Making the Jump to JUnit 5: A walkthrough of migrating code from JUnit 4 to JUnit 5,"When it comes to our software, we talk very adamantly about upgrading the packages that support it and debate heavily on the cadence of those upgrades (e.g. monthly vs as we code). We treat the JVM versioning the same way: debate heavily on the cadence but generally agree that it should be upgraded throughout the lifecycle of the application. So why do we treat our testing frameworks any different? Aren’t they as critical as our application libraries and our JVM versions?
 
Of course! Some could argue even more so than the application libraries and the JVM versions. In the application of Test-Driven-Development (TDD), the first toolset that one touches is the testing framework and it would make sense to upgrade it often, given this is where TDD developers start. ",https://www.linkedin.com/in/jonathanlmeek/,@ehawk61,,,,java_jonathan.png,https://youtu.be/zUPZRUlVnYY,"junit 4,junit 5",tt_jonathan.png
