Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Teaser
Yes,,Jesus Espino,Full Stack Engineer,Mattermost,,,,"Struct Embedding, Instrumentation and Code Generation","#### Reviewing how struct embedding and other techniques can be used to improve code design, performance, and usability in your Go applications.",https://www.linkedin.com/in/jesus-espino/,@jespinog,,,Conf42 Golang 2021 Slides - Jesus Espino.pdf,golang_jesus.png,https://youtu.be/Y-URSLmIPIg,"struct embedding,instrumentation,code generation",
No,getting started,Miriah Peterson,Data Engineer,Weave,,,,Go from Zero to Hero: Learning Go when you don't know how to code,"Go as a language is infamously not friendly to new developers. This is funny to me because I consider it my ""first"" language. This talk explores how to use go to teach first time developers basic programing topics, how to set up a dev environment, how to write a program and basic coding practices.

# Intro
I believe the simplicity and cleanliness of the Go programming Language makes it suitable as a language for first time programmers. However, things like a GoPath, Dependencies, binaries, CLIs, IDEs, and Git make it hard for someone who has never coded before to just pick up go in their free time. This [tutorial](https://soypete.github.io/Golang_tutorial_zero_to_hero/) is written for people who have less that one year programming experience or even no experience whatsoever. It is to help them learn go and master their tools as well. I do not have experience in education theory, but from personal experience this course is curated in an order to help them learn go as well as all the scary stuff. In this talk we will go over the sections and tools used to help first time devs Master go.

# Open Source Learning
As experience devs we can learn most things online and for free. Blog posts, tutorials, demos, meetups, etc. these all contribute to our learning via `Open Source`. But what about first time devs? we require them to take university courses or bootcamps? They have to pay thousands of dollars just to start off using tools and tech that are not top of the line? 

The idea behind this tutorial it to replicate the opensource blog posts and tutorials, but to make it for beginners. And to make it truely opensource anyone can contribute to it, I am just waiting for someone to make a pr and finish it for me *cough cough* (that is only half a joke). Hopefully it becomes something that can get people off the ground and ready to tackle projects either on their own or in a workplace setting. 

# Tutorial outline

## [Part-1 Intro to Programming]

These are the basics we learn in our first programming class. Devs learn them in boot camps. We have to explain the why to first time devs. How they are tools on your tool belt that will allow you to start solving harder problems. 

### [1.1 Hello World]

### [1.2 Types]

### [1.3 Functions]

### [1.4 Conditionals]

### [1.5 Loops]

## [Part-2 Using the Command Line]

The hardest this for me what figuring out what a Dev env was. Here we walk through it step my step. by the end we should be ready to build a go program.

### [2.1 Bash]

### [2.2 Git]

### [2.3 Install Go]

### [2.4 Pick Your IDE]

## [Part-3 Write a Go server]

We deal with servers and apis everyday. Is it part of Web dev. Seems like a good place to start.

### [3.1 What is an API?]

### [3.2 Chat server Example project]


## [Part-4 Dependencies]

This may be common place for Java devs, but for new developers it using other libraries and tools ins a new concept

### [4.1 Using Go Modules]

### [4.2 Using Opensource Libriares]


## [Part-5 Checking your Code]

Now we need to prepare them for industry best practices. 

### [5.1 Linters]

### [5.2 Unit Tests]

### [5.3 Test Coverage]


### [5.4 Web Crawler Example]


## [Part-6 Deploying a Service]

I haven't worked anywhere that doesn't use docker so this seems like an invaluable skill

### [6.1 Docker]

# Tools 
- https://goplay.space/
- vscode
I am sure I will have more once the tutorial is more fleshed out.

# Additional Resources
Other places to go learn pulled from the doc


",https://www.linkedin.com/in/miriah-peterson-35649b5b/,@captainnobody1,,,,golang_miriah.png,https://youtu.be/4cRqm8sSUjs,"from zero to hero,learning go",
No,getting started,Huseyin Babal,Software Development Team Lead,Hazelcast,,,,Ultimate Guide to Golang Development for Beginners,"A talk about easy start with Golang development with production grade examples and tools

In this talk I will try to show how to start Golang Development with production grade best practices. You will learn the answers of ""How to do environmental/project setup?"", ""How to test your projects"", ""What kind of tools you need to use to ship your application?"", etc.... 

On each section, there will be a mapping from other languages to have better insight.",https://www.linkedin.com/in/huseyinbabal/,@huseyinbabal,,,Conf42 Golang 2021 Slides - Huseyin Babal.pdf,golang_huseyin.png,https://youtu.be/I2tVnH_JuHI,development for beginners,
No,getting started,Jayaganesh Kalyanasundaram,SRE,Google,,,,Concurrency for beginners," As a beginner myself (not so long ago) trying to learn this language, it always seemed like C++/Python like language. Golang is much more than just functions and execution, its probably the easiest to write code which exploits concurrency at its best and in an intuitive and readable manner. 

This talk, I'll discuss ""channels"" and ""go-routines"" with an example of MergeSort to demonstrate the power of this language for beginners.",https://www.linkedin.com/in/jayaganesh-kalyanasundaram-7a5b7720/,,,,Conf42 Golang 2021 Slides - Jayaganesh Kalyanasundaram.pdf,golang_jayaganesh.png,https://youtu.be/SBifB5-9naA,concurrency for beginners,
No,getting started,Sylvain Combraque,Software Developer,Les-Tilleuls.coop,,,,Go learning by project: Souin (rex),"I'm Træfik user since v1.4 but there was no caching system. I scrolled over the internet to know if any solution exists but nothing appear then I decided to write my own Træfik cache system. This talk it will be a feedback on Golang learning, issues, tips and tricks to start on this awesome language

I discovered Go language but didn't have any time to follow multiples tutorials to learn it. But one day I discovered Træfik reverse-proxy project when I wanted to switch my infrastructure into fully dockerized one. I'm Træfik user since v1.4 but after many months using it I encountered an issue : there were no caching system in this reverse-proxy. I scrolled over the internet to know if any solution exists but nothing appears.

Then I decided to write my own Træfik cache system, but the main question was ""Which language?""  
 - PHP ? Nah.  
 - Nodejs ? What a joke !  
 - C++ ? I didn't learn this language at school and it's really insane to learn.

Then I was on Træfik github repository when I decided to write it in Go. Another good point: that's compatible with docker integration.

So I started the project and called it [Souin](https://github.com/darkweak/Souin)  
This talk will be a feedback on Go learning, issues, tips and tricks to start on this awesome language.",https://www.linkedin.com/in/sylvain-combraque/,@darkweak_dev,,,,golang_sylvain.png,https://youtu.be/r3VUCq0gwkM,"Souin,feedback",
No,getting started,Matan Cohen,Software Development Team Lead,Wix,,,,Go development on local k8s with Skaffold,"How difficult is it to develop on your local machine?? How long is taking you to mock the production process? 
No more! With skaffold and other great new tools, it became very easy. 
Join me to learn about new golang development experience on local k8s cluster!

Talk agenda:
- local development with go (+demo)
- Skaffold (+demo)
- real use case - Golang + skaffold + helm + Bazel",https://www.linkedin.com/in/matan-cohen-b8253311a/,@co_matan,,,Conf42 Golang 2021 Slides - Matan Cohen.pdf,golang_matan.png,https://youtu.be/PAiK53ucusk,skaffold helm kubernetes local development,
No,getting started,Oliver Fuerst,Lead Developer,Restorepoint,,,,DevOps automation with Go,"In his talk, Oliver will show the many ways his team is using Go to automate every aspect of their development workflow from race condition reporting, deploying releases, bridging Freshdesk and Gitlab, versioning internal libraries and many more.",https://www.linkedin.com/in/oliverfuerst/,,,,Conf42 Golang 2021 Slides - Oliver Fuerst.pdf,golang_oliver.png,https://youtu.be/KaIbgrYIPQk,"devops,automation",
No,security,Mathilde Raynal,Lead Developer,Kudelski Security,,,,Quantum-Resistant Native Go Programs: Taking the (Quantum) Leap,"The arrival of Quantum computers threatens the security of cryptography  as we know it. To take a step ahead, NIST launched a competition in 2016  to find the best quantum-resistant algorithms. Out of the 105 initial  candidate schemes, only 15 were selected as finalists in 2020. The  research community has done extensive work on assessing their security  and weaknesses, and we are now at a point where we can start using them  in practice. Unlike the competition that designated AES as the standard  for symmetric encryption, it is expected for multiple schemes to be  standardized at the end of this one. Indeed, the wide range of approaches  taken by the finalists all come with different advantages and  disadvantages that might not be suited for all use-cases.

This presentation motivates the need for post-quantum cryptography,  offers an introduction to the various techniques used to build quantum resistant protocols and gives an insight on what to expect in the coming  years. 

Among the remaining candidates, we selected Kyber and Dilithium - two  schemes offering respectively a Key Encapsulation Mechanism and a  Signature algorithm- and ported the reference implementations to Go. We  deviate from a straightforward code translation in order to preserve the  security of the implementation, especially against Side-Channel attacks,  and to benefit from Go’s special features to obtain a fast and reliable  library. We are open-sourcing the library we developed, and it will be  available on Github at the time of the talk. We will go through its API and  the way one might use it in their own codebase to obtain quantum  resistant protocols. 
",https://www.linkedin.com/in/mathilde-raynal/,,,,Conf42 Golang 2021 Slides - Mathilde Raynal.pdf,golang_mathilde.png,https://youtu.be/UvnBJr4-xX4,"quantum-resistant,native go programs",
No,security,Mohammad Shahbaz Alam,Developer Advocate,Magic,,,,Secure your Go APIs with Decentralised Identity Tokens,"After so many breaches and passwords leaks, developers must reunite and reinvigorate APIs to protect their Applications, making the internet a secure global public resource, open and accessible to all. In this talk, I will cover how to secure your Go APIs using Decentralised Identity Tokens.

The APIs keeps changing, and the programming languages like Go are shifting the paradigm of API consumption. We often dedicate a lot of time to craft powerful APIs but overlook proper security measures. Setting up an authentication layer is, without a doubt, one of the most challenging yet necessary tasks within any web application.

In this talk, we’ll look at proper ways to secure our Go APIs with Decentralised Identity Tokens. We’ll go from learning what Decentralised Identity standards are, how the users’ identities are self-sovereign by leveraging blockchain public-private key pairs, why they’re the future of API security, and to put theory into practice we will build a real-world implementation using Go where I’ll show common best practices.",https://www.linkedin.com/in/mdsbzalam/,@mdsbzalam,,,Conf42 Golang 2021 Slides - Mohammad Shahbaz Alam.pdf,golang_mohammad.png,https://youtu.be/6JtctR2C0Ww,"API,authorization",
No,security,Gordon Rudd,CEO,Stone Creek Coaching,,,,Every CISO’s First 90 Days on the Job,"This session will give you the tools and techniques to be a world class CISO. We’ll Explore the programs, processes, procedures, and technical skills needed to be a survive in your role as CISO.  We will also explore the tools to help you do your job better, cheaper, and faster than the competition.

 - Learn to use the MAP (measure, asses, plan) process to:
 - Assess your organization
 - Assess an information security department, the people in it, and the organization it serves. 
 - Plan the work and work the plan
 - Demonstrate why your programs, processes, and projects will keep the organization as secure as possible in the world we live in today.",https://linkedin.com/in/gordonrudd,@glrudd,,,,golang_gordon.png,https://youtu.be/jQOxsvdyx04,"30-60-90dayplan,careerdevelopment,ciso career mapping,ciocareermapping,cybersecreuityoperations,itoperations",
No,frameworks,Marco Nicola,Software Developer,EXOP,,,,Deserializing Python objects in Go with GoPickle,"The Python Standard Library provides the ""pickle"" module for serializing and de-serializing object structures. Almost every Pythonista makes use of it, since it can easily and efficiently serialize even very complex objects... but what if you are a Gohper and want to read those objects back into Go?

In this talk I will illustrate the main peculiarities of pickle serialization and how data can be deserialized in Go with GoPickle, a lightweight and customizable library (https://github.com/nlpodyssey/gopickle). 

I'll also show you some examples of pickle serialization in the wild, and a practical usage of GoPickle with spaGO machine learning library.",https://www.linkedin.com/in/nicola-marco,@marconicoladev,,,Conf42 Golang 2021 Slides - Marco Nicola.pdf,golang_marco.png,https://youtu.be/dm8cyB2k32g,deserializing python objects with GoPickle,
No,frameworks,Preslav Rachev,Founder,PSV,,,,Between Order and Chaos: Creating Immersive Generative Art With Go,"Generative art is a unique form of artistic expression, building bridges between computer programming, randomness, and visual aesthetics. It has kept my imagination for over a decade. While I have never been particularly skilled at drawing, I have always been amazed by what one could achieve with a couple of lines of code. At the beginning of this year, I wrote and and self-published a book about the use of Go as a language for graphics and generative art programming.

Unlike popular choices such as Processing, NodeBox, openFrameworks, etc., I picked Go for two simple reasons:

Go’s syntax is easy enough that virtually anyone can learn it quickly. The language is far more versatile than what most programmers use it for.

I am hoping that my talk will give the audience a new perspective about their favorite language, and the chance to discover an artistic side they did not know thy possessed.",https://www.linkedin.com/in/preslavrachev/,@preslavrachev,,,,golang_preslav.png,https://youtu.be/Z9mRyM6eihI,"order and chaos,create immersive generative art",
No,frameworks,Moritz Eckert,Chief Architect,Edgeless Systems,,,,Confidential computing with Go,"#### Confidential computing (CC) is a new and much-discussed security paradigm. It enables the always encrypted and verifiable processing of data on potentially untrusted computers, e.g., your cloud provider’s systems or maybe even your local cluster. CC enables many exciting new applications like super-secure bitcoin wallets or end-to-end encrypted and verifiable AI pipelines. 
In this talk, we’ll give a brief intro to CC and the corresponding hardware technologies. We'll talk about how the technology is particularly relevant for the cloud-native space and why Go and CC make for a great fit. We'll sketch the status quo of Go tooling for CC and given an intro to our open-source EGo framework. Finally, we give some hands-on examples of Go CC apps and discuss use cases.  
We argue that EGo is the simplest way to leverage CC - in particular for Go programmers :-) We'd love to get feedback from the Go community for our approach.
---

### Structure of the talk (30min)

* Intro (3min) 
* What is Confidential Computing? (5min) 
* Why Go and Confidential Computing are a perfect match (3min) 
* The architecture of EGo (5min) 
* How to build your first confidential microservice (7min) 
* Use cases (5 min) 
* Conclusion (2min) 

### About Confidential Computing 

Confidential computing is an emerging security paradigm. With it, data and code are protected inside secure enclaves at runtime. Enclaves protect against potentially compromised OSes, hypervisors, or even malicious cloud admins with hardware access. 
 
Enclaves are created and enforced by the CPU. An enclave’s contents remain always encrypted in memory at runtime. Yes, correct, data and code remain always encrypted! This is one of the key features that make confidential computing so exciting for many, e.g., for Forbes. 
 
Besides, enclaves have access to unique cryptographic keys, which can be used to store secrets on untrusted storage (“sealing”). it is possible to verify the integrity of an enclave and set up secure channels to it (“remote attestation”). 
In one sentence: secure enclaves enable the always encrypted and verifiable execution of workloads in the cloud and elsewhere. 
 
The most prominent enclave implementation to date is Intel SGX. SGX is available on many recent Intel-based systems. Several cloud vendors already have corresponding offerings. 
 
Apart from unprecedented security, confidential computing enables new types of data-driven applications. The verification aspect is key here: users can verify precisely how data is processed, who provides the inputs, and who gets access to the results. For instance, this enables zero-trust data sharing, super-secure crypto wallets, and many other exciting things. 
 
However, previously, developing confidential apps used to require arcane knowledge, significant code changes, and cumbersome build steps. With EGo, this changes! 
 
### About EGo 

EGo is used via a simple CLI. In a nutshell, EGo consists of a modified Go compiler, an in-enclave Go runtime and a Go library that makes CC-specific functionality available to in-enclave code and external consumers. Most notably, the library facilitates the process of remote attestation.  
 
With EGo, you can build and debug your Go code as you are used to. Apps built with EGo run on all systems that normal Go apps run on — even if those systems are not SGX-enabled. Thus, EGo can be nicely integrated with existing development and build processes. The following commands build and run a helloworld app: 
 
```go 
ego-go build myapp.go 
ego sign myapp 
ego run myapp 
``` 
 
If you tell `ego sign` that you want a debuggable enclave, you can debug your app inside the enclave using `ego-dbg` and GDB-compatible IDEs like Visual Studio Code.  
 
In contrast to enclave SDKs for programming languages like C++ (e.g., Open Enclave) or Rust, EGo does not require programmers to split your app between enclave and non-enclave code. It simply keeps all of your data and code inside the enclave. We believe that this is the most intuitive and practical approach. 
 
Most Go apps run out of the box on EGo. This includes the popular key management app HashiCorp Vault, which is a good example of an app that benefits greatly from CC.",https://www.linkedin.com/in/moritz-eckert-15a7b91a0/,@m1ghtymo,,,Conf42 Golang 2021 Slides - Moritz Eckert.pdf,golang_moritz.png,https://youtu.be/hCVLZ8-7_Yg,"confidential computing,Intel SGX,security,cloud native",
No,frameworks,Dmitry Vinnik,Developer Advocate,Facebook,,,,Ent: Making Data Easy in Go,"What do most applications do these days? They interact with data in one way or another. As your app's scale increases, it becomes more challenging to manage databases, schemas, queries, and constraints. These challenges are why a technique called Object-Relational Mapping, or ORM, was created. 
At Facebook, we tend to think about data modeling in graph concepts and as we were working with Go, it led us to create a new open source project, Ent.

Ent is an entity framework built for Go programming language. This framework provides developers with a Graph-based, Object Relational Mapping. 
In this talk, we will learn how to use Ent when dealing with data schemas, including types, relations and constraints. It’s a hands-on talk, so get ready to follow along!
",https://www.linkedin.com/in/dmitry-vinnik/,@DmitryVinnik,,,Conf42 Golang 2021 Slides - Dmitry Vinnik.pdf,golang_dmitry.png,https://youtu.be/dOE_UEwzgMw,"ent,making data easy",
