Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Ryan McDonald,Responder Advocate ,FireHydrant,,,,Incidents: the customer empathy workshop you never wanted,"Organizations are focusing on incidents more than ever but failing to leverage them to their full potential. But by framing incidents and post-incident reviews as customer empathy-building opportunities, we can facilitate more creative technical problem-solving, unlock improvements to your response process, and enable organizational agility that otherwise might have gone unnoticed. This talk will deliver actionable methods to increase customer empathy before, during, and after an incident.",https://www.linkedin.com/in/ryan-mcdonald-251b6611/ ,@rjmcdonald83,,,,im_ryan_mcdonald.png,,"incidents,customer,empathy,workshop",30
Yes,,Vanessa Huerta Granda,Solutions Engineer,Jeli.io,,,,One more step in Learning from Incidents: Sharing incident findings effectively,"One more step in Learning from Incidents: Sharing incident findings effectively
Oftentimes post-incident activities involve a post-mortem meeting and document. These 2 vary in quality, from focusing only on a single root cause, maybe a 5-why’s, or on the bright side, a thorough investigation that takes into account multiple points of view. Regardless, once the meeting is complete, the output usually ends up in a document hidden in a drive that no-one ever opens and the knowledge that was discovered during the postmortem stays only with those who attended the meeting.

If learning from incidents allows us to turn outages into opportunities, how can we make those learnings reach the most people? We do this by carefully and thoughtfully sharing our findings. 

By sharing our findings we allow for more equitable learning (account for people with conflicts or illnesses who couldn’t attend the review meeting), can get buy-in for next steps, get people in the org to have a more well-rounded knowledge of how things work.

This talk is meant for anyone who is involved in incidents in any way: responders, subject matter experts, impacted users, and facilitators but mostly for technologists who want to make the most out of their incidents through learning!

Throughout this talk I will give an overview of why sharing matters and go deep through the different ways that we can share incident learnings depending on your needs and audiences as well as provide examples with the hope that folks are able to start applying these forms of communication in their own orgs. Furthermore, I want folks who watch this talk to leave with a sense that change can happen and that we aren’t meant to keep repeating the same problems over and over again. 
",https://www.linkedin.com/in/vanessa-huerta-granda-6b3a5320/,@v_hue_g,,,,im_vanessa_huerta_granda.png,,"sharing,Incident,findings,effectively",30
Yes,,Nick Mason,Solutions Engineer,Blameless,Emily Arnott,Community Manager,Blameless,Too many people in the room?,"When something goes wrong, it can be tempting to gather as many people as you can to fix it. Each person can contribute tremendous value through diverse viewpoints, but too many people can overcrowd your response, leading to miscommunication, redundant work, and much more. This talk will teach you to avoid overcrowding incidents through smarter escalation policies, role-based tasks to organize efforts, and more efficient communication. A lean, focused team of relevant players can achieve much more than a bloated, confused one. Only then will you start to reduce the burden for your on-call team and keep customers happy.

Blameless is drawing! Participate in a raffle to [win Beats Solo Wireless](https://info.blameless.com/raffle-conf42-incident-management)!",https://www.linkedin.com/in/nicholas-mason-9481a2149/,,https://www.linkedin.com/in/emily-arnott-788181198/ Twitter: https://twitter.com/EmilyArnott8,@EmilyArnott8,,im_emily_arnott_nick_mason.png,,"too,many,people",30
Yes,,Ankit Jain,Co-Founder & CEO,Aviator Technologies,,,,Automate merging to keep builds healthy at scale,"Code-submission processes can highly impact developer productivity, especially as engineering teams scale and codebase complexity grows. 

Often, teams that work on a monorepo struggle with keeping their main branch stable, especially as the number of engineers merging changes (and consequently, the number of code-submissions per day) grows. This happens because incompatibilities emerge when multiple changes are combined, causing builds to break frequently. This in-turn cases costly rollback and blocked deployments and hours of engineering lost.

Poly-repo setups present their own challenges: synchronizing merges when changes span multiple repositories, rolling back related changes across repos, and testing across multiple build/test pipelines can become coordination time-sinks for developers.

This talk will feature a distillation of various merge strategies that help teams scale, and their associated developer-productivity trade offs.",https://www.linkedin.com/in/ankitjaindce/,@ankitxg,,,,im_ankit_jain.png,,"automate,merging,keep,builds,healthy",30
Yes,,Jeff Nickoloff,"Principal Engineer, Office of the CTO",Gremlin,,,,Get Ready to Recover with Reliability Management,"The best way to minimize the impact of incidents is to prepare to respond ahead of time. But it is difficult and expensive to prepare for every possible symptom or cause. This talk will cover how to test the reliability of your system, evaluate your incident readiness, and prioritize future preparation.",https://www.linkedin.com/in/jeffnickoloff/,@allingeek,,,,im_jeff_nickoloff.png,,"reliability,management",30
Yes,,Lisa Karlin Curtis,Technical Lead,incident.io,,,,Using incidents to level-up your teams,"Incidents are a great opportunity to gather both context and skill. They take people out of their day-to-day roles, and force ephemeral teams together to solve unexpected and challenging problems.

The first part of the talk will walk through the different things you can learn from incidents, including:
* Taking you to the edges of the systems your team owns, and beyond - incidents help broaden your understanding of the context in which you're building
* Showing you how systems fail, so you can learn to identify and build software with good observability, and considerations of failure modes
* Expanding your network inside your organisation, making connections with different people, who you can learn from and collaborate with

We'll then talk about how to get the best value from the incidents which you do have as an individual, thinking about when is an appropriate time to ask questions, and how to get your own learnings without 'getting in the way'.

Finally, we'll discuss how to make this part of the culture of an organisation: as part of the leadership team, what can you do to encourage this across your teams?

",https://www.linkedin.com/search/results/all/?heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAARdfZUB_gyk5HiiWfVAMzn3siJAhtcVsLU&keywords=lisa%20karlin%20curtis&origin=RICH_QUERY_SUGGESTION&position=0&searchId=a9134128-9dc9-400a-9c75-8c161ea17a1f&sid=bMI,@paprikati_eng,,,,im_lisa_karlin_curtis.png,,"incidents,level-up,your,teams",30
No,security,Chris Nesbitt-Smith,Consultant,UK Government,,,,Policy as [versioned] Code - you're doing it wrong,"In this talk Chris will trace back the origins of how policies are often incepted, how it can get out of hand, be slow if not impossible to update and measure compliance, and often lead us to question of **is the policy helping or hindering**.
From this talk you'll learn how to use a software development pattern and product ways of thinking towards how your organization can manage policy; achieve continual updates to policy allowing the risk mitigations to move as fast as the risk does, not get in the way and be easy to measure compliance.

Key take aways:
- Policy often causes more harm than good, is slow to update, exemptions are harder still to manage, measuring compliance at scale is near on impossible.
- Throwing some curly braces at a problem is not the solution. Policy if it is articulated as code, needs to embrace all the best practices of code.
- Purposeless policy is potentially practically pointless. (now say it 5 times quickly)",https://www.linkedin.com/in/cnesbittsmith/,@chrisns,,,,im_chris nesbitt-smith.png,,"policy,as,[versioned],code",
No,security,Rob Slade,Malware Researcher,,,,,Security Frameworks: Comparison and Overview,"Find out the BS behind BS 7799. We give you the ITILlating facts to help  
you pull up your SOX and get the jump on the quidelines from ""Audit""  
to ""Zachman."" As has been famously said, the nice thing about security  
standards is that there are so many of them. Which security framework is  
most appropriate for you? What can they help you to achieve? And where do  
Treadway and Turnbull come into it? Come with questions, get answers, and  
share experiences about the all-too-often mysterious checklists that govern  
our professional lives.",-,@rslade,,,,im_robert_slade.png,,"security,frameworks",
No,security,Yash Kadakia,Security Brigade,ShadowMap,,,,DevSecOps - The Story of 3 Security Breaches,"Security is generally the compromise made in the interest of faster release cycles. This talk covers the story of three real-world security breaches and the DevSecOp failures behind them. The talk will feature three different data breaches, with vastly different environments:

A Bank - How attackers went from a simple vulnerability in a marketing website to access into the core banking network & SWIFT infrastructure.
A Tech Unicorn - An HAProxy misconfiguration, a Django bug & some bad DevSecOps practices resulted in production root access.
An Enterprise - An external security agency discovers a breach and an investigation reveals state-sponsored attackers have been in the network for at-least three years.
While Security is all about building layers of controls, these stories talk about how small blindspots can add up to catastrophic failure.

Analysing these breaches, we can learn about some of the fundamental failures and blindspots leveraged by the attackers.",https://www.linkedin.com/in/yashkadakia/,@yashkadakia,,,,im_yash_kadakia.png,,"devsecops,security,breaches",
No,culture,Hila Fish,Senior DevOps Engineer,Wix,,,,"Incident Management - Talk the Talk, Walk the Walk","Remember when we were at school, and people said - ""Actively listening in class guarantees 50% prep for the upcoming test""?
The same goes for being proactive at work in ways that will instantly prepare you to manage incidents better (at night or in general).

In this talk, I will lay out the foundations of incident management, including key questions that if you'll be able to answer - You will be able to easily manage incidents, no matter the time and place.
I will also show the best practices I've finalized over the years that helped me get a clear vision of how to manage production incidents in the quickest & efficient way possible.

Embracing the tips I'll give you will guarantee you'll not only talk the talk but also walk the walk when it comes to incident management.",https://www.linkedin.com/in/hila-fish/,@Hilafish1,,,,im_hila_fish.png,,"talk the talk, walk the walk",
