Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,main,Adithya Sirimalla,Software Developer and DBA,Enliven Technologies,,,,Mastering Multi-Cloud Database Resilience: Oracle & SQL Server in a Cloud-Native World,"Learn how to manage Oracle & SQL Server across AWS, Azure, and OCI with confidence! Discover best practices for automation, monitoring, and disaster recovery to build secure, resilient, and cost-optimized multi-cloud database environments.",https://www.linkedin.com/in/adithya-sirimalla-07a22a369/,,,,,Adithya Sirimalla_incident.png,,"multicloud,databases,resilience",
No,main,Chandra Madhumanchi,Principal Engineer Machine Learning,Walmart,,,,Resilient Fulfillment: Optimizing MFCs for Scalable Omni-Channel Operations,"Discover how Walmart optimizes its Micro Fulfillment Centers to supercharge omni-channel retail. Learn how data-driven automation slashes stockouts, boosts throughput, and minimizes fulfillment incidents insights every modern retailer needs to build resilient, scalable operations.",https://www.linkedin.com/in/chandramadhumanchi/,,,,,Chandra Madhumanchi_incident.png,,"fulfillment,omnichannel,operations",
No,main,Chandra Prakash Kathroju,Software Engineer,Citizens Property Insurance Corporation,,,,"AI, Edge & Serverless: Reshaping Insurance Incident Response in the Cloud Era","Discover how AI, edge, and serverless technologies are revolutionizing incident response in insurance slashing downtime, boosting agility, and transforming claims handling. Learn strategies to modernize, automate, and secure cloud-first operations at scale.",https://www.linkedin.com/in/chandra-kathroju-gwcc14132426/,,,,,Chandra Prakash Kathroju_incident.png,,"edge,serverless,insurance",
No,main,Dasha Davies,Senior Security Consultant & CISO,Stealth-ISS Group Inc.,,,,"Incident Response during special Events: The Olympic Games, F1 and others","Insight and stories from someone who was in charge of designing, building and running the SOC and IR during the Olympic Games in Rio 2016 and Korea in 2018.",https://www.linkedin.com/in/dasha-davies/,,,,,Dasha Davies_incident.png,,"olympics,events,response",
No,main,Gandhi Mathi Nathan Kumar,Principal Incident Commander - Platform Engineering,Twilio,,,,AI for Incident Management,"A deep dive on how using AI correctly can impact Incident Management, showcasing via a demo how effective AI in incident management can be in solving one of the hardest challenges of getting updates during an incident and bringing teams upto speed as they join an incident",https://www.linkedin.com/in/gmnk,,,,,Gandhi Mathi Nathan Kumar_incident.png,,"ai,automation,resilience",
No,main,Gobinath Kasimayan,Specialist Master,Deloitte Consulting,,,,AI-Driven Master Data Governance for Agile Incident Management in SAP,"Discover how AI-powered Master Data Governance in SAP can revolutionize incident detection and resolution. Learn proven strategies to cut response times, boost data accuracy, and drive operational resilience turning data governance into a proactive enabler of agility and business success.",https://www.linkedin.com/in/gobinath-kasimayan-b7809916/,,,,,Gobinath Kasimayan_incident.png,,"sap,governance,agility",
No,main,Gowri Shankar Ravindran,Director of Engineering,Adobe,,,,Incident Management in Distributed CDPs: Real-Time Monitoring & Automated Recovery,"Learn battle-tested strategies for managing incidents in petabyte-scale distributed CDPs! Discover how Apache Spark-powered observability, automated circuit breakers, and AI-driven predictive analytics transform incident response from reactive firefighting to proactive reliability engineering.",https://www.linkedin.com/in/gowri-shankar-ravindran-b00a777/,,,,,Gowri Shankar Ravindran_incident.png,,"monitoring,recovery,cdp",
No,main,Juan Ruiz Villa,Senior DevOps Manager for Data/Analytics/Ai,GoDaddy,,,,"Don't Patch outages, Platformize Reliability Instead: a path to AgenticOps","GoDaddy cut MTTR 80 % by baking lineage, cost, Ops-as-Code into the stack and unleashing AI agents that reboot pipelines before humans wake. Get a step-by-step cheat-sheet to replicate Agentic Ops minus seven-figure tooling. Expect dashboards, failure scars, and next actions. Steal the blueprint!",https://www.linkedin.com/in/juan-ruiz-villa-1870395a/,,,,,Juan Ruiz Villa_incident.png,,"reliability,platform,agenticops",
No,main,Kishore Thota,SDET,Blue Cross and Blue Shield of Alabama,,,,Lessons from the “Mid 300” Incident: A Real-World Wake-Up Call,"This is the story of a real incident that caught us off guard—a failure in the mid-300s range that pushed our systems and team to the edge. I’ll walk through what happened, how we handled it, and what changed afterward.",https://www.linkedin.com/in/kishore-thota,,,,,Kishore Thota_incident.png,,"lessons,crisis,response",
No,main,Krishna Chaitanya Yarlagadda,Senior Manager - Data Science & Analytics,Mercury Financial,,,,AI-Powered Incident Prevention: Supply Chain Monitoring & Automated Response,"Supply chain disruptions cascade into critical incidents within hours. I'll show how AI transforms reactive firefighting into proactive prevention using ML to detect anomalies, predict failures, and automate responses before incidents escalate.",https://www.linkedin.com/in/chaitanya2/,,,,,Krishna Chaitanya Yarlagadda_incident.png,,"supplychain,automation,prevention",
