Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
yes,,Finbar Fleming,Customer Engineer,Rollbar,,,,Improving the process of debugging JavaScript errors in Production for better end user experience and happier developers,"JavaScript can be very difficult to debug, especially errors impacting end users in Production.

The way that JavaScript applications are developed and debugged pre-production often means that good processes are not put in place to monitor errors in production.

Most teams only learn about errors when customers call in with a problem.

Reducing the time taken from the time and user first experiences and error to the point where a developer understands the root cause of the error  can transform the experience of your end users, and give developers time back to work on new feature development

Learn how to improve how quickly you can fix errors in Production ",https://www.linkedin.com/in/finbarfleming/,,,,,js_finbar_fleming.png,https://youtu.be/jCH-aLbcYUA,"debugging,errors,in,production",30
no,getting started,Chris Miller,Internal Services Lead,School Of Code,Liz Kaufman,Lead Coach and Head of Bootcamps,School Of Code,"Clean, Concise, Collaborative Code","I have worked in the industry on and off since the year 2000.  I now teach code at The School Of Code.  I have a passion for seeing code that is at it's best and the most friendly for every skill level, whilst still maintaining effectiveness and completeness.  This talk has been given in the PHP world several times, and each time this has prompted strong discussion around the definitions of how this might look in practice.",https://www.linkedin.com/in/ccmiller2018/,@ccmiller2018,https://www.linkedin.com/in/liz-kaufman/,,,js_chris_miller_liz_kaufman.png,https://youtu.be/MhiilrjyCwM,"clean,concise,collaborative,code",
no,getting started,Marcell Endrey,Frontend Developer,Wise,,,,Teaching JavaScript to the uninterested,"For a couple of years, I taught beginner programming to high school and university students who did not intend to be developers. The members of these classes did not have an engineering background and only applied for fun — or because the curriculum forced them to.
During these times I went through multiple iterations of my course materials and changed many of its details including the language being taught, the editor being used, and the storage of the resulting programs. I kept the parts that worked well in the previous semester and threw out the ones that did not. I had some very positive feedback along the way, along with some total failures.
In this talk, I am sharing my learnings from these classes and invite the audience to help me improve the material even further with their feedback.",https://www.linkedin.com/in/endrey-marcell/,,,,Conf42 JavaScript 2022 - Marcell Endrey.pdf,js_marcell_endrey.png,https://youtu.be/piLySi60Dg4,"teaching,the,uninterested",
no,getting started,Mayank Kumar,Senior Software Engineer II,Rakuten India,,,,Internationalisation(i18n) & Localisation(l10n),"From this talk the audience will get to know what exactly internalisation and localisation is, how are they related to or different from each other. How i18n can help them upscale their app and increase their user base. They will know how an application can be created to support multiple locales so that the users from different parts and origin around the globe can use their apps in their native locales (language). They will also learn about the common challenges around supporting i18n and how to address those challenges. They will also get to know about the browser support in the context of i18n and l10n. We will also touch base around the Right-to-Left language based app rendering. The audience will also get to know that i18n, l10n are not specific to the textual content but they also deal with images, numbers, currency etc.",https://www.linkedin.com/in/mayank-kumar-in/,,,,Conf42 JavaScript 2022 - Mayank Kumar.pdf,js_mayank_kumar.png,https://youtu.be/2UAqgSEtfyc,"Internationalisation,i18n,localisation,l10n",
no,getting started,Travis Waith-Mair,Senior Software Engineer,Plex,,,,Intro to Solid.js for React Developers (or anyone else),"Solid.js has an API that feels very familiar to React developers, but under the hood is completely different. Solid.js has a suite of ""fine-grained reactive primitives."" It is these primitives that we will explore and learn how to use coming from the perspective of a React.js Developer.",https://www.linkedin.com/in/travis-mair/,@travisWaithMair,,,Conf42 JavaScript 2022 - Travis Waith-Mair.pdf,js_travis_waith.png,https://youtu.be/cEbEYSN8o1U,"solid.js,react",
no,getting started,Andrew Knight,The Automation Panda,Applitools,,,,Visually Testing Your Components,"Component libraries are the building blocks of modern front-end apps. Developers can create a component once and reuse it in many places to create consistent user experience. But what happens if a change accidentally breaks any of those components? That could affect many pages! Changes to size, color, layout, and phrases may unintentionally go undetected.

How can we easily catch these bugs? Visual component testing! In this talk, we will:

1. Learn how visual testing differs from traditional automated testing
2. Demo visual tests for a live React app with Storybook components
3. Evaluate pros and cons of different visual testing techniques

We will use [Applitools Eyes](https://applitools.com/products-eyes/) as our visual testing tool. After this talk, you will be better equipped to test your apps. All example code will be provided in a GitHub repository for you to clone and extend as well!",https://www.linkedin.com/in/andrew-leland-knight/,@AutomationPanda,,,,js_andrew_knight.png,https://youtu.be/GO9GXUzokkk,"visually,testing,components",
no,tools,Naty Rocha,Software Developer,Stack Builders,,,,Are promises our only choice?,"Promises are the standard approach to handling asynchronous operations in JavaScript and TypeScript. While they are flexible and fun to program in, important downsides make our codebase less maintainable. For instance,  errors in a promise are typed as any, they use eager evaluation, and you can completely omit a catch operation for error handling. So there should be something else we can use, shouldn’t it? 

In this talk, we will be learning how to use functional programming and some alternative asynchronous computations like TaskEither, ReaderTaskEither, and Futures to show how we can handle side effects and create more robust applications.",https://www.linkedin.com/in/natrocha/?originalSubdomain=ec,,,,Conf42 JavaScript 2022 - Naty Rocha.pdf,js_naty_rocha.png,https://youtu.be/PksLCI5olw8,"promises,our,only,choice",
no,tools,Katarzyna Wojdalska,Co-founder,ec0lint,,,,Digital ecology - Can you mitigate the carbon footprint of websites?,"Did you know that more than 250 000 websites are published every day? The majority uses too heavy fonts, too large/unnecessary images or utilises redundant libraries. These and other factors generate the carbon footprint. Actually, one view of an average website emits 4.6 g CO2 which sums up to 553 kg CO2 annually. Unfortunately, current solutions optimise only already existing websites.

ec0lint is a tool for frontend developers that mitigates the carbon footprint of websites. It shows tips advising how to create a more climate-friendly code. Thanks to code optimization ec0lint can help in reducing CO2 emissions per one view from 4.6 g to ~0.2 g saving 529 kg CO2 (-96%!) annually. 

In the keynote, we want to share our knowledge about digital ecology with the audience, tips and tricks on how to mitigate digital footprint and information about the tool we created.

Our website (active from the official release day 07.06.22): ec0lint.com
An article with tips written by me: https://www.linkedin.com/pulse/change-your-online-habits-mitigate-climate-crisis-katarzyna-wojdalska/
An article about digital ecology written by me: https://www.linkedin.com/pulse/have-you-ever-wondered-how-much-carbon-emissions-your-wojdalska/
Our GitHub: https://github.com/ec0lint/ec0lint",https://www.linkedin.com/in/k-wojdalska/,,,,Conf42 JavaScript 2022 - Katarzyna Wojdalska.pdf,js_katarzyna_wojdalska.png,https://youtu.be/mcQFnlSGEkE,"digital,ecology,mitigate,carbon,footprint,websites",
no,tools,Alba Rivas,Principal Developer Advocate,Salesforce,,,,Building Slack Applications with Bolt.js,"[Slack](https://slack.com) is a messaging app for business that connects people to the information they need. In this talk we’ll see how to extend Slack functionality by developing a custom app. We’ll use Slack’s SDK for Node.js, Bolt.js (https://api.slack.com/tools/bolt) and Salesforce as backend. The app will let us create and manage work travel requests on Slack, avoiding context switching and maximizing productivity. Are you ready to fly??",https://www.linkedin.com/in/alba-rivas/,@AlbaSFDC,,,Conf42 JavaScript 2022 - Alba Rivas.pdf,js_alba_rivas.png,https://youtu.be/pEPhcoyV474,"slack,applications,bolt.js",
no,tools,Anton Kalik,Senior Software Engineer,Amenitiz,,,,Translator Words App on Javascript,"This is the story of my experience about application from scratch till fully workable service using React and Node JS. You will find how to setup the project, how to handle the session, how to build the interface, where to start and what to take into account in the development process for your first startup. You will see the whole infrastructure of the project with diagrams. You will get some code of communication between server and client using GraphQL and Apollo. You will see the appliance of algorithm training words, creating collections on MongoDB. Security part of protecting routes. All tools in one for simple startups just in one speech.",https://www.linkedin.com/in/antonkalik/,@idedycom,,,Conf42 JavaScript 2022 - Anton Kalik.pdf,js_anton_kalik.png,https://youtu.be/aEaRQaSEP20,"words,translation,multi-languages",
no,tools,Arman Murzabulatov,Senior Software Engineer,Rabobank,,,,MeteorJS as a framework for hyper prompt development,"I discovered MeteorJS when I was a co-founder/CTO of an early-stage startup and we desperately needed to develop quickly and be very flexible (180 degrees pivot over the weekend) upon the needs of clients. MeteorJS is a full-stack JS framework that helps build quickly. I will explain how MeteorJS works and how to utilize it in the best way. Also, will talk about the tradeoffs of using MeteorJS (vs traditional stacks) and the strategy for future migration to different more popular stacks.",https://www.linkedin.com/in/murzabulatov/,@kz_arman,,,Conf42 JavaScript 2022 - Arman Murzabulatov.pdf,js_arman_murzabulatov.png,https://youtu.be/bME9Yux-z-0,"meteorjs,framework,hyper,prompt,development",
no,tools,Dmitry Khorev,Senior Software Engineer,Mero,,,,Scalable event-driven applications with NestJS,"Join me for a talk on developing scalable event-driven applications with NestJS.
If you’ve never tried NestJS - I’ll talk briefly about its advantages and use cases it can solve for you.
We’ll explore a hands-on example of scalability issues that can happen and the common approaches to solving them.
Thanks and see you.",https://www.linkedin.com/in/dmitry-khorev/,,,,Conf42 JavaScript 2022 - Dmitry Khorev.pdf,js_dmitry_khorev.png,https://youtu.be/TEZOZQUcplM,"scalable,event-driven,applications,nestjs",
no,tools,Eric Burel,Computer Science Engineer,LBKE - Vulcan,,,,Treat your users right with segmented rendering,"Jamstack, SSR, SSG, static rendering, Next.js, Gatsby, ISR, prerendering, edge handlers... JavaScript developers sure like making up new words!

But what do they mean, *actually*? In this talk, I'll demystify those fancy concepts and propose a better definition of ""server-side rendering"" a web app.

You thought ""server-side rendering"" and ""static rendering"" were different things? That you cannot render authenticated, paid or personalized content at build-time? That per-request SSR costs an arm and a leg? Then this talk will blow your mind!

Based on this corrected definition of SSR, I'll show you how you can solve the ""rich guest/poor customer"" issue that arises when you don't use static rendering to its full potential. The result: ultra-personalized static websites, that cost nothing to host and deliver the best possible user experience. 

**Segment your renders and make your customers rich again!**",https://www.linkedin.com/in/ericburel/,@ericbureltech,,,Conf42 JavaScript 2022 - Eric Burel.pdf,js_eric_burel.png,https://youtu.be/jay495FvTCk,"segmented,rendering",
no,tools,Luciano Mammino,Senior Architect,fourTheorem,,,,Let's build a 0-cost invite-only website with Next.js and Airtable!,"Imagine you are hosting a private event and you want to create a website to invite all your guests. Of course, you'd like to have an easy way to just share a URL with every guest and they should be able to access all the details of the event. Everyone else should not be allowed to see the page. Even nicer if the website is customized for every guest and if you could use the same website to collect information from the guests (who is coming and who is not). Ok, how do we build all of this? But, most importantly, how do we build it quickly? How do we keep it simple and possibly host it 100% for FREE? I had to do something like this recently so, in this talk, I am going to share my solution, which involves a React SPA (built with Next.js & Vercel) and AirTable as a backend! In the process, we are going to learn some tricks, like how to build a custom React Hook and how to protect our app from AirTable query injection (yes, it's a thing)!",https://www.linkedin.com/in/lucianomammino/,@loige,,,Conf42 JavaScript 2022 - Luciano Mammino.pdf,js_luciano_mammino.png,https://youtu.be/soHRQVeZTDI,"0-cost,website,next.js,airtable",
no,tools,Michele Riva,Staff Engineer,NearForm,,,,Lyra: Disrupting the full-text search industry with JavaScript,"How can a JavaScript-based search engine retrieve millions of records in a matter of microseconds? Why is JavaScript the right language to implement a true isomorphic application to be deployed everywhere, from mobile applications to edge networks? In this talk, we will see how Lyra, a full-text search engine written in JavaScript, is challenging the search industry with an incredible combination of performance and developer experience.",https://www.linkedin.com/in/MicheleRiva95/,@MicheleRivaCode,,,Conf42 JavaScript 2022 - Michele Riva.pdf,js_michele_riva.png,https://youtu.be/A5raon-jtTU,"lyra,disrupting,full-text,search,industry",
