Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords
Yes,,Milecia McGregor,Senior Software Engineer,Conducto,,,,Making VR More interesting with JavaScript and Brain.js,"You can start making VR apps right now with JavaScript. Once you have your VR app ready to go, you can go a step further and add Brain.js to use machine learning to make real-time updates to the UI and get insights on how users interact with your app.

If you are familiar with JavaScript, you can start making VR applications right now. These can be web apps, mobile apps, or even games and you can build it all within the JavaScript ecosystem. Once you have your VR app ready to go, you can go a step further and add Brain.js to start getting insights about how users interact with your app and make real-time updates to the UI.",https://www.linkedin.com/in/milecia/,@FlippedCoding,,,,js_milecia.png,https://youtu.be/gNHVXN3DP6o,"vr,brain.js"
Yes,,Ahmed Bankole,Software Engineer,Ambiantic AI,,,,Building Awesome UI Applications With Vue,"I build solutions for the average US elderly citizen. I have been into web development for 3 years and my journey has been quite a fascinating and rough road. I have a passion for building the open source community among developers.

This talk is aimed at how developers can build better and awesome UI web applications using Vue. It breaks down how Vue works and why it is useful for frontend developers who use Vue or interested in learning Vue.",https://www.linkedin.com/in/geekyahmed/,@geekyahmed,,,,js_ahmed.png,https://youtu.be/M0OZgqtI51c,"ui applications,vue"
No,tools,Michael Solati,Developer Program Engineer,Google,,,,Building (Progressive) Web Apps,"The web is advancing at an unprecedented rate, and we should be taking advantage of this. I go over what makes a PWA amazing and how to make beautiful web apps that blur the lines with native apps, with their UI and offline capabilities; so much so that users might not even tell the difference.

Most people think if they want to build an app they must build two apps for Android or iOS. The web has become so much more powerful in what we can do though. JavaScript frameworks allow developers to build powerful web app with a fraction of the time and resources of native apps. While tools like Ionic are allowing developers to make beautiful web apps that look and behave so much like native application with their UI and offline capabilities; so much so that users might not even tell the difference. Even cooler is now you can install apps from the web onto your phone like a native app. The web is advancing at an unprecedented rate, and you should be taking advantage of this.",https://www.linkedin.com/in/michaelsolati/,@MichaelSolati,,,,js_michael.png,https://youtu.be/MNkeHzckoJk,progressive web app
No,beyond js,Joe Karlsson,Developer Advocate,MongoDB,,,,From SQL to NoSQL: A Gentle Introduction For Developers,"When you need to model data, is your first instinct to start breaking it down into rows and columns? Mine used to be too. When you want to develop apps in a modern, agile way, NoSQL databases can be the best option.",https://www.linkedin.com/in/joekarlsson/,@JoeKarlsson1,,,,js_joe.png,https://youtu.be/Y9qSp8kd1u4,"sql,nosql"
No,beyond js,Colby Fayock,Front End Developer,Element 84,,,,Put Down Javascript - How Building Fundamentals Will Help You Level Up,"A growing trend in the front end world is the idea that you can dive right in to Javascript and succeed. For better or worse you probably can, but you’re building on top of a fragile foundation. We’ll talk about how you can level up your Javascript by getting back to the basics of HTML and CSS.

Seasoned and beginner alike, developers have a habit of jumping right into a framework or new technology that makes a lot of promises while also glazing over important fundamentals that without, tend to hold back a website or application’s potential. Without some basic knowledge of HTML, you might inadvertently exclude people from learning about your company through your website due to poor accessibility. Lacking an understanding or simply being afraid of CSS, you might be more prone to add unnecessary libraries on top of libraries that just add to the weight of the page, impacting how quickly your app can load.",https://www.linkedin.com/in/colbyfayock/,@colbyfayock,,,,js_colby.png,https://youtu.be/nn-4BzMd0Eg,building fundamentals
Yes,,Kevin Scott,Creator,Upscaler.js,,,,Image Super-resolution in Javascript,"Ever wanted to zoom and enhance an image, as seen in the movies? Now you can, with Javascript! UpscalerJS is a tool built with Tensorflow.js to upscale images to 2, 3, or 4x, all in the browser. In this talk, you’ll learn how to leverage the power of neural networks in your apps.",https://www.linkedin.com/in/evyatar-alush-5b760866/,@thekevinscott,,,,js_kevin.png,https://youtu.be/6rv-utOAnto,"image,super resolution"
No,tools,Alush Evyatar,Front End Developer,Facebook,,,,It can't be this easy. Form validations with Vest,"Vest is a framework for form validation inspired by style and syntax of unit testing framework. It gives you a declarative structure to express your form validations, separated from your feature - allowing you to write your validations faster, with more confidence and without making changes to your feature logic.

We will take a deep dive and together implement Vest in an existing form, and learn how to use some of its most useful features.",https://www.linkedin.com/in/evyatar-alush-5b760866/,@AlushEvyatar,,,,js_alush.png,https://youtu.be/mL9ocOBg2y4,"form validations,vest"
No,tools,Victor Lebrun,Web Developer,Theodo,,,,Canvas pixels transformation: beauty comes slowly,"How to turn maps or any image into beautiful mosaics with the Canvas api? I have a passion for maps and their aesthetics. With my project, I transform the canvas of a `Mapbox` map into a color mosaic.

However, my algorithm runs through all the pixels of the canvas, which takes a long time: more than 2 seconds to render a map on a fullHD screen. I started exploring the WebGL API to speed up rendering.",https://www.linkedin.com/in/victor-lebrun-108046a4/,,,,,js_victor.png,https://youtu.be/L6rQtGDxCXk,canvas pixel transformation
No,beyond js,Alejandro Mercado,CEO,KMMX,,,,Back to the Future! From C++ to JS,"C / C++ is known to be a very powerful language, due to its performance is often used to develop game engines, embedded systems, and desktop apps. This talk is about how to integrate C++ code with Web Assembly in JS projects and why we would want to do that.

Back to the old school days, I remember writing a lot of C/C++, as my primary language, for a lot of academic projects. C /C++ is known to be a very powerful language. Thanks to C/C++’s performance, it is often used to develop game engines, embedded systems, desktop apps, etc. Nowadays, It sounds a little weird to do web development with languages like C/C++, Prolog, Perl, and many other good languages that are not considered web languages.",https://www.linkedin.com/in/alexmarket/,,,,,js_alex.png,https://youtu.be/e84JsH0HHM0,"back to the future,c++"
No,beyond js,Joe Karlsson,Developer Advocate,MongoDB,,,,MongoDB Schema Design: Best Practices,"Have you ever wondered, ""How do I model my schema for my application?"" It's one of the most common questions devs have pertaining to MongoDB. And the answer is, it depends. This is because document databases have a rich vocabulary that is capable of expressing data relationships in more nuanced ways than SQL.

There are many things to consider when picking a schema. is your app read or write heavy? What data is frequently accessed together? What are your performance considerations? How will your data set grow and scale?",https://www.linkedin.com/in/joekarlsson/,@JoeKarlsson1,,,,js_joe.png,https://youtu.be/tYNaXn2wJJo,mongodb schema design
