Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
yes,,Finbar Fleming,Customer Engineer,Rollbar,,,,Improving the process of debugging JavaScript errors in Production for better end user experience and happier developers,"JavaScript can be very difficult to debug, especially errors impacting end users in Production.

The way that JavaScript applications are developed and debugged pre-production often means that good processes are not put in place to monitor errors in production.

Most teams only learn about errors when customers call in with a problem.

Reducing the time taken from the time and user first experiences and error to the point where a developer understands the root cause of the error  can transform the experience of your end users, and give developers time back to work on new feature development

Learn how to improve how quickly you can fix errors in Production ",https://www.linkedin.com/in/finbarfleming/,,,,,js_finbar_fleming.png,,"debugging,errors,in,production",
no,getting started,Andrew Knight,The Automation Panda,Applitools,,,,Visually Testing Your Components,"Component libraries are the building blocks of modern front-end apps. Developers can create a component once and reuse it in many places to create consistent user experience. But what happens if a change accidentally breaks any of those components? That could affect many pages! Changes to size, color, layout, and phrases may unintentionally go undetected.

How can we easily catch these bugs? Visual component testing! In this talk, we will:

1. Learn how visual testing differs from traditional automated testing
2. Demo visual tests for a live React app with Storybook components
3. Evaluate pros and cons of different visual testing techniques

We will use [Applitools Eyes](https://applitools.com/products-eyes/) as our visual testing tool. After this talk, you will be better equipped to test your apps. All example code will be provided in a GitHub repository for you to clone and extend as well!",https://www.linkedin.com/in/andrew-leland-knight/,@AutomationPanda,,,,js_andrew_knight.png,,"visually,testing,components",
no,getting started,Marcell Endrey,Frontend Developer,Wise,,,,Teaching JavaScript to the uninterested,"For a couple of years, I taught beginner programming to high school and university students who did not intend to be developers. The members of these classes did not have an engineering background and only applied for fun — or because the curriculum forced them to.
During these times I went through multiple iterations of my course materials and changed many of its details including the language being taught, the editor being used, and the storage of the resulting programs. I kept the parts that worked well in the previous semester and threw out the ones that did not. I had some very positive feedback along the way, along with some total failures.
In this talk, I am sharing my learnings from these classes and invite the audience to help me improve the material even further with their feedback.",https://www.linkedin.com/in/endrey-marcell/,,,,,js_marcell_endrey.png,,"teaching,the,uninterested",
no,getting started,Chris Miller,Internal Services Lead,School Of Code,,,,"Clean, Concise, Collaborative Code","I have worked in the industry on and off since the year 2000.  I now teach code at The School Of Code.  I have a passion for seeing code that is at it's best and the most friendly for every skill level, whilst still maintaining effectiveness and completeness.  This talk has been given in the PHP world several times, and each time this has prompted strong discussion around the definitions of how this might look in practice.",https://www.linkedin.com/in/ccmiller2018/,@ccmiller2018,,,,js_chris_miller.png,,"clean,concise,collaborative,code",
no,getting started,Connor Lindsey,Software Engineer,Grafana Labs,,,,"Getting started with open source observability - OpenTelemetry, Grafana, and more","Learn to use modern observability tools and standards to proactively understand your systems, so you can improve performance, prevent downtime, and respond to incidents. 

We'll cover instrumenting a full-stack JS application using OpenTelemetry, Prometheus, Loki, Tempo, and Grafana. Topics covered include:
- What is observability and why it matters
- What questions can I answer about my system using observability? 
- 3 primary observability signals and their use cases (metrics, logs, and traces)
- Manual and auto-instrumentation using the OpenTelemetry JS SDK
- OpenTelemetry ecosystem including exporters, the specification, and the collector
- Instrumenting a full-stack React + Node app using OpenTelemetry, Prometheus, Loki, and Tempo
- Running the above services using Docker
- Visualizing and connecting metrics, logs, and traces using Grafana
- Additional resources to learn more",https://www.linkedin.com/in/connor-lindsey-b7608914a/,@connor_lindsey,,,,js_connor_lindsey.png,,"open,source,observability,opentelemetry,grafana",
no,getting started,Hou Chia,Independent Consultant/Owner,Kappa Innovation,,,,Introduction to Web3 for JavaScript Developers,"Interest in Web3 is growing quickly, and there's an ever-rising demand for JavaScript developers to build on Web3. This talk will introduce Web3 to developers, including a brief history of Web3, Web3's potential promise and significance to the next wave of tech innovation, the role of JavaScript in building on Web3, an overview of (both conventional and non-conventional) Web3 career opportunities, and how to get started developing with core Web3 JavaScript frameworks, libraries, and tools. Conference attendees will walk away from the talk equipped with action items to explore and capture opportunities in the Web3 space.",https://www.linkedin.com/in/houchia/,,,,,js_hou_chia.png,,"web3,for,js,developers",
no,getting started,Marcos Felipe,Senior Software Developer,TourRadar,,,,Organizing your code with composition API,"Vue 3 brought the amazing functionality: the composition API. With this functionality, we got good solutions to problems that existed in Vue 2, but are we using this new approach well? This talk aims to draw paths and demonstrate ideas for programming using the composition API.",https://www.linkedin.com/in/omarkdev/,@omarkdev,,,,js_marcos_felipe.png,,"organizing,your,code,composition,api",
no,getting started,Mayank Kumar,,,,,,Internationalisation(i18n) & Localisation(l10n),"From this talk the audience will get to know what exactly internalisation and localisation is, how are they related to or different from each other. How i18n can help them upscale their app and increase their user base. They will know how an application can be created to support multiple locales so that the users from different parts and origin around the globe can use their apps in their native locales (language). They will also learn about the common challenges around supporting i18n and how to address those challenges. They will also get to know about the browser support in the context of i18n and l10n. We will also touch base around the Right-to-Left language based app rendering. The audience will also get to know that i18n, l10n are not specific to the textual content but they also deal with images, numbers, currency etc.",,,,,,js_mayank_kumar.png,,"Internationalisation,i18n,localisation,l10n",
no,getting started,Travis Waith-Mair,Senior Software Engineer,Plex,,,,Intro to Solid.js for React Developers (or anyone else),"Solid.js has an API that feels very familiar to React developers, but under the hood is completely different. Solid.js has a suite of ""fine-grained reactive primitives."" It is these primitives that we will explore and learn how to use coming from the perspective of a React.js Developer.",https://www.linkedin.com/in/travis-mair/,@travisWaithMair,,,,js_travis_waith.png,,"solid.js,react",
no,security,Feross Aboukhadijeh,Founder,Socket,,,,"The Good, the Bad, and the NPM Package: Supply Chain Attacks and How to Protect Your App","Open source code makes up 90% of most codebases. How do you know if you can trust your open source dependencies? It is critical to manage your dependencies effectively to reduce risk, but most teams have an ad-hoc process where any developer can introduce dependencies leaving organizations open to risk from malicious dependencies. Software supply chain attacks have exploded over the past 12 months and they’re only accelerating in 2022 and beyond. We’ll dive into examples of recent supply chain attacks and what concrete steps you can take to protect your team from this emerging threat.",https://www.linkedin.com/in/feross/,@feross,,,,js_feross_aboukhadijeh.png,,"npm,package,supply,chain,attacks",
no,security,Serhii,,catchts.com,,,,Safer TypeScript,"You will learn how to write safer typescript:

- template literal types
- permutations and combinations of argument types
- type inference on function arguments",,@captainyosarian,,,,js_serhii.png,,"safer,typescript",
no,tools,Alba Rivas,Principal Developer Advocate,Salesforce,,,,Building Slack Applications with Bolt.js,"In this session:

- I'll explain the architecture of the app
- I'll show how to use Block Kit to build the required UIs
- We'll learn how to respond to Slack events to build our business logic

Note: I have two options for storying the travel requests. I can use a postgress db in heroku (simpler approach) or I can use Salesforce for that. In the second case it's more complex because I need to explain how to authorize and communicate with Salesforce too, but it's interesting. I can also do some code live to make it more fun!",https://www.linkedin.com/in/alba-rivas/,@AlbaSFDC,,,,js_alba_rivas.png,,"slack,applications,bolt.js",
