Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Arsh Sharma,Dev Experience,Okteto,,,,Did We Actually Make Developers Happy by Shifting to Microservices?,"Containerization made us realize that it made more sense to break our monolithic applications into a bunch of smaller microservices that interacted with each other. We changed how we deploy our applications and architect our applications, but we STILL had developers continuing to write code using the same old tools they did before. This introduced frictions in the development process:

- developers had to spend a lot of time configuring things before they could get to the ""code writing"" phase
- being able to accurately mimic the production setup during development became almost impossible
- the feedback loop became very slow due to CI pipelines and staging environments being the only way to be able to test changes in a production setup

This talk will go into the details of these problems and analyze how they lead to a bad developer experience when working on microservices-based applications. After discussing these problems, the talk will also go over the current attempts we as an industry are making to solve these issues and make lives easier for developers.",https://www.linkedin.com/in/arsh4/,@RinkiyaKeDad,,,,kube_arsh_sharma.png,,"shifting,microservices",
No,getting started,Rob Richardson,Developer Advocate,Jetpack.io,,,,Horizontal Autoscaling with Kubernetes,"Now that the app is running in Kubernetes, how do we scale it to meet demand? What metric should we use? CPU? Requests? something else? Let's dig into why we auto-scale, and how we auto-scale with lots of examples. Finally we'll look at potential pitfalls and gotchas like how to scale to 0 and how to avoid scaling too big for your budget. Come learn how to scale with Kubernetes.",https://www.linkedin.com/in/erobrich/,@rob_rich,,,,kube_rob_richardson.png,,"horizontal,autoscaling",
No,getting started,Abhishek Gupta,Principal Developer Advocate,AWS,,,,Building Kubernetes apps? How about removing YAML and writing Go code instead!,"The combination of Containers and Kubernetes has emerged as a de-facto standard for packaging, deploying and orchestrating applications. But the (harsh?) reality is that Kubernetes app development workflows and specifications are dominated by YAML config which become harder to manage and maintain over time. Solutions such as Helm, Kustomize etc. help relieve some of the pain, but at the end of the day, they too are YAML-centric.

What if you could just write Go code to define Kubernetes applications? Well, cdk8s (short form for Cloud Development Kit for Kubernetes) is an open-source CNCF project that allows developers to build ""reusable abstractions using familiar programming languages and rich object-oriented APIs""

This talk will provide an overview of cdk8s and it's workflow, how to define your first cdk8s application and building reusable components called ""constructs"". You will also see ""cdk8s in action"" with some live-coding and demos! All of this will be done using Go, which has first-class support in cdk8s.

The attendees can expect to walk away with:
1. Understanding the concept of ""Infrastructure-Is-Code"" in the context of Kubernetes
2. How to leverage Go for writing infrastructure code for Kubernetes based applications
3. Learn about an end-to-end scenario of how to practically use cdk8s to define and deploy apps to a Kubernetes cluster",https://www.linkedin.com/in/abhirockzz/,@abhi_tweeter,,,,kube_abhishek_gupta.png,,"building,apps,removing,yaml,writing,go,code",
No,getting started,Tim Spann,Developer Advocate,StreamNative,,,,Building Real-time Pulsar Apps on K8,"I will get you started with real-time cloud native streaming programming with Java, Golang, Python and Apache NiFi.",https://www.linkedin.com/in/timothyspann/,@paasdev,,,,kube_tim_spann.png,,"real-time,pulsar,apps,k8",
No,security,Jose Manuel Ortega,Freelance Security Researcher,,,,,Sharing secret keys in Docker containers and K8s,"In this talk I will show how to save secret keys in Docker containers and K8s in production and best practices for saving and securing distribution of secrets. With Docker and k8s secrets we can manage information related to keys that are needed at runtime but cannot be exposed in the Docker image or source code repository.

These could be the main talking points:

1.Challenges of security and secret keys in containers

2.Best practices for saving and securing distribution of secrets in Docker Containers

3.Managing secrets in Kubernetes using volumes and sealed-secrets

4.Other tools for distributing secrets in containers like Hashicorp Vault and KeyWhiz",https://www.linkedin.com/in/jmortega1/,@jmortegac,,,,kube_jose_manuel_ortega.png,,"sharing,secret,keys,docker,containers,k8s",
No,security,Matt Williams,Evangelist,Infra,,,,"It's My Homelab, Why Would I Want SSO?","Users. Roles. Single-sign on. These are enterprise features. I don’t need them in my homelab, right? Everyone’s homelab is different and the reasons for building one are just as different. No matter why you built it, everyone should always be thinking least privilege. The problem is that least privilege, especially with Kubernetes, is hard. It doesn’t have to be. In this talk you will see what can happen when you don’t implement least privilege, how to configure roles, and how to use them. We will look at how to do this with a number of tools and end with a quick look at doing everything with Infra which is 100% open source. You will leave the session with actionable next steps to get single sign on up and running in minutes at home using only open source tools.",https://www.linkedin.com/in/technovangelist/,@technovangelist,,,,kube_matt_williams.png,,"homelab,sso",
No,security,Ole Lensmar,CTO,Kubeshop,,,,"Edit, Debug, and Secure K8s Manifests: Why is it important and how can you get it right?","In a clear “how-to” tutorial, learn what’s needed for Development and DevOps teams to work together to manage Kubernetes configuration tasks at scale ensuring better overall productivity and deployment success the first time by leveraging open-source projects to accomplish the following tasks in an easy, straightforward way:

- Identify & fix validation errors immediately
- Provide a quick overview of k8s resources and their relationships
- Debug & validate the output of Kustomize and Helm
- Find & fix configuration errors. Diff local vs remote resources vs clusters before deployment
- Leverage easy-to-use editors and templates to ensure best practices, security & consistency across Dev and DevOps teams",https://www.linkedin.com/in/olensmar/,@olensmar,,,,kube_ole_lensmar.png,,"edit,debug,,secure,k8s,anifests",
No,deep dive,Twinkll Sisodia,Software Engineer,Red Hat,,,,Let's talk about Kubernetes Cluster Monitoring,"During my presentation, I will go into detail about why monitoring is important and how it enhances the infrastructure workflow. This talk will also explore why sometimes monitoring becomes challenging in the Kubernetes world. We’ll also explore how can we implement Prometheus, Alertmanager - an open source monitoring system and Grafana - an open source analytics platform in our clusters.
You’ll leave this talk with a better understanding of how can a Kubernetes cluster be made more powerful by adding monitoring tools within it.",https://www.linkedin.com/in/twinkllsisodia/,,,,,kube_twinkll_sisodia.png,,"kubernetes,cluster,monitoring",
No,deep dive,Trista Pan,Co-Founder & CTO,SphereEx,,,,Online OLTP computing and traffic governance as a service for true digital transformation,"Although RDS allows you to quickly create a database cluster on the cloud, efficiently distributed OLTP (Online Transaction Processing) queries or elastic computing remain a challenge. 
How to load balance and manage data traffic between apps and databases, to deliver optimal user experience while maintaining query cost awareness? How to SQL audit or block list apps’ visits?
This talk will focus on providing you with a solution for elastic and secure OLTP cloud computing with your MySQL, PostgreSQL, SQLServer, and Oracle database. ",https://www.linkedin.com/in/panjuan/,@tristaZero,,,,kube_trista_pan.png,,"oltp,computing,traffic,governance,aas",
No,deep dive,Shahar Azulay,Co-Founder & CEO,groundcover,,,,Cloud-Native Observability at Scale: Why Distributed Architectures are Here to Stay,"Gaining affordable, in-depth insights is always the first observability task of engineering teams. When you take a conventional, monolith-friendly monitoring architecture and try to graft it onto a distributed, cloud-native app problems arise - you can no longer have both.Centralized architectures, where raw data is being trucked all the way to the observability provider before being digested for insights (such as metrics), have started to weigh heavy on their teams - usually by way of immense burdening costs. Suddenly to get the desired logs, metrics and traces, teams had loads more data to collect, since a monolithic single app now gave way to a complex array of microservices. A new breed of observability architectures are out there and it’s time we all get acquainted. These architectures collect and digest raw data in a distributed manner, where the data actually lies. They break the link between the data volume monitored and the volume of data being sent, handled, and stored to support in-depth monitoring insights - reducing costs, network usage and irrelevant data collection. We’ll delve into a real life  implementation of such an approach, showing how it can redefine modern observability today, and allow sustainable scale in the future.",https://www.linkedin.com/in/shahar-azulay-54156bb4/,,,,,kube_shahar_azulay.png,,"cloud-native,observability,distributed,architectures",
