Title,Abstract,Name1,Company1,url
Topic modeling for text documents using NLP techniques ,"Talk will cover extraction of keywords from the large text documents using NLP and generative APIs. The demo will use the open source NLP library, Open AI and Python to extract keywords from the text documents and to create an automated cluster that helps understand text documents and categorise it for analytics / reporting purposes. I will be covering an example of a framework that is used at a UK government organisation to categorise applications text documents against industrial code and categories to identify new innovation trends in technology. ",Akshay Dineshkumar Jain,,https://www.linkedin.com/in/akshaydjain/
RAG for a medical company: the technical and product challenges,"[RAG (Retrieval Augmented Generation)] is the process of querying a (large) set of documents with natural language, leveraging vector search and llms. This talk will focus on learnings from building a RAG for a **medical company**, to allow doctors to query drug documentation with natural language, using tools like **[Chainlit](https://docs.chainlit.io/get-started/overview), [Qdrant](https://qdrant.tech/) and [Langsmith](https://www.langchain.com/langsmith)**.
Naturally, a product question emerged: how to effectively leverage LLMs that **can never guarantee 100% accuracy** in the health sector?
Furthermore, while many open-source tools, such as Langchain, enable the creation of such pipelines in just [few lines of code](https://python.langchain.com/docs/expression_language/cookbook/retrieval), without specific adjustments, such systems often do **not** perform well enough to gain **user adoption**.

In this talk, we will cover the challenges and learnings encountered while building a **RAG for the drug documentation of a medical company**. More specifically, we will:

- Cover the **basics** of RAGs.
- Present the use case we faced and showcase the **resulting product**.
- Show how we significantly improved our **retrieval and generation metrics** with techniques such as leveraging **LLMs** to add extra context to the user's question to enhance retrieval accuracy.
- Discuss how we designed the product to effectively utilize LLMs while ensuring that doctors are not **misled** by potentially erroneous information, such as **hallucinations**. We achieved this mostly by displaying the sources: while many RAG pipelines cite their sources, we went a step further by **inserting HTMLs** of the sources directly **within** the generated answers, along with **highlighted citations**.
- Highlight the tooling aspect of the project, e.g. **[Langsmith](https://www.langchain.com/langsmith) (a logging tool for LLMs)**, allowed us to easily augment our initial dataset and ensure that users were interacting correctly with the product. Furthermore, the ability to replay/alter a prompt on the interface allowed the **product owner** to iterate on prompt engineering and assist with technical iterations using their **field knowledge**.",Noé Achache,,https://www.sicara.fr/en/noe-achache
Make your LLM app sane again: forgetting incorrect data in real time.,"Thanks to LLMs and Retrieval-augmented generation (RAG), building a chatbot that answers questions about your own internal documentation is child's play. RAG extends the knowledge of the LLM by adding the relevant documents, dubbed the context, in the prompt. However, if your data contains outdated information or fake news, your results will be compromised too.
Fortunately, the context is lost at the end of the conversation: removing incorrect data from the documentation makes the LLM forget about it in future conversations. The challenge is maintaining a document index in real time to retrieve only up-to-date information.
In this talk, you will learn how to create an LLM-powered chatbot in Python from scratch with an always up-to-date RAG mechanism. The chatbot will answer questions about your own documents, updating in real-time its knowledge alongside the changes in the documentation.",Olivier Ruas,,
Automated Evaluation for your RAG Chatbot or Other Generative Tool,"It’s easy to build a chatbot using Retrieval-Augmented Generation (RAG). But how do you tell if it's working? In this talk, I’ll discuss why automated testing of your generative tools for your specific use case is important and why evaluations using an LLM are better than previous NLP methods. We'll then look at several ways to write automated LLM-led evaluations, including with a library that allows you to easily and with very little coding create complex grading rubrics for your tests.",Abigail Haddad,,
"Using Apache NiFi, Apache Kafka, RisingWave, and Apache Iceberg with Stock Data and LLM","In this talk, we will discuss how to use Apache NiFi, Apache Kafka, RisingWave, and Apache Iceberg to process and analyze stock data. We will start by discussing the different components of the stack and how they work together. We will then show how to use this stack to ingest, process, and analyze stock data. Finally, we will show how to use an LLM to generate predictions from the analyzed data.",Karin Wolok,,https://www.linkedin.com/in/karinwolok/
Leveraging open-source LLMs for production,"The talk will cover:
	1.	Pros and cons of open-source LLMs vs OpenAI and alike
	2.	Basic economics of hosting open-source LLMs
	3.	Open-source serving frameworks
	4.	State of cloud GPU
	5.	An overview of main open-source LLMs",Andrey Cheptsov,,https://www.linkedin.com/in/andrey-cheptsov/
Large Language Models and Observability ,"Large Language Models (LLMs) like GPT-4 have profoundly impacted the AI landscape, powering applications from customer service to automated content creation. However, these powerful models also come with their own set of challenges, including issues of output inconsistency and model drift. In traditional engineering, observability plays a crucial role in maintaining system reliability. How can we apply these principles to LLMs to ensure they are both effective and safe in production environments?

In this talk, we delve into the unique challenges that LLMs present, such as addressing issues related to output drift and model brittleness. We will explore a variety of tools and techniques that borrow from traditional engineering observability to provide real-time monitoring, analytics, and actionable insights for optimizing LLM performance.

I will demonstrate how implementing these observability techniques can mitigate the risks associated with LLMs, allowing for more robust, accountable, and safe AI-powered applications.

What You'll Learn:

    - The complexities and challenges associated with LLMs, particularly in terms of output inconsistency and model drift.
    - A survey of tools and techniques that adapt traditional engineering observability principles for monitoring and optimizing LLMs. (Tools: GCP, Vertex AI, LangSmith)",Aarushi Kansal,,
The future of search,"Open-source LLMs and vector databases allowed us to build a search technology that allows users to describe their search terms using common language, returning all results that fit the category of this language. For example, we can now search an entire e-commerce store with a query such as ""a slightly bitter beverage people drink to wake them up"" and our tool should return results related to coffee. In fact, the user can use any input language or even images as their query. ",Ben Fistein,,https://www.semantee.ai/
"Governance, Risk, and Compliance for Large Language Models","The talk explains how the explosion of Generative AI introduces new risks for organizations that use tools like ChatGPT in the workplace.

It's essential to manage risks to avoid cyber incidents, private data leaks, regulatory fines, or copyright infringement.

The presentation covers relevant governance, risks, and compliance controls for security, privacy, and legal professionals.

The examples include asset management and observability for LLMs, privacy for data protection and compliance, security against cyber risks, and safety for responsible AI adoption.",Eugene Neelou,,https://www.linkedin.com/in/eneelou/
Safe AI Implementation Strategies: Protecting Your Company's Future While Embracing Innovation,"""Safe AI Implementation Strategies: Protecting Your Company's Future While Embracing Innovation"" is a talk designed for executives who are interested in leveraging artificial intelligence (AI) to drive innovation and growth in their organizations. The talk focuses on the importance of implementing AI in a safe and responsible manner, considering the potential risks and challenges associated with this rapidly evolving technology.

During the talk, the following key points will be addressed:
- Understanding the potential benefits and risks of AI: Executives will learn about the various ways AI can benefit their organizations, such as optimizing and automating business processes, providing decision support, and creating new business opportunities. They will also gain insights into the potential risks and challenges associated with AI implementation, such as security concerns, ethical considerations, and the need for continuous monitoring and evaluation.
- Choosing the right AI platform and service providers: Executives will be guided on how to select AI platforms and service companies with the necessary security certifications to ensure the safety of their data. They will also learn about the importance of customization and ongoing management to meet their organization's specific requirements.
- Collaborative effort and diversity of perspectives: Embracing AI should be a collaborative effort that includes a diverse range of stakeholders, from technologists and ethicists to policymakers and the public. Executives will understand the value of diverse perspectives in identifying potential pitfalls and ensuring that AI benefits society.
- Adaptable regulations and practices: As AI is a rapidly evolving field, regulations and practices should be adaptable to accommodate future advancements while maintaining a focus on ethical and safety considerations. Executives will learn about the importance of flexibility in their AI implementation strategies.

By the end of the talk, executives will have a better understanding of how to implement AI in a safe and responsible manner, protecting their company's future while embracing innovation. They will be equipped with practical strategies and considerations to guide their AI implementation efforts and ensure the long-term success of their organizations.",Dan Savino,,
Large Language Models is What We Need to Create Jarvis from Ironman,"Prepare to embark on a captivating journey as Jason takes the stage to unveil the incredible world of Large Language Models (LLMs) and their pivotal role in bringing science fiction to life. In this thought-provoking talk, you will delve deep into the groundbreaking advancements in LLMs that are redefining the very fabric of software development. Join us as we explore the complexities and opportunities of crafting an AI assistant akin to the legendary Jarvis from Iron Man.

Jason will unravel the following key themes in this enthralling session:

- Advancements in LLMs: Discover how LLMs are pushing the boundaries of what was once considered science fiction and turning it into reality. 

- Changing the Software Landscape: We are closer than ever to witnessing a paradigm shift in the software industry, where LLMs play a central role in reimagining how humans interact with technology.

- The Challenges of Creating Jarvis: Delve into the intricacies and hurdles of creating a Jarvis-like AI using LLMs.

Don't miss this opportunity to gain invaluable insights into the future of AI and software development. ",Jason Tan,,https://linktr.ee/jpctan
Leveraging Large Language Models in a Communication Platform,"In the evolving landscape of technology, understanding the depth of context within communication platforms is crucial. With the advent of GenAI, we aim to explore how this technology can significantly enhance context awareness and productivity.

Our session delves into the transformative power of GenAI, spotlighting its ability to streamline intricate processes such as Site Reliability Engineering, Change Management, Production Readiness Reviews, and Incident Management. Moreover, GenAI addresses the pervasive issue of FOMO (Fear Of Missing Out) while prioritizing overall well-being, fostering a balanced work environment.

In this presentation, we don't shy away from the critical conversations surrounding security and ethics. We emphasize the importance of the role of Open Source AI Models, ethical AI integration and robust security measures, ensuring the responsible use of this technology. By participating in this session, attendees will gain valuable insights into harnessing the potential of AI while upholding ethical standards and data security.",Spiros Economakis,,https://www.linkedin.com/in/spirosoik/
How to use ChatGPT without getting caught,"Join us as we explore the world of **detecting AI-generated text**, such as what you get from ChatGPT. Have you ever wondered how experts uncover it? We'll spill the beans!

We'll start from scratch, briefly explaining how the generation of text using AI works. No previous background in the field is required!

Then, we'll discuss classifier systems for detection, black and white box models, watermarking, and manual techniques for detection — cool stuff to keep in your toolbox!

But here's the twist—these systems are not foolproof. There are ways to get around them, and we'll explore how. **Ready to uncover the mysteries? See you there!**",Aldan Creo,,https://acmc-website.web.app
