Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Anoosha Cherukuri,,State of Tennessee,,,,Low-Code Meets Public Code: Automating with Minimal Engineering,"Explore how low-code platforms can augment public sector systems—saving time, reducing costs, and delivering faster.",,,,,,Anoosha Cherukuri_mlops.png,https://youtu.be/1olXcU-PWIQ,"low,code,meets",
Yes,,Madhavi Bhairavabhatla,"Director, Software Engineering",Mastercard,,,,"Fail Fast, Recover Faster: Harnessing Cascading Timeouts for Scalable System Resilience","Struggling with slow failures and system crashes at scale? Learn how cascading timeouts transformed our infrastructure into a high-speed, failure-resilient machine. Walk away with proven tactics to boost throughput, cut latency, and build bulletproof MLOps systems.",https://www.linkedin.com/in/madhavi-bhairavabhatla-75412914,,,,,Madhavi Bhairavabhatla_mlops.png,https://youtu.be/6_kUviHU6cU,"fail,fast,recover",
Yes,,Nikitha Edulakanti,"Manager, Data and AI Solutions",Fresenius Medical Care,,,,MLOps at Scale: Designing Governed AI Pipelines for Healthcare Impact,"Discover how to design secure, governed MLOps pipelines that scale across enterprise healthcare systems. Learn lessons from real-world deployments using GenAI, data governance frameworks, and AI-enhanced care workflows to accelerate innovation responsibly.",https://www.linkedin.com/in/nikitha-edulakanti/,,,,,Nikitha Edulakanti_mlops.png,https://youtu.be/V6iOKA7Mmck,"mlops,scale,designing",
Yes,,Sheela Kakanur Shivayogi,,Bapuji Institute of Engineering and Technology,,,,Transforming Residential Communities Through AI-Driven Unified Engagement,"Modern residential communities face significant challenges in resident engagement, with traditional property management approaches resulting in widespread resident dissatisfaction with communication channels and difficulties accessing essential local services efficiently. This presentation introduces a revolutionary AI-powered ""single pane of glass"" platform that transforms community living through intelligent integration and personalized engagement. Our comprehensive solution consolidates critical residential services into one unified dashboard, addressing the fragmentation that costs residents considerable time in service coordination. The platform leverages machine learning algorithms to provide personalized recommendations across multiple domains: educational facilities (schools and daycare with real-time review aggregation from multiple sources), trusted service providers (plumbing, handyman, lawn maintenance, and pest control with high resident satisfaction ratings), financial services (home insurance and mortgage references with potential cost savings), and healthcare networks (pediatric and general health provider referrals with faster appointment scheduling). Advanced AI-driven features include automated community management reducing administrative overhead, intelligent content personalization increasing resident engagement, and instant response systems achieving rapid query resolution. The platform facilitates seamless community center and sports court reservations (reducing booking conflicts), rental opportunity matching with high success rates, automated playdate coordination for families, and youth volunteer program management. Real-time housing market analytics provide residents with property value insights, showing improved portfolio appreciation awareness. Implementation across pilot communities demonstrated strong resident adoption rates, significant reduction in community management costs, and substantial increases in neighborhood satisfaction scores. This presentation will showcase deployment strategies, ROI metrics, and scalable frameworks for implementing AI-driven community engagement solutions that redefine modern residential living standards.",,,,,,Sheela Kakanur Shivayogi_mlops.png,https://youtu.be/JglCs7AJmg4,"mlops,mission,critical",
No,ai,Pushpalika Chatterjee,"Senior Software Engineering Manager, Enterprise Payments",The Huntington National Bank,,,,Generative AI in Fintech: From Transactional Data to Personalized Financial Experiences,"Discover how Generative AI is transforming fintech by turning transactional data into personalized financial journeys. Learn how LLMs and behavioral insights are creating smarter, more intuitive banking, investing, and customer experiences.""",https://www.linkedin.com/in/pushpalika-chatterjee-12692749/,,,,,Pushpalika Chatterjee_mlops.png,,"generative,ai,fintech",
No,ai,Anjan Dash,Software Engineer,Meta,,,,MLOps at Trillion-Parameter Scale: Operationalizing Large Language Model Training Pipelines,"Master MLOps for trillion-parameter LLMs: automated training pipelines, failure recovery, cost optimization, and production deployment strategies from real-world large-scale AI systems.",https://www.linkedin.com/in/anjan-dash/,,,,,Anjan Dash_mlops.png,https://youtu.be/OlnfHi9EBSE,"mlops,trillion,parameter",
No,ai,Mohan Singh,Software Development Manager,Amazon,,,,Building Autonomous MLOps: Self-Healing Infrastructure and AI-Driven Code Evolution,"End 3AM infrastructure alerts forever! Watch AI predict failures, auto-scale systems, and cut ops overhead 80%. Live demos of self-healing ML platforms already transforming production. The autonomous future starts here",https://www.linkedin.com/in/mohan-singh-02688091/,,,,,Mohan Singh_mlops.png,https://youtu.be/Fostk7boNTA,"building,autonomous,mlops",
No,ai,Nishanth Joseph Paulraj,Senior Data Engineer,Thermo Fisher Scientific,,,,Deploying AI Literature Agents at Scale: MLOps Strategies for Biomedical Research Platforms,"From 1M papers per year to instant answers. See how we built production AI agents that revolutionized biomedical research. 90% accuracy, 80% time savings, 100% actionable MLOps blueprints with live demos",https://www.linkedin.com/in/nishanth-joseph-paulraj/,,,,,Nishanth Joseph Paulraj_mlops.png,https://youtu.be/E86390EpwQ0,"deploying,ai,literature",
No,ai,Prabhakar Singh,Software Engineer,Meta,,,,Production MLOps for Spam Detection: Real-Time Multi-Modal AI at Billion-User Scale,"Billion-user platforms crush spam attacks in milliseconds,Discover production MLOps secrets: smart sampling that slashes labeling costs, real-time threat detection, privacy-preserving ML, and bulletproof deployments. Internet-scale AI exposed",https://www.linkedin.com/in/singhprabhakar3/,,,,,Prabhakar Singh_mlops.png,https://youtu.be/MZdSi1Fe1_8,"production,mlops,spam",
No,automation,Lalitha Potharalanka,Senior Appian Developer,FDA,,,,Scaling Educational AI at the Edge: MLOps Strategies for Low-Code Platforms in Resource-Constrained Environments,"Deploy AI to MILLIONS of students using low-code MLOps, Master edge inference, automated bias detection & privacy-preserving pipelines that actually WORK in rural schools with terrible internet. Real nationwide case studies, proven strategies",https://www.linkedin.com/in/lalitha-potharalanka/,,,,,Lalitha Potharalanka_mlops.png,https://youtu.be/GvWfz8VsZ5Q,"scaling,educational,ai",
