Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Jessica Wirt,Content Strategist,truematter,,,,UX Unicorns Do Not Exist: The Myth of the One-Person Usability Team,"So you’re ready to hire someone to help with user experience. You’ve identified usability issues with your sites, apps, or other software products, and need someone to help fix them, a single usability professional to “do UX”—whatever that means. I’m sorry to tell you, this person does not exist. And, if you try to foist all of your usability problems onto one professional, you will not get the rainbow-filled success you’re hoping for.

While UX professionals might be pretty magical beings, no one person can juggle all of the areas of expertise needed for top-tier user experience. Having a full, well-rounded usability team is always ideal. But we don’t live in a world of unicorns or ideals. You may only be able to get the budget, resources, or go-ahead for one UX hire.

If that’s where you’re at, not all is lost. You can still create more useful, usable sites and apps with a single, strategic UX hire. To make this work, you’ll need to focus less on one person to do all things UX and more on how your lone UX pro will fit into the team and skillsets you already have.

Attendees will walk away being able to:    
* Make an honest assessment of their team’s strengths and weaknesses
* Understand the value of embedding UX in their existing team structure
* Take concrete steps towards happier users and improved success online
",https://www.linkedin.com/in/jessica-wirt-244866161/,@JessAndAmen,,,,mobile_jessica.png,,ux unicorns myth of one-person usability team,
Yes,,Manuel Carrasco Molina,Senior SwiftUI Dev & Ethical (H)ac(k)tivist,StuFF mc,,,,How Devs can save the future generations,"Manuel's passion for software development is way older than his passion for the environment. Still, over the last 10 years, he realized one cannot be more important than the other one.

If I want to leave a livable planet to my grand-children, if I want to have grand-children at all, I need to bring the argument of CO2 on the table regularly at technical meetings and conferences.

I don't want to hide under APIs ever again. I don't want the politician and activist in me to ever hide behind the programmer, because I felt I could convey the message better with slides full of code.

The time is now where I would like to try a wake up call to all of us and explain why if we don't work all together, at every level, the world as we know it, the so-called civilization will be over in 10 to 15 years.

We're the new dinosaurs, let's try to survive instead of writing the next feature in the next sprint. This sprint — the one for our future — is a way bigger story.",https://www.linkedin.com/in/stuffmc,@stuffmc,,,,mobile_manuel.png,,how devs can save future generations,
No,android,Nav Singh,Mobile Software Engineer,Manulife,,,,Accessibility in Android,"What we will learn:
* Implementing Accessibility in old UI toolkit and Jetpack compose
* Accessibility testing (manual and automated) 
* Analysis tools ( Accessibility scanner, and talkback)
* Demo the sample code on how to write an Espresso test which will test the accessibility of User-Interface",https://www.linkedin.com/in/navczydev/,@navczydev,,,,mobile_nav.png,,"accessibility, android",
No,android,Ahmed Tikiwa,Senior Software Engineer - Android,Luno,,,,"From XML to Compose, my journey of transforming an existing large app to Jetpack Compose","After Jetpack Compose was finally released, creators of new Android apps were now equipped with a tool that will help them easily write Android apps using the new declarative approach. The journey is not easy for developers who already have large apps that use the imperative, XML-based approach and want to convert it to Jetpack Compose. The migration journey has its ups and downs, initially daunting but eventually satisfying. 

This talk will highlight that journey, Ahmed's learnings and advice for developers looking to migrate their existing Android apps to Jetpack Compose. ",https://www.linkedin.com/in/ahmed-tikiwa/,@ahmed_tikiwa,,,,mobile_ahmed.png,,"xml,transforming large app,jetpack compose",
No,android,Giovanni Laquidara,Developer Advocate,Huawei,,,,Develop a Video Editing app in 5 simple steps,"In this talk the audience will learn how to develop an Android app to perform Video Editing.

We will use the services provided by Huawei HMS Core to create in 5 steps a cool app capable to give your user the power of editing awesome videos with the most modern capabilities, custom UI, stickers, AI filters and other cool features

We all know video content is the king nowadays and we all know as a developer that building a Video Editing app could be hard, from design to development.  Using these SDK will make this process trivial.",https://www.linkedin.com/in/glaquidara,@joaolaq,,,,mobile_giovanni.png,,develop video editing app in 5 steps,
No,ios,Ivan Besarab,iOS Team Lead,Innit.inc,,,,How to kickstart as iOS developer,"In the talk, Ivan will address the following:
- How to kickstart as an iOS dev today?
- What are the best goals for beginners? 
- What is the difference between private schools and public courses?
- Is it worth it to be an iOS dev?
",http://linkedin.com/in/ivan-besarab,,,,,mobile_ivan.png,,iOS background modes timeframes availability,
No,ios,Julio Cesar Fernandez Munoz,Swift Developer Evangelist & Podcaster,Apple Coding Academy,,,,Secure coding in iOS,"You are an iOS developer, but do you know how exactly your device protects the information of your users? Even more, do you know that you need to take control of certain behaviors or situations to make your code more secure? Are you using cryptography in your app? Where do you have to save the most sensitive information? Do you know that SwiftUI offers you a way to obfuscate data in less secure situations for your users?

In this talk, we will learn more about how iOS security works and how to improve your app making it more secure.
",https://www.linkedin.com/in/jcfmunoz,@jcfmunoz,,,,mobile_julio.png,,secure coding,
No,ios,Frank Courville,Chief Instructor & Content Director,School of Swift,,,,Leveraging the power of State Machines in Swift,"This talk teaches the attendee what state machines are, how to draw state diagrams, and then how to take those state diagrams and translate them into code.

It also touches upon how we can keep complexity manageable by creating state machines that can be composed together. This is a novel technique I have rarely seen discussed before, but it's incredibly powerful.",https://www.linkedin.com/in/frankcourville,@frankacy,,,,mobile_frank.png,,"swift,power of state machines",
No,ios,Pawel Lopusinski,iOS Developer,Glovo,,,,Obscure Swift,"#### Swift helps the developer quite a lot and has many quality of life features that can be leveraged. But sometimes these can bite us in quite unexpected ways.

Pawel will talk about 4 such cases in Swift:
- the @autoclosure annotation and a ""hidden"" retain cycle you can get there
- how to turn a Swift struct into an NSObject
- default parameters in functions and overriding them in subclasses
- and how to have multiple variables of the same name, but different type, in a single object (kind of)

Pawel believes that developers of all levels can benefit from this - newcomers will learn about language features (@autoclosure, default implementation in extension) while at the same time, together with more experienced devs, will get a chance to take a look under the hood and see what powers those features and what seemingly unexpected consequences we may encounter when using them.",https://www.linkedin.com/in/pawe%C5%82-%C5%82opusi%C5%84ski-86185227,@Losiowaty,,,,mobile_pawel.png,,obscure swift,
No,cross-platform,Nicola Zaghini,Engineering Manager,Phorest Salon Software,,,,I am only dreaming. Right?,"It was late 2017 when I, the Mobile Architect, was asked to evaluate React Native for the first time: a prospect client explicitly asked for it as a cross platform solution. As a Mobile Architect that built his fortune with native I clearly advised against, pitching native as the only viable option. Few months later AirBnB was sunsetting React Native. What a win, I was right! Sadly the prospect client left as the cost of two distinct developments was unsustainable. I started to doubt my decision. I was almost ready to wake up.

Later in the year I was challenged by the C-levels on how to contain the bleeding costs of double development of every aspect of our mobile products, how to solve feature disparity among platforms, how to get faster to market and so on. We can push our architecture / process as we want but there is a limit that just a technology change can break.

I put myself outside of my comfort zone by giving up on my native dogma, prepared to give cross platform, in the specific React Native, a real chance. I was out of my bed, awake.

With a great team, in a relatively short time frame, we managed to pitch, hire, develop and distribute top class native experiences for thousands of customers and tick all the C-levels requirement boxes. There is no money that would convince me back to how I used to do mobile before.

In this talk I am sharing my experience on how to successfully do cross platform, from pitching to C-levels to forming the right team for executing and delivering top class native mobile apps that delight your customers!",https://www.linkedin.com/in/nicolazaghini,@nzaghini,,,,mobile_nicola.png,,"dreaming,reactnative,cross-platform",
