Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,ai,Kirti Ranjan Parida,DevOps Architect,Informatica,Sarav Jagadeesan,Director of Platform Engineering & Infrastructure,Informatica,Next-Gen Observability: Leveraging AI and Data Pipelines to reduce Cost and MTTR,"Next-generation observability pipelines, powered by AI, are transforming how organizations manage complex systems by dramatically reducing both operational costs and MTTR. They filter out noise and self heal system with less human involved in incident management",https://www.linkedin.com/in/kirti-ranjan-parida/,,https://www.linkedin.com/in/saravananjagadeesan/,,,astronaut_obs.png,,"mttr,pipelines,reduce",
No,ai,Naveen Desai,Principal Engineer,Marvell Technology,,,,AI-Powered Observability in Semiconductor Design: Achieving Real-Time Insights and 40% Faster Design Cycles Through Advanced Monitoring and Analytics,"Uncover how AI-powered observability is revolutionizing semiconductor design, slashing design cycles by 40% and boosting yields by 22%. Learn how leading chip makers implement real-time monitoring and predictive analytics to transform development workflows, overcome billion-transistor complexity",https://www.linkedin.com/in/naveen-desai-615aa91/,,,,,Naveen Desai_obs.png,,"design,semiconductor,40",
No,ai,Srikanth Potla,Senior Product Security Engineer,Sofi,,,,Threat Modeling for Observability: From Blind Spots to Actionable Insight,"Think your observability stack is secure? Think again. This talk shows how threat modeling reveals hidden risks in logs, metrics, and traces. Learn to spot blind spots, think like an attacker, and build observability systems that are not just insightful—but secure by design.",https://www.linkedin.com/in/srikanth-potla-a8b7081a9/,,,,,Srikanth Potla_obs.png,,"modeling,insight,spots",
No,ai,Srujan Reddy Anugu,SAP Basis Lead,ADM,,,,"Cloud-Based Data Integration: Architecting Scalable, Secure, and Intelligent Solutions for the Future","Learn how Fortune 500 companies are revolutionizing their data ecosystems with cutting-edge AI, microservices, and real-time streaming. Discover best practices to boost efficiency, security, and scalability while tackling data silos and compliance challenges.",https://www.linkedin.com/in/srujananugu/,,,,,Srujan Reddy Anugu_obs.png,,"solutions,future,secure",
No,ai,Ajay Averineni,Lead Application Developer,IBM,,,,Observability-Driven Intelligence: AI-Powered Anomaly Detection for Telecom Service Reliability,"Discover how AI-powered observability is revolutionizing telecom networks! Learn how we achieved 73% better anomaly detection, slashed downtime by 41%, and saved millions in operational costs. Get actionable strategies to transform your monitoring from reactive to predictive day!",https://www.linkedin.com/in/ajay-averineni-89485017/,,,,,Ajay Averineni_obs.png,,"service,telecom,reliability",
No,ai,Vamsi Praveen Karanam,Software Development Engineer,Amazon,,,,AI-Driven Observability for Massive AWS Serverless Workflows,"When a Step Functions fan-out unleashes thousands of Lambdas, cost spikes, latency cliffs, and tracing gaps follow. By streaming telemetry into a SageMaker-hosted graph neural network, you can pinpoint hot branches in real time and let AI auto-tune chunk sizes to keep SLOs and budgets safe.",https://www.linkedin.com/in/vamsipraveenk/,,,,,Vamsi Praveen Karanam_obs.png,,"aws,serverless,workflows",
No,ai,Srinivas Sriram Mantrala,,,,,,Beyond Metrics: AI-Powered Observability in Microservices Architectures,"The transformation from reactive to predictive observability
Concrete metrics (73% MTTR reduction) that demonstrate business value
Practical applications that attendees will learn
A competitive advantage angle that will appeal to decision-makers",,,,,,astronaut_obs.png,,"microservices,metrics,architectures",
No,architecture,Anusha Reddy Guntakandla,Software Engineer,Wayfair,,,,Modular Architecture: Enhancing Agility and Efficiency in Enterprise Application Design,"Unlock the future of enterprise apps with Modular Architecture! Break down complex systems into interchangeable modules to boost agility, cut IT overheads, & accelerate dev cycles by 35%. Top companies deploy code 973x more often & restore services 6570x faster. #TechInnovation",https://www.linkedin.com/in/anushareddyguntakandla/,,,,,Anusha Reddy Guntakandla_obs.png,,"modular,agility,application",
No,architecture,Anup Raja Sarabu,Senior Technical Product Manager,T-Mobile,,,,Building Resilient Asynchronous Commerce Systems: Observability Lessons from Event-Driven Architectures,"Discover how observability transforms asynchronous commerce platforms. Uncover the secrets to building resilient systems with event-driven insights. Learn to master asynchronous workflows, distributed tracing, and real-time diagnostics for reliable digital transactions.",https://www.linkedin.com/in/anuprajasarabu/,,,,,Anup Raja Sarabu_obs.png,,"asynchronous,eventdriven,commerce",
No,architecture,Raghavender Puchhakayala,Senior Member IEEE,JPMorgan Chase,,,,"Mastering Observability in Distributed Systems: Tools, Techniques, and Lessons Learned","Learn how to build and maintain observable distributed systems! Discover innovative tools, frameworks, and strategies to monitor, troubleshoot, and optimize complex architectures effectively.",,,,,,Raghavender Puchhakayala_obs.png,,"tools,mastering,techniques",
No,architecture,Vinay Gopigari,Integration Architect,PhiDimenions,,,,Architecting Observable Integrations: MuleSoft-Powered Visibility Across Enterprise Systems,Unlock the power of observability in MuleSoft ecosystems! Discover how advanced telemetry cuts incident resolution time by 35% and virtually eliminates blind spots. Learn actionable strategies for implementing self-healing integrations,https://www.linkedin.com/in/vinay-g-15aa12126/,,,,,astronaut_obs.png,,"integrations,mulesoftpowered,observable",
No,business,Shreya Gupta,,University of Southern California,,,,Serverless AI's Rise: Revolutionizing ML Deployment with Scalability & Cost Efficiency,"Unlock the future of AI with serverless computing! Cut costs, boost scalability, and simplify deployment by eliminating server management. Businesses reduce TCO by 42%, accelerate innovation, and drive efficiency in AI-driven industries. #AI #Serverless #Innovation #Efficiency",https://www.linkedin.com/in/shreya-gupta-361a92126/,,,,,Shreya Gupta_obs.png,,"scalability,efficiency,ml",
No,business,Anastasiia Zvenigorodskaia,Chief Operating Officer,Epicmax,,,,Making Open Source Profitable,"Open source is powerful - but can it be profitable? Many projects thrive, while others vanish. What makes the difference? In this talk, I’ll reveal real-world strategies, mistakes, and lessons from launching and scaling an open-source project. Learn how to turn GitHub stars ⭐ into revenue!",https://www.linkedin.com/in/zvenigorodskaia/,zvenigorodskaia,,,,Anastasiia Zvenigorodskaia_obs.png,,"opensource,profitable,making",
