Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Teaser
No,lessons learned,Aakash Gupta,CEO,Think Evolve Consultancy,,,,Using Open Earth Observations for measuring economic indicators,"Economists generally struggle to quantify the impact of policies at the ground level. We illustrate how open Earth Observation data (or satellite imagery) can be used to measure economic activity.

The alarming speed with which the COVID19 global pandemic spread across the world and the subsequent quarantine & work-from-home (WFH) measures initiated by various governments has created an unprecedent situation. There has been a sharp decline in economic activity and the global GDP is projected to contract by 3% (IMF projections April 2020) That is equivalent to $3tn of lost economic output & precious jobs.  World Bank believes that the pandemic will also push the poorer section of the society into extreme poverty. However the pandemic has also given us an opportunity to observe the impact - EO/ Satellite data is being used to quantify the impact on the global economy. 
We discuss the various methods with which economic activity can be measured. As an example we will also illustrate how, NO2 data can be extracted from multi-spectral satellite imagery. And highlight changes in pollution levels across major industrial belts.",https://www.linkedin.com/in/aakash-gupta-5ky/,@Aksgupta123,,,,python_aakash.png,,"earth observations,measuring economic indicators",
No,deep dive,Abdur-Rahmaan Janhangeer,Founder,Compiler Alchemy,,,,Shopyo: Your Mega Flask Machine,"Django and Flask regularly come out as the most preferred tools of Python developers. Django is the heavy tool while Flask is the flexible, tedious solution if not careful. This talk unveils Shopyo which leverages Flask loaded with Django advantages. Presenting a monster of a new kind.

This talk presents Shopyo. A framework to help Flask users get started quickly with a great architecture and features never seen before in the Flask world. It allows Flask people to have Django powers, and beyond. It allows the use of apps/modules with the addition of a concept called box. It also supports some Django commands like collectstatic. It comes with tests and docs ready to go. We also included a few touches of Masonite. It's much, much more than a Flask boilerplate project. In line with the Flask spirit it leaves much control of the wizardry in your hands, you the user.

The framework was designed to spin big, flexible and organised projects. The talk presents the features of the project as well as setting up a demo project.
This talk is an advanced one. It requires the user to have knowledge of common packages like flask_login, sqlalchemy, alembic & flask_migrate, flask_wtf, sqlalchemy_wtf, of concepts like multi-profile configs and the app factory pattern etc. To be a well grounded Flask dev if you like. Just go over them if you are reading these lines as the talk needs at least a conceptual knowledge of those.

## Why should you waste your time attending this presentation?
I decided to present the conclusion of years and years of Flask development as a framework which allows you to stand on the shoulders of giants from day one.
",https://www.linkedin.com/in/appinv/,@sodotsystem,,,,python_placeholder.png,,"shopyo,flask",
No,deep dive,Cheuk Ting Ho,Developer Relations Lead,TerminusDB,,,,How to be Pythonic? Design a Query Language in Python,"We created Python API calls that let you can make queries and manipulate data in our graph database. We thought about what will be best for Pythonistas? What will be the most Pythonic way to do it? (Is it a thing?) Here's our journey in making WOQLpy and we want to make it useful to you.

Query language is an important part of a database system, it is how people manage their data and how they can make the data useful to them. Starting from the 70s, the world is full of relational databases and SQL was the way to make queries. However, SQL is valuable to an injection attack. Lots of efforts are being used to stop those attacks and it made workflow become less efficient.

We don’t want to make the same mistake. That’s why using a Python query language is good. Having the Python community in our mind, we created WOQLpy, an open-source query language that lets users build queries in Python, instead of JSON-LD which is the native query language for our TerminusDB database. Now users can store data with a knowledge graph and make graph data visualization with Python.

In the first part of the talk, we will talk about what challenges we have when creating a query language in Python, the method we use, the idea and theory behind, and how WOQLpy work. This part will include a quick live demo of using WOQLpy so audiences can have an impression on how to make a query and get the task done, that is, getting a meaningful graph visualization form the source CSVs. The process of how to create a database and schema, loading the data form many CSVs, making a query and visualization, will be demonstrated using just one python script.

In the second part of the talk, we want to stimulate a discussion of what is a good design in Python and what is not. This part will be more interactive with the audiences, as we want to hear from you all, what would be the best for Pythonistas. By first suggesting some possible design, we will use a live voting system to gather opinions. This part of the talk will extend to the Q & A sessions to allow further discussions.

This talk is for Pythonista at all levels who are interested in starting to design a package in Python, no matter if the audience has published a python library or not. By attending this talk, audiences will learn about how to design a Python package that will be useful to Pythonistas and hopefully encourage more people to publish open-source packages online.",https://www.linkedin.com/in/cheukting-ho/,@cheukting_ho,,,,python_cheuk.png,,"how to be pythonic,query language",
No,deep dive,Dave Stokes,MySQL Community Manager,Oracle,,,,Python and the New MySQL Shell,"The MySQL Shell is an advanced command-line client and code editor for MySQL and it has three modes - Structured Query Language (SQL), JavaScript,  and Python.  

The Python mode allows you to use your favorite libraries directly with your database, provides a  and you can write your own scripts in Python to check on server status. When MySQL Shell is connected to the MySQL Server through the X Protocol, the X DevAPI can be used to work with both relational and document data (NoSQL), or both. ",https://www.linkedin.com/in/davidmstokes/,@Stoker,,,,python_dave.png,,"MySQL shell,sql,nosql,JSON",
No,deep dive,Francesco Tisiot,Analytics Tech Lead,Rittman Mead,,,,Event-driven applications: Apache Kafka and Python,"What's better than a pizza example to show how Python and Apache Kafka, a streaming platform, work together to enable reliable real-time data integration for your event-driven application? 
Lets dig into problems Kafka is solving, its Python libraries and prebuilt connectors together!

Code and data go together like tomato and basil; not many applications work without moving data in some way. As our applications modernise and evolve to become more event-driven, the requirements for data are changing. In this session we will explore Apache Kafka, a data streaming platform, to enable reliable real-time data integration for your applications.
We will look at the types of problems that Kafka is best at solving, and show how to use it in your own applications. Whether you have a new application or are looking to upgrade an existing one, this session includes advice on adding Kafka using the Python libraries and includes code examples (with bonus discussion of pizza toppings) to use.
With Kafka in place, many things are possible so this session also introduces Kafka Connect, a selection of pre-built connectors that you can use to route events between systems and integrate with other tools. This session is recommended for engineers and architects whose applications are ready for next-level data abilities.

Apache Kafka is becoming the de-facto standard for streaming applications with many companies basing on Kafka their whole data pipeline.
In micro-services contexts Apache Kafka runs the fundamental role of decoupling information's producers and consumers thus making sure data pipelines are scalable and reliable.
I'm a Developer advocate at Aiven.io, leader in the managed Apache Kafka sector, spending most of my time in developer's shoes building reproducible examples of data pipelines. 
I've been blogging and speaking around the world since 2014 about various aspects of the Data lifecycle: from producing applications, analytics, visualisation and streaming platforms.",https://www.linkedin.com/in/francescotisiot/,@Ftisiot,,,,python_francesco.png,,"Apache Kafka,event driven applications,streaming platform,data streaming",
No,security,Gajendra Deshpande,Assistant Professor,KLS Gogte Institute of Technology,,,,Build Your First Cyber Forensic Application using Python,"In this talk, one can learn how to develop their own cyber forensic tool using standard python library functions and modules.

A recent study by CheckPoint Research has recorded over 1,50,000 cyber-attacks every week during the COVID-19 pandemic. There has been an increase of 30% in cyber-attacks compared to previous weeks. The pandemic has been the main reason for job loss and pay cuts of people and has led to an increase in cybercrimes. Examples of cyber-attacks include phishing, ransomware, fake news, fake medicine, extortion, and insider frauds. Cyber forensics is a field that deals with the investigation of digital crimes by analyzing, examining, identifying, and recovering digital evidence from electronic devices and producing them in the court of law. Python has a great collection of built-in modules for digital forensics tasks. The talk begins with an introduction to digital crimes, digital forensics, the process of investigation, and the collection of evidence. Next, I will cover the various python modules and built-in functions required to build your first cyber forensic application. The modules covered in the discussion are pyscreenshot, PIL, secrets, argparse, hashlib, os,csv, logging, time, sys, stat and NLTK. Finally, I will demonstrate using code walk through the sample cyber forensic application. 

Outline
1. Introduction to digital crimes, digital forensics, the process of investigation, and the collection of evidence.
2. Setting up Python for forensics application development
3. Built-in functions and modules for forensic tasks
4. Forensic Indexing and searching
5. Forensic Evidence extraction
6. Using Natural Language Tools in Forensics
7. Code walkthrough of sample forensic application
8. Conclusion and Next steps

",https://www.linkedin.com/in/gajendradeshpande/,@gcdeshpande,,,,python_gajendra.png,,Cyber Forensic Application,
No,security,Gordon Rudd,CEO,Stone Creek Coaching,,,,"Scalable, Sustainable Cybersecurity for Any Size Organization","This session will focus on how corporate size and growth rate actually dictate cybersecurity methodology, strategy and operations.  Setup and maintenance of CyberOps is very different for these companies. IT and Cybersecurity operate in hybrid models, focused on five areas. Successful information security teams must understand each of these areas and their operation to succeed.

Securing fast-growing companies, is difficult to do. Very difficult to do well. This session will give attendees key performance indicators to describe the relationship between each area of excellence and the scalability, sustainability and flexibility required in a cybersecurity program/department.  
",https://www.linkedin.com/in/gordonrudd/,@glrudd,,,,python_gordon.png,,"cybersecurity,scalability,sustainability,ciso",
No,deep dive,Jason C. McDonald,CEO,MousePaw Media,,,,Whose Method Is It Anyway?,"The very thought of multiple inheritance inspires fear and loathing in many programming languages, but not in Python! In this emoji-powered talk, you'll learn how Python uses the method resolution order to handle multiple inheritance, and how to put this to work for you.

Python does a shockingly good job at handling multiple inheritance. In this emoji-powered talk, learn how Python figures out what method to call in a multiple inheritance situation. Armed with this knowledge, you'll be prepared to swing in as the hero the next time your team is scratching their head and asking ""why's THAT code getting run??""

In the second half of this talk, you'll learn how to actually USE multiple inheritance, in the form of mixins, to make your code easier to maintain.",https://www.linkedin.com/in/codemouse92/,@codemouse92,,,,python_jason.png,,Whose Method Is It Anyway,
No,lessons learned,Joshua Arvin Lat,CTO,NuWorks Interactive Labs,,,,Machine Learning Engineering Done Right: Designing and Building Complex Intelligent Systems and Workflows with Python,"It is not an easy task to design and build systems that involve **Machine Learning** and **Data Science** requirements. In addition to this, managing the complexity of intelligent systems requires careful planning and execution. In this talk, I will share the different strategies and solutions on how to design, build, deploy, and maintain complex intelligent systems and workflows. I will discuss how different concepts like Metaprogramming, Infrastructure as Code, Continuous Integration and Deployment, and Architecture Patterns work in the real world and how these concepts are used in a practical setting.

We will talk about how to use **Python** with different tools and services to perform machine learning experiments ranging from fully abstracted to fully customized solutions. These include performing **automated hyperparameter optimization** and **bias detection** when dealing with intermediate requirements and objectives. We will also show how these are done with different ML libraries and frameworks such as **Scikit-learn**, **PyTorch**, **TensorfFlow**, **Keras**, **MXNet**, and more. In addition to these, I will also share some of the risks and common mistakes Machine Learning Engineers must avoid to help bridge the gap between reality and expectations. While discussing these topics, we will show how containerization and serverless engineering helps solve our technical requirements.

While discussing these concepts, tools, frameworks, and techniques, we will provide several examples and recipes on how these ML workflows and systems solve different business requirements (e.g., finance, digital transformation, automation, sales)",https://www.linkedin.com/in/joshualat/,@mrjoshualat,,,,python_joshua.png,,"machine learning,ai, engineering, metaprogramming, deep learning,data science",
No,lessons learned,Najeeb Khan,Head of People,Teamland,,,,Creating Belonging in Remote Teams,"Remote teams are more disconnected and fragmented now more than ever. 54% of employees are unattached from their work & company. 

By creating belonging through social interaction at work, it not only improves the well-being of the employees but also increases productivity.",https://www.linkedin.com/in/najeebakhan/,@itsnajeeb,,,,python_najeeb.png,,"remote,belonging,diversity",
No,deep dive,Naomi Kriger,Software Developer,Behalf,,,,String Comparison In Real Life,"Text analysis in real life can often yield unsatisfactory results due to typos, alternate phrasing, abbreviations, and more. In this talk, we'll cover practical and efficient string comparison methods using Python libraries & functions, as well as tackle some commonly faced issues.

A common problem faced by data analysts, data scientists, and many developers who need to analyze and compare data, is that texts are often similar, but not quite identical to one another. 
This can result from the existence of multiple ways to say the same thing, typos and abbreviations, common yet unindicative words (such as ""the"") and punctuation, that can all skew the results.

During this talk, I will walk you through several methods to compare inexact texts, using a few different libraries, cover the usages as well as advantages & disadvantages of each method, and tackle some commonly faced issues.

By the end of the talk, you should have a good basis to start comparing texts efficiently and elegantly in your code.",https://www.linkedin.com/in/naomi-kriger/,,,,,python_naomi.png,,"data,string matching",
No,deep dive,Nathan Epstein,Quantitative Engineer,Holocene Advisors,,,,Reinforcement Learning In Python,"What is reinforcement learning and why is it useful? How can it be implemented in Python? This talk will answer these questions in three main sections: an overview of reinforcement learning and its applications, an implementation of the algorithm using Python, and a demo applied to a real problem.

""1) Introduction & Concepts
- Definition of Reinforcement Learning 

- Relevant Concepts 
    - Markov decision process 
    - state space 
    - action space
    - transition probabilities 
    - state rewards 
    - policy 

- Using Data 
    - estimating transition probabilities and rewards from data 
    - identifying the optimal policy given estimated transition probabilities

2) Implementation in Python
- Code sample: estimating the state-transition-probability tensor
- Code sample: estimating rewards
- Code sample: iteratively solving for the optimal policy

3) Demo
- example problem
- demo use of a reinforcement learning to solve in Python""",https://www.linkedin.com/in/ne2210/,@epstein_n,,,,python_nathan.png,,"machine learning,artificial intelligence,reinforcement learning",
