Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,getting started,Shweta Mishra,Software Developer,Tata Consultancy Services,,,,Building Python Flask API in google colab,"While working on a project, if you want to create an API for your portfolio site, Flask is one of the best options you have. Simple and light, it’s easy to use! This framework provides functionalities such as handling HTTP requests and rendering HTML templates.
Google Colab on other hand, provides a virtual machine with unlimited computational capacity. However, while using it we cannot access the localhost as we do on our local machine.
We can build and get the URL of a complete flask application on Google Colab.",https://www.linkedin.com/in/shweta-mishra-374614110,,,,,python_shweta.png,,python flask api google colab,
No,getting started,Olumide Ogundare,Software Engineer & Microsoft AI MVP,,,,,Getting Started with Azure Health Bot,This session is designed to help the audience get started with bots generally and a simple demo on Azure Health Bot.,https://www.linkedin.com/in/olumideogundare,@onyxolu,,,,python_olumide.png,,azure health bot,
No,getting started,JJ Asghar,Developer Advocate,IBM,,,,Deploying a simple Python app to Kubernetes/OpenShift,"JJ will walk you through deploying a simple python application to Kubernetes/OpenShift. We'll start from the ground up, then get a complete automated build. The goal is to enable your developers to focus on code, not the infrastructure! It's a chance to see the power of OpenShift and why taking the time to learn cloud native development can get you the velocity you need.",https://www.linkedin.com/in/jjasghar,@jjasghar,,,,python_jj.png,,deploying simple app kubernetes openshift,
No,machine learning,Milecia McGregor,Developer Advocate,Iterative,,,,Using Reproducible Experiments To Create Better Machine Learning Models,"It's easy to lose track of which changes gave you the best result when you start exploring multiple model architectures. Tracking the changes in your hyperparameter values, along with code and data changes, will help you build a more efficient model by giving you an exact reproduction of the conditions that made the model better.

In this talk, you will learn how you can use the open-source tool, DVC, to increase reproducibility for two methods of tuning hyperparameters: grid search and random search. We'll go through a live demo of setting up and running grid search and random search experiments. By the end of the talk, you'll know how to add reproducibility to your existing projects.",https://www.linkedin.com/in/milecia,@FlippedCoding,,,,python_milecia.png,,reproducible experiments better ml models,
No,machine learning,Marco Carranza,Co-founder,Teamcore Tech,,,,Strategies for working with data as it grows,"Nowadays data is getting bigger and bigger, making it almost impossible to processed it in desktop machines. 

To solve this problems, a lot of new technologies (Hadoop, Spark, Presto, Dask, etc.) have emerged during the last years to process all the data using multiple clusters of computers. The challenge is that you will need to build your solutions on top of this technologies, requiring designing data processing pipelines and in some cases combining multiple technologies.

However, in some cases we don't have enough time or resources to learn to use and setup a full infrastructure to run a couple experiments. Maybe you are a researcher with very limited resources or an startup with a tight schedule to launch a product to market.

The objective of this talk is to present multiple strategies to process data as it grows, with the limitations of a single machine or with the use of clusters. The strategies will focus on technologies such as Pandas, Pyspark, Vaex and Modin.

Outline
1.- Introduction (2 mins)
2.- Vertical scaling with Pandas and the Cloud (3 mins)
3.- Keeping the memory under control by reading the data by chunks (5 mins)
4.- Processing datasets larger than the available memory with Vaex (5 mins)
5.- Scaling Pandas with Modin and Dask (5 mins)
6.- All-in with Pyspark (5 mins)
",https://www.linkedin.com/in/marcocarranza,@mcrrnz,,,,python_marco.png,,strategies data growth,
No,machine learning,Thomas Chen,Student,"Academy for Mathematics, Science & Engineering, New Jersey",,,,Python-Based Data Science Scaled Up for Humanitarian Good,"Artificial intelligence, including machine learning and deep learning, have been increasingly utilized for humanitarian applications, from combating climate change to assessing car accidents. AI has been utilized to combat human trafficking, break language barriers, support human rights protections, conserve wildlife, solve for poverty, track and prevent pandemics, detect terrorist attacks, and more. Techniques range anywhere from linear regression to convolutional neural networks, generative adversarial networks, and beyond. In this talk, we explore work in this field tackling humanitarian problems from all angles. 

This also includes mechanisms for making AI technologies more widely available to underserved communities. Interdisciplinary contributions are especially emphasized. AI for humanitarian good is a burgeoning area of work that will continue to produce novel results. Because the results we obtain are in many cases unattainable with conventional methods (computational or not), this field is one to keep an eye on in the near future. In this talk, we discuss how Python software, in particular PyTorch and Pandas, can be harness for social good.",https://www.linkedin.com/in/thomasytchen,@thomaychen,,,,python_thomas.png,,data science for humanitarian good,
No,security,David Melamed,Co-Founder & CTO,Jit,,,,Minimum Viable Security for Python Applications,"The minimum viable security (MVS) approach, enables us to easily bake security into our config files, apps, and CI/CD processes with a few simple controls built for Python applications.

In this talk we will focus on five critical security controls that will be integrated as part of the CI/CD pipeline: Bandit for static application security (SAST), Gitleaks to detect hard-coded or insufficiently secured secrets, Python dependency checks (SCA), infrastructure as code (IaC) and ZAP for API and dynamic application security (DAST), in addition to custom controls to ensure proper enforcement of MFA via Github Security.  These controls will provide a foundational framework for securing Python applications, from the first line of code, that will make it possible to continuously  iterate and evolve our security maturity, for advanced layers of security that often comes with time, as well as increased experience.  

Code examples will be showcased as part of this session.",https://www.linkedin.com/in/mlmd,@dvdmelamed,,,,python_david.png,,minimum viable security applications,
No,security,Radu Vunvulea,Group Head of Cloud Delivery,Endava,,,,COVID-19 is a cloud security catalyst,"This session aims to identify the tools that help us build secure applications and environments for Azure during the development journey. The focus is on the developers and the tools we can use to ensure that our code is secure and aligned with all the available best practices and recommendations. It’s a hands-on session, limited to 10 slides and a lot of demos.",https://www.linkedin.com/in/raduvunvulea,@RaduVunvulea,,,,python_radu.png,,covid-19 cloud security catalyst,
No,security,Tzachi Zornstain,Head of CxDustico,Checkmarx,,,,Why attackers in Code packages are getting a Pass,"Presentation Outline
1.	Refresher on recent OSS attack, establishing:
- A quick baseline of terminology and concepts, plus a focus on recent major attack found (PHP, Dependency confusion, etc)
2.	Lack of visibility 
The Python Package Index (PyPI) deals with this issue by simply removing the malicious packages without publishing its code or metadata to a central point where the package could be found and researched. 
Quite similarly, NPM removes all Code and Metadata and place a generic “security holding package” label on the package webpage, although it does publish a security advisory with varying levels of specificity.

Researchers are unable to learn from detected malicious packages. no IOC/contributor data = no hunting for more code packages.

3.	Lack of validation
One example is the process of publishing a python package to PyPi allows the publisher to link a GitHub repository to the package, then, PyPi pulls the repository statistics straight from GitHub and presents it on the package web page. The problem is, there is no validation of the connection between the package and the repository.
We will demonstrate this technique we came to call StarJacking .
4.	Lack of awareness
The entire ecosystem is focused on detecting known Vulnerabilities, many security teams believe this risk Is cover under SCA products. 
This is not the case, Vulnerabilities ≠ Malware.
We need a mindset shift and new technology stack to detect attackers in code packages.
Reactive Vs Proactive, Static signature Vs Dynamic execution
5.	Looking ahead
Most of what we do today in the field of malicious open-source software can best be described as patch management. The “cyber” point of view has yet to enter this game.
In this spirit, some thoughts of where we should be heading:
•	Malware zoo -> code package hatchery 
•	Sandbox for files -> detonation chambers for dynamic analysis of code 
•	Cross language detection 
•	TTP’s 
•	Bonus – contributors' reputation 
 
",https://www.linkedin.com/in/tzachi-zornstain-9701741b9,,,,,python_tzachi.png,,attackers code packages,
No,security,Filipi Pires,Cyber Security Evangelist,senhasegura,,,,Malware Hunting - Using python as attack weapon,"The purpose of this presentation is to use python scripts to perform some tests of efficiency and detection in various endpoint solutions, during our demonstration we`ll show a defensive security analysis with an offensive mind performing an execution some python scripts responsible for downloading some malware in Lab environment. The first objective will be to simulate targeted attacks using a python script to obtain a panoramic view of the resilience presented by the solution, with regard to the efficiency in its detection by signatures, NGAV and Machine Learning, running this script, the idea is to download these artifacts directly on the victim's machine. The second objective is to run more than one python script with daily malware, made available by MalwaresBazaar upon request via API access, downloanding daily batches of malwares.

With the final product, the front responsible for the product will have an instrument capable of guiding a mitigation and / or correction process, as well as optimized improvement, based on the criticality of the risks.

Article`s reference:
https://pentestmag.com/product/pentest-build-your-own-pentest-lab-in-2021/ ( 2x Articles published | Exploitation with Shell Reverse and Infection with PowerShell using VBS File |  Zusy Malware using MSI)
https://pentestmag.com/product/pentest-powershell-for-pentesters/ ( 2x Articles published | Testing Creative Way Detection and Efficiency in Sophos Security Sensors | Outbreak Infection from Malware Bazaar, undetected by Sophos
https://hakin9.org/product/malware-attacks/ (Hunting the Hunters-Detection and Efficiency Testing of Endpoint Security Sensors)
https://pentestmag.com/product/pentest-ransomware-prevention/ ( 2x Articles Published | Threat Hunting Labs Engines Problems in Cybereason AV | Infection with Ransomware Using Delay in Applying Policies) 
https://hakin9.org/product/cyber-threat-intelligence/ (Infection with Malware By Script Python NOT Detected by AV)
https://eforensicsmag.com/product/threat-hunting-what-why-how/ (Infection by Outbreak Attack Malicious)

Similar presentations:
https://www.youtube.com/watch?v=mJZCNqcO10A&t=51s (NahamCon's on RTV 2021 - Discovering C&C in Malicious PDFs)
https://www.youtube.com/watch?v=nxlqxLWO16k (GrayHat - Red Team Village - 2020- US) - Malware Analysis
https://www.youtube.com/watch?v=id7phzfgumg (GrayHat - Red Team Village - 2020 - US) - Pivoting Technique
https://www.youtube.com/watch?v=oWkgyPgAMsg (BSIDES DFW - 2020 - US) - Malware Analysis
https://youtu.be/-h34cWIf9T8?t=23973 (Hacktivity - Budapest 2020) - Dissecting Malware
https://www.youtube.com/watch?v=9S41xfTGQDo (D.C. Cybersecurity Professionals - 2020 - US) - Cyber Threat Hunting: Identify and Hunt Down Intruders
https://www.youtube.com/watch?v=yAjvfTYEhOw (D.C. Cybersecurity Professionals - 2020 - US) - Dissecting PDF Files to Malware Analysis
https://www.youtube.com/watch?v=0pp6xcFsXgE&feature=youtu.be (HITB -2020 - Hack In The Box Security Conference - Europe) - Threat Hunting",https://www.linkedin.com/in/filipipires,@FilipiPires,,,,python_filipi.png,,malware hunting attack weapon,
