Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
yes,,Anais Dotis-Georgiou,Developer Advocate,InfluxData,,,,Time series database: Should I use one in my application architecture?,"Why do you need a specialized database for time-series data? How do I know if a time series database is right for my application? These are questions on top of every developer's mind when building their applications architecture for time series data, and this presentation, we'll help answer them for you.",https://www.linkedin.com/in/anais-dotis/,,,,Conf42 Python 2023 - Anais Dotis Georgiou - Keynote.pdf,python_anais_dotis-georgiou.png,https://youtu.be/9j-oDghxc30,"time,series,database,application,architecture",30
yes,,Justin Patriquin,Software Engineer,Cape Privacy,,,,Protecting Sensitive Data and Machine Learning Models,"The area where data is being processed and held in memory is nearly always unencrypted and may be at higher risk of cyberattacks. This talk will share how engineers can deploy functions containing proprietary algorithms, models, and secrets while keeping your intellectual property confidential.",https://www.linkedin.com/in/justin-patriquin/,,,,Conf42 Python 2023 - Justin Patriquin.pdf,python_justin_patriquin.png,https://youtu.be/q4sLggLcytc,"sensitive,data,machine,learning,models",30
no,security,Wiktoria Dalach,"Software and Security Engineer, Writer and Speaker",,,,,Great Security Is One Question Away,"After a decade of writing code, I moved to the security team. At the job, I discovered the most useful AppSec theory ever - the CIA triad. The triad - Confidentiality, Integrity and Availability - is a powerful tool that can transform the way we approach security.",https://www.linkedin.com/in/wdalach/,@wdalach,,,Conf42 Python 2023 - Wiktoria Dalach.pdf,python_wiktoria_dalach.png,https://youtu.be/Q1NF_vC2m1w,"great,security,one,question,away",
no,testing,Everett Pompeii,Founder & Maintainer,Bencher,,,,Run Fast! Catch Performance Regressions in Python,"For the same reasons that unit tests are run in CI to prevent feature regressions, benchmarks should also be run in CI to prevent performance regressions. During this presentation, you’ll learn how to implement continuous benchmarking in your Python project.",https://www.linkedin.com/in/epompeii/,@epompeii,,,Conf42 Python 2023 - Everett Pompeii.pdf,python_everett_pompeii.png,https://youtu.be/smbrrBTAMVg,"catch,performance,regressions",
no,testing,Mario Garcia,Technical Evangelist,Percona,,,,How To Generate Test Data for Your Database Project,"For testing purposes, especially if you're building an app that uses any database technology to store information, you may need data to try out your project. In that case, you have to find a good dataset or use Faker, a Python library that you will learn how to use through this talk.",https://www.linkedin.com/in/mariogmd/,@mariogmd,,,Conf42 Python 2023 - Mario García.pdf,python_mario_garcía.png,https://youtu.be/eJ6sm-LLhOc,"generate,test,data,database,project",
no,ml,Jim Dowling,CEO,Hopsworks,,,,The machine learning pipeline is a myth - build production ML systems with feature/training/inference pipelines,"Developers often erroneously talk about ML pipelines. But real-world ML systems have many moving components, not a single monolithic ML pipeline. In this talk, we show how to build ML systems as a composition of feature pipelines, training pipelines, and inference pipelines with a shared data layer.",https://www.linkedin.com/in/jim-dowling-206a98/,@jim_dowling,,,Conf42 Python 2023 - Jim Dowling.pdf,python_jim_dowling.png,https://youtu.be/nQR3fz1KD3g,"pipeline,myth,production,ml,systems,feature,training,inference,pipelines",
no,ml,Michael Wehar,Professor,Swarthmore College,,,,Using Python to Build Applications for Language Learning,"We demonstrate how Python developers can use API's to build applications and tools for language learning. In particular, we introduce the Word of The Hour platform and the Word of The Hour Python API. Finally, we hope to inspire new collaborations between language learners and Python developers.

####[Michael's GitHub repo](https://github.com/MichaelWehar/Word-of-The-Hour-API)",https://www.linkedin.com/in/michael-wehar/,@dictionaryfeed,,,Conf42 Python 2023 - Michael Wehar.pdf,python_michael_wehar.png,https://youtu.be/shmYqKS7RcE,"build,applications,language,learning",
no,ml,Tim Spann,Principal Developer Advocate,StreamNative,David Kjerrumgaard,Developer Advocate,StreamNative,Build ML Enhanced Event Streaming Apps with Python Microservices,The easy way to build and scale machine learning apps.,https://www.linkedin.com/in/timothyspann/,@paasdev,https://www.linkedin.com/in/davidkj/,,Conf42 Python 2023 - Tim Spann.pdf,python_tim_spann_david_kjerrumgaard.png,https://youtu.be/ptjRobC1FSw,"ml,enhanced,event,streaming,apps,microservices",
no,ml,Alex Smolyak,Data Director,Kando,,,,Data science and machine learning in wastewater intelligence,"To protect our primary resource, water, we need to maximize its usage. Kando will discuss how, through methods like proprietary sensors and the utilization of Data Science & Machine Learning, it can continuously monitor the quality of wastewater and encourage safe reuse processes.",https://www.linkedin.com/in/alex-smolyak-65906919/,,,,,python_alex_smolyak.png,https://youtu.be/luDKzk56EF4,"data,science,machine,learning,wastewater,intelligence",
no,tools,Danica Fine,Senior Developer Advocate,Confluent,,,,Practical Pipelines: A Houseplant Soil Alerting System with ksqlDB,"Be a better plant parent and build a practical, event-driven pipeline with Raspberry Pi and Apache Kafka! Soil moisture readings are streamed into Kafka and transformed, driving real-time alerts. Learn how ksqlDB and Kafka Connect made this pipeline possible as we dive in and get our hands dirty!",https://www.linkedin.com/in/danica-fine/,@TheDanicaFine,,,Conf42 Python 2023 - Danica Fine.pdf,python_danica_fine.png,https://youtu.be/Sj5E_L2BMxo,"practical,pipelines,alerting,system,ksqldb",
