Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
no,getting started,Daniel Goldsmith,Senior Quantum Computing Technologist,Digital Catapult,Pippa Spencer- Williams,Senior Innovation Partner,Digital Catapult,Journey into Quantum: How do I get started on the journey to realise business benefits from quantum computing?,"Quantum computing promises to be transformational. This talk reviews opportunities and threats; assesses progress along the path to useful quantum computers, and introduces qTAP, a quantum technology programme that will start business users on their quantum journey.",https://www.linkedin.com/in/daniel-goldsmith-6091a51/,@digicatapult,,,,daniel goldsmith pippa spencer- williams_quantum.png,,"business,benefits",
no,getting started,Michal Jankowski,Quantum Computing Enabler,"Objectivity, part of Accenture",,,,Quantum computing — is it real or just hype?,"Discover the power of quantum computing in our engaging session! Learn its potential, applications, and skills required to harness this cutting-edge technology. Dive into real-world use and debunk the hype. Join us & run your first quantum app!",https://www.linkedin.com/in/michalmjankowski/,@JankowskiMichal,,,,michal jankowski_quantum.png,,"real,or,hype",
no,getting started,Emmanuel Harris,Freelance Software Developer,,,,,Unleashing the Power of Quantum Computing: From Theory to Practical Applications,"In recent years, quantum computing has emerged as a groundbreaking technology with the potential to revolutionize various fields, from cryptography and drug discovery to optimization and machine learning. 

This talk aims to provide a comprehensive overview of quantum computing, covering both its theoretical foundations and practical application. We will delve into the fundamental principles of quantum mechanics that underpin quantum computing and explore how these principles of quantum mechanics underpin quantum computing and how these principles enable exponentially faster computations compared to classical computers. Furthermore, we will discuss the current state of quantum hardware and software, highlighting the challenges and advancements in building programming quantum computers. 

Finally, we will showcase real-world use of cases and success stories, illustrating how quantum computing transforms industries and opens up new frontiers of innovation. Join us on this journey into the quantum realm and discover the immense potential of this game-changing technology.",https://www.linkedin.com/in/emmanuelsharris/,,,,,emmanuel harris_quantum.png,,"unleashing,power,theory,practical,applications",
no,getting started,Archit Srivastava,Data Analyst,Hewlett Packard Enterprise | AiQyaM,,,,In Ignotis : An introduction to Quantum Computing & Astrophysics,"Curiosity, the only thing that has led humanity to constantly evolve, learn about it's surrounding, nature, how things are related and how to improve ourselves. Curiosity has led humanity to develop and discover things unimaginable to an ordinary brain, has led to develop the unthinkable and unleash the true potential of human brain in astonishingly tough times.

This presentation, the topic is another child of curiosity, an intersection between two very vast domains of science, Astrophysics and Quantum Physics. The amalgamation of these two fields, can lead us to paths unknown, ignotus. The more we dive deep into it, the more we realise that it was just, a meagre scratch on the surface of the unknown. The relm where things make and break the boundaries of physics that we are currently aware of. 

The presentation will dive into the field exploring Quantum Gravity and how Quantum Computing can be a boon to the research going on in the field. We'll explore the research done and the current works going on in, and around globe and the potential this topic has which will help open a completely new world of possibilities and potentially leading us to the Theory of Everything.",https://www.linkedin.com/in/architsrivastava3115/,,,,,archit srivastava_quantum.png,,"in Ignotis,introduction,astrophysics",
no,ai,Prateek Jain,Quantum Computing Researcher,Fractal,,,,Quantum computing and Generative AI in Life science ,"In molecular research, simulation & design of molecules are key areas with significant implications for drug development, material science, and other fields. Current classical computational power falls inadequate to simulate any more than small molecules, let alone protein chains on hundreds of peptide. Therefore these experiments are done physically in wet-lab, but it takes a lot of time & not possible to examine every molecule due to the size of the search area, tens of billions of dollars are spent every year in these research experiments. Molecule simulation & design has lately advanced significantly by machine learning models, A fresh perspective on the issue of chemical synthesis is provided by deep generative models for graph-structured data. By optimising differentiable models that produce molecular graphs directly, it is feasible to avoid costly search techniques in the discrete and huge space of chemical structures. But these models also suffer from computational limitations when dimensions become huge and consume huge amounts of resources. Quantum Generative machine learning in recent years have shown some empirical results promising significant advantages over classical counterparts.",https://www.linkedin.com/in/pratjz/,@pratjz,,,,prateek jain_quantum.png,,"generative,ai,life,science ",
no,tools,Amit Modhwadia,,,,,,Gravity and Quantum Sensors: Revolutionizing GPS Technology,"Quantum Gravity and Quantum Sensors, particularly in the context of revolutionizing Global Positioning System (GPS) technology. We explore how advancements in both fields hold the potential to enhance the accuracy, sensitivity, and reliability of GPS systems, enabling a new era of navigation and positioning capabilities.",https://www.linkedin.com/in/amit-modhwadia/,,,,,amit modhwadia_quantum.png,,"gravity,quantum sensors,gps,tech",
no,tools,Karthiganesh Durai,Chief Quantum Architect,BosonQ Psi (BQP),,,,QML - The next big thing,"Quantum Machine Learning is promising many fundamental building blocks for larger quantum computing system.  The classification, clustering, prediction capabilities of QML is used build Machine Learning workloads.  These workloads can be used as horizontal modules for various business verticals.

QML is providing techniques like QSVM, QNN, Quanvolutional NN, QTL.

Thus the application of QML is helping the Quantum computing professionals to build Quantum computing solutions.",https://www.linkedin.com/in/karthiganesh-durai-95535872/,,,,,karthiganesh durai_quantum.png,,"qml,next,big,thing",
no,tools,Abhigyan Mishra,Qiskit Advocate,IBM,,,,Quantum inspired Algorithms - As a means of getting Quantum benefit in the NISQ era of quantum computing,"The development of Quantum-Inspired Algorithms has emerged as a promising approach to unlock quantum benefits in the Noisy Intermediate-Scale Quantum (NISQ) era of quantum computing. With the current limitations of NISQ devices in terms of qubit coherence and error rates, quantum-inspired algorithms offer a bridge between classical and quantum computing, leveraging the principles of quantum mechanics to enhance computational performance on existing hardware. ",https://www.linkedin.com/in/abhigyan-mishra-b2435b18a/,,,,,abhigyan mishra_quantum.png,,"algorithms,quantum,benefit,nisq,era",
no,tools,Myron Giannakis,Quantum Computing SG Coordinator,IEEE Branch of University of Patras,,,,Using Qiskit to create Quantum Games,What is the most effective way to introduce a revolutionary advancement to the world if not gameplay? That's what I asked myself before creating a game using qiskit for the users to test their quantum programming skills in a race to decrypt a message utilizing Quantum Key Distribution.,https://www.linkedin.com/in/myron-giannakis/,,,,,myron giannakis_quantum.png,,"qiskit,to,create,games",
no,tools,Abdullah Alsalman,Quantum Computing,,,,,Empowering Sector Readiness with Quantum Solutions,"As the potential of quantum computing continues to grow, various industries are grappling with the challenge of preparing for this complex and revolutionary technology. The need for proactive preparation and exploration of quantum computing's applications is crucial to stay ahead in the rapidly evolving landscape. 

This conference talk will delve into the importance of consultancy and governance solutions in helping sectors navigate the quantum revolution. We will discuss the reasons why sectors need to be prepared for quantum computing and emphasize the significance of proactive readiness. Drawing from real-world examples, we will highlight the benefits of quantum readiness, including increased competitiveness, improved security, and structured data. Furthermore, we will explore concrete steps that sectors can take to achieve quantum readiness, considering the potential risks and opportunities in different industries. 

These steps include establishing a quantum computing office, partnering with major quantum computing companies, and learning from quantum computing organizations. We will provide a detailed analysis of the advantages and disadvantages of each step, emphasizing the need for careful evaluation to align with sector-specific needs, goals, and available resources. 

By the end of this talk, attendees will gain valuable insights into how consultancy and governance solutions can aid sectors in preparing for the quantum computing revolution and thriving in the quantum era.",https://www.linkedin.com/in/abdullah-alsalman-74127829/,,,,,abdullah alsalman_quantum.png,,"empowering,sector,readiness",
no,deep dive,Trista Pan,Co-founder & CTO,SphereEx,,,,Dynamic data masking & encryption for MySQL/PostgreSQL with no code changes,"How to ensure data privacy and security? How is sensitive information in the database protected? How do data masking and encryption, a basic requirement for protecting data privacy and security, enable this function? This talk will focus on these questions in detail.",https://www.linkedin.com/in/panjuan/,@tristaZero,,,,trista pan_quantum.png,,"dynamic,data,masking,encryption,mysql,postgresql",
no,deep dive,Peter den Haan,Quantum Computing Specialist,Objectivity Ltd (part of Accenture),,,,Quantum and Quantum-Inspired Annealing: the State of Play,"What use are quantum computers today? Some say ""none"", but annealer-based optimizers can already provide business value. We have used annealers in a real world business context, and recently benchmarked a range of quantum and quantum-inspired annealers which we would like to present the results of.",https://www.linkedin.com/in/revpdh/,@drpeterdenhaan,,,,peter den haan_quantum.png,,"annealing,state,of,play",
no,deep dive,Roberto Magnani,Advisor,AEIT Milan and EuropIA,,,,Ethics for Quantum Computing and Artificial Intelligence,"Different organisations (private, public and international) are starting to develop AI and Quantum computing codes of ethics, through a policy statement that formally defines the role of AI /QC as it applies to the continued development of the human race.",https://www.linkedin.com/in/robertomagnani/,@roberto_magnani,,,,roberto magnani_quantum.png,,"ethics,artificial,intelligence",
no,deep dive,Sagar Kumar,Founder & CEO,Neocosmicx,,,,Quantum Computing for Cognitive Science,"Quantum computing, an emerging field at the intersection of physics, mathematics, and computer science, holds great potential for revolutionizing various disciplines. Cognitive science, the interdisciplinary study of mind and intelligence, is one such field that stands to benefit from the application of quantum computing techniques. This abstract explores the potential of quantum computing in advancing our understanding of the human mind and cognitive processes.",https://www.linkedin.com/in/sagarkumar214/,,,,,sagar kumar_quantum.png,,cognitive science,
no,lessons learned,Sara Marzella,Applied Mathematician,,,,,Quantum computing: a technological and social revolution,Why should you approach Quantum Computing even if you are not a physicist? How will you ever understand all those super difficult concepts? What are you trying to do if STEM is led by cisgender heterosexual neurotypical white males anyway? Or is it?,https://www.linkedin.com/in/sara-marzella-050b22a3/,,,,,sara marzella_quantum.png,,"technological,social,revolution",
no,lessons learned,Scott M. Graffius,"Agile Project Management Consultant, Practitioner, Trainer, Award-Winning Author, and International Speaker","Exceptional Agility, a division of Exceptional PPM and PMO Solutions",,,,What Successful AI Teams Have in Common,"What do successful AI teams have in common? They possess technical skills and critical soft skills. Those talents fuel the delivery of successful AI products, including innovative solutions that address real-world challenges and have a positive impact on the world. Attend this talk to learn more!",https://www.linkedin.com/in/scottgraffius/,@scottgraffius,,,,scott m graffius_quantum.png,,"successful,ai,teams",
no,lessons learned,Alberto García García,Quantum Computing Iberia Lead,Accenture,,,,Quantum Computing career: start and grow in the Quantum Market,"Quantum Talent is one of the biggest problems inside the Quantum Industry. Moreover, Quantum Winter is coming and companies are undecided whether to hire people. So, how can you work in the QMarket?
Come and see a clear example on how to grow in the Quantum Market till become a Quantum Leader!",https://www.linkedin.com/in/alberto-garc%C3%ADa-garc%C3%ADa-49bb8214a/,,,,,alberto garcía garcía_quantum.png,,"start,grow,market",
