Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
No,main,Adithya Sirimalla,Software Developer and DBA,Enliven Technologies,,,,Optimizing Oracle & SQL Server in the Cloud: A Practical Framework for High-Performance Database Management on AWS & Azure,"Cloud databases drive robotics and automation. Learn how to optimize Oracle & SQL Server with AWS & Azure tools improving performance, scalability, and efficiency while preparing for serverless and AI-driven futures.",https://www.linkedin.com/in/adithya-sirimalla-07a22a369/,,,,,Adithya Sirimalla_robotics.png,,"oracle,azure,cloud",
No,main,Ajitha Buvanachandran,Principal Machine Learning Engineer,"Fidelity Investments, Anna University",,,,"Agentic Intelligence in Robotics: Multi-Agent AI for Scalable, Decision-Ready Systems","Explore how robotics and multi-agent AI converge: agentic systems that decompose tasks, orchestrate intelligence, and deliver decision-ready insights. Learn how these architectures scale autonomy, ensuring robots move beyond data retrieval to real strategic reasoning.",https://www.linkedin.com/in/ajitha-buvanachandran/,,,,,Ajitha Buvanachandran_robotics.png,,"agents,scalable,ai",
No,main,Ankita Saxena,Sr. Product Manager,"Amazon, CARNEGIE MELLON UNIVERSITY",,,,Strategic Role of AI-Powered Recommendation Systems in Shaping Industries,"Discover how AI-powered recommendation systems are transforming from simple suggestion engines into strategic infrastructure driving personalization, efficiency, and competitive advantage across industries from e-commerce to robotics-enabled marketplaces.",https://www.linkedin.com/in/ankitasaxena2012/,,,,,Ankita Saxena_robotics.png,,"ai,insights,industry",
No,main,Arvind Badrinarayanan,Director of Manufacturing & Supply Chain,"Spire Integrated Solutions, MIT Sloan School of Management, USA",,,,"AI + Robotics in Supply Chains: A Proven Framework for Automation, ROI, and Scalability","Discover how AI and robotics are transforming supply chains into high-performance, automated ecosystems. Learn a proven framework to boost ROI, improve agility, and scale operations using machine learning, IoT, and intelligent robotics backed by real-world case studies.",https://www.linkedin.com/in/arvind-badrinarayanan/,,,,,Arvind Badrinarayanan_robotics.png,,"supply,automation,scaling",
No,main,Brandi Cox,No Bull Biz Launch,Quest For Clients & WebBrixx,,,,From Code to Coordination: How Systems Strategy Supercharges Robotics,"Robots don’t scale themselves. Brandi Cox shares how system strategy supports robotics teams by reducing chaos, simplifying ops, and aligning automation with real-world workflows—no burnout, just results.",https://www.linkedin.com/in/brandilyncox/,,,,,Brandi Cox_robotics.png,,"strategy,systems,robots",
No,main,Charles Antony Raj,"Senior Manager, Systems & Software Engineering",Collins Aerospace,,,,DO-178C in Multicore Avionics: Certification Paths for Electric Aircraft,"Discover how electric aircraft projects are overcoming multicore certification hurdles under DO-178C. Learn proven strategies to cut delays, ensure safety, and accelerate compliance vital for the future of robotic and electric aviation.",https://www.linkedin.com/in/charles-antony-raj-16530014/,,,,,Charles Antony Raj_robotics.png,,"avionics,certify,flight",
No,main,Mahesh Jalukuri,Senior DevOps Engineer,Envoy Global,,,,Automation for Equitable and Resilient Public Services: Cross-Sector Insights,"Discover how automation and robotics are revolutionizing public services driving resilience, equity, and 99.999% uptime across healthcare, legal, and utilities. Learn proven strategies to cut costs, boost access, and build trust in the digital age.",https://www.linkedin.com/in/mahesh-jalukuri/,,,,,Mahesh Jalukuri_robotics.png,,"automation,public,insights",
No,main,Mahipal Reddy Yalla,COO & CTO,VIRTUAL NETWORX INC,,,,SmartSAN AI: Enabling Zero-Downtime Storage Migrations with Robotics-Driven Intelligence,"Discover how SmartSAN AI brings robotics-inspired intelligence to storage migrations, turning hours of downtime into seconds. With near-perfect accuracy and automation, it delivers seamless, zero-disruption transformations for mission-critical enterprise systems.",https://www.linkedin.com/in/mahipalyalla/,,,,,Mahipal Reddy Yalla_robotics.png,,"storage,ai,migrate",
No,main,Mamta Krishnia,"Group Director, Ecommerce Product, Kelley School of Business",Walmart,,,,Deep Learning in Robotics: Driving Efficiency and Intelligent Automation,"Discover how deep learning is revolutionizing robotics with real-time vision, predictive automation, and human-robot interaction. Learn practical strategies to build intelligent, scalable, and high-performance robotic systems powered by AI.",https://www.linkedin.com/in/mamtakrishnia/,,,,,Mamta Krishnia_robotics.png,,"deep,learning,robots",
No,main,Naveen Reddy Thatigutla,Computer Network Architect,"Hitachi Vantara, JNTU Hyderabad",,,,AI-Driven Infrastructure for Robotics: Smart Network & Storage Optimization,"Learn how AI transforms network & storage infrastructure for robotics - from robot fleet coordination to real-time sensor data processing, covering practical ML techniques for autonomous systems infrastructure.",https://www.linkedin.com/in/naveen-reddy-t-952695213/,,,,,Naveen Reddy Thatigutla_robotics.png,,"network,storage,ai",
No,main,Nehal Singh,"Sr. Manager, IT Infrastructure & Productivity Apps","California State University, Long Beach",,,,Securing Robot Networks for the Quantum Era,"Quantum computers could soon compromise robotic systems. Learn how to secure your robot networks with post-quantum cryptography, using NIST standards and real-world case studies without breaking real-time performance.",https://www.linkedin.com/in/nehal-singh-664b1b120/,,,,,Nehal Singh_robotics.png,,"robotics,quantum,security",
No,main,Phani Paladugu,Executive Director - Product Management,Synopsys,,,,Building Smarter Robots: Memory and Interface Architectures for Real-Time Autonomy,"Explore how fast memory and interconnects like LPDDR6, CXL 3.1, and HBM4 are fueling real-time AI in robotics from edge autonomy to multi-agent coordination. Build robots that think and act faster, smarter, and more efficiently.",https://www.linkedin.com/in/phani-paladugu-0386864/,,,,,Phani Paladugu_robotics.png,,"memory,autonomy,systems",
No,main,Rahul Pingale,Technical Director,Wallquest,,,,"Smart Non-Woven Surfaces: IoT-Enabled Materials Engineering for Sustainable, Connected Environments.","Discover how a sustainable, PVC-free non-woven surface platform integrates IoT, sensors, and automation. Validated across ASTM, FINAT, and CDPH standards, it enables smart robotics environments with barrier coatings, adhesive tech, and embedded connectivity.",https://www.linkedin.com/in/pingale/,,,,,Rahul Pingale_robotics.png,,"iot,materials,smart",
