Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube
Yes,,"Daniel ""Spoons"" Spoonhower",CTO & Co-Founder,LightStep,,,,Driving Service Ownership with Distributed Tracing ,"While many organizations are rolling out Kubernetes, breaking up their monoliths, and adopting DevOps practices with the hope of increasing developer velocity and improving reliability, it’s not enough just to put these tools in the hands of developers: you’ve got to incentivize developers to use them. Service ownership provides these incentives, by holding teams accountable for metrics like the performance and reliability of their services as well as by giving them the agency to improve those metrics.

In this talk, I’ll cover how distributed tracing can serve as the backbone of service ownership. For SRE teams that are setting standards for their organizations, it can help drive things like documentation, communication, on-call processes, and SLOs by providing a single source of truth for what’s happening across the entire application. For embedded SRE teams, it can also accelerate root cause analysis and make alerts more actionable by showing developers what’s changed – even if that change was a dozen services away. Throughout the talk, I’ll use examples drawn from more than a decade of experience with SRE teams in organizations big and small.",https://www.linkedin.com/in/spoons/,@save_spoons,,,sre2020_driving_service_ownership.pdf,sre_daniel.png,https://youtu.be/azmyU4_7VYI
Yes,,Nikolaus Rath,Tech Lead,Google (SRE) London,,,,From application to product ownership: an SRE team's journey,"In the past, my team was responsible for specific applications/ executables. Now, we are responsible for specific for end-user workflows, no matter which executables they involve. I will describe the technical and social changes that necessitated and enabled this change of paradigm. At the end of 2019, our team supported in the order of 200 executables/microservices that provide functionality for Google's products in the advertising space.

This number was the result of continuous growth over more than 10 years.",https://www.linkedin.com/in/nikolaus-rath-85342235/,,,,,sre_nikolaus.png,https://youtu.be/mZfIHxkonxg
Yes,,Mikolaj Pawlikowski,Software Engineer Project Lead,Bloomberg LP,,,,SREs love Chaos Engineering,"What's Chaos Engineering? Is it part of SRE? Is it breaking things randomly in production? 
In this talk, we'll try to settle these questions once and for all, and to give you a life-like demo of what Chaos Engineering looks like in practice!",https://www.linkedin.com/in/mikolajpawlikowski/,@mikopawlikowski,,,,sre_miko.png,https://youtu.be/9pBMn3DwHNY
No,culture,Amber Vanderburg,Founder ,The PathWayz Group,,,,Building and Leading Remote Teams,"The world of work is constantly changing as we create new products, provide excellent service, and collaborate on new ventures. 

I'll give you tools to overcome remote team challenges from confronting communication frustrations, setting expectations, and strategically building/equipping the right-fit remote team.",https://www.linkedin.com/in/amber-vanderburg-86817833/,@vanderburgamber,,,,sre_amber.png,https://youtu.be/dICC8Vv5YoM
No,security,Aaron Rinehart,CTO,Verica,Jamie Dicken,Manager of Security Engineering ,Cardinal Health,Applied Security: Crafting Secure and Resilient Distributed Systems using Chaos Engineering,"Join Jamie Dicken and Aaron Rinehart to learn about how they implemented Security Chaos Engineering as a practice at their organizations to proactively discover system weakness before they were taken advantage of by malicious adversaries.

In this session Jamie and Aaron will introduce a new concept known as Security Chaos Engineering and share their experiences in  applying Security Chaos Engineering to create highly secure, performant, and resilient distributed systems.",https://www.linkedin.com/in/aaronsrinehart/,@aaronrinehart,https://www.linkedin.com/in/jdicken/,@Jamie_Dicken,sre2020_applied_security.pdf,sre_aaronjamie.png,https://youtu.be/Sb7T997maRw
No,deep dive,Ryan Dawson,Core Member,Seldon Open Source Team,,,,Machine Learning in Production: An Intro to MLOps,"Reliably deploying and maintaining machine learning applications is complex. There's a dizzying array of tools and they look different from the usual DevOps tools. 

To apply SRE skils to ML, we need to understand the specific challenges of ML build-deploy-monitor workflows. We'll use reference examples to understand the cycle in terms of data prep, training, rollout and monitoring. We'll see that some key challenges relate to training models from slices of large and varying data domains - a problem alien to the mainstream DevOps world.",https://www.linkedin.com/in/ryan-dawson-501ab9123/,@ryandawsongb,,,,sre_ryand.png,https://youtu.be/UlmCJl8ZsT4
No,security,Yury Nino Roa,SRE,Aval Digital Labs,,,,Security Chaos Engineering: Considerations for Gamedays when the Experiments are Cyberattacks,"SREs main task is to keep the operations up and running. An SRE dealing with Kubernetes has many challenges to keep resilience is at the desired level and improving over time. 

In this talk we will go through techniques to measure and improve resilience of Kubernetes platforms in a Cloud-Native way.",https://www.linkedin.com/in/yurynino/,@yurynino,,,sre2020_security_ce.pdf,sre_yury.png,https://youtu.be/hnoahDG03P0
No,deep dive,Uma Mukkara,COO ,MayaData,,,,Increasing Kubernetes Resilience for an SRE,SREs main task is to keep the operations up and running. An SRE dealing with Kubernetes has many challenges to keep resilience is at the desired level and improving over time. In this talk we will go through techniques to measure and improve resilience of Kubernetes platforms in a Cloud-Native way.,https://www.linkedin.com/in/uma-mukkara/,@Uma_Mukkara,,,,sre_uma.png,https://youtu.be/eY6NguDGuo0
No,deep dive,Aman Parauliya,Senior Software Engineer ,Infracloud,,,,Tinkerbell: An Automated Bare Metal Provisioning Engine,"In Cloud Native world, bare metal servers are critical for performance & security related applications. Tinkerbell solves the problem of provisioning and lifecycle management for bare metal. Starting with bare metal concepts, we will cover provisioning from small IOT devices to big rack servers.",https://www.linkedin.com/in/aman-parauliya-55023855/,@amanparauliya,,,sre2020_tinkerbell.pdf,sre_aman.png,https://youtu.be/tMow4OAWkwY
No,culture,Amber Vanderburg,Founder ,The PathWayz Group,,,,The Innovation Ninja,"Organizations must be innovative to be competitive, valuable, and relevant. In you’re like many organizations today, you might be wondering how our season of widespread isolation will affect the product and service innovation in your organization. 
Limits can encourage and inspire creativity, but there’s also proactive steps that you can take to unlock creative genius in individuals and in teams.",https://www.linkedin.com/in/amber-vanderburg-86817833/,@vanderburgamber,,,,sre_amber.png,https://youtu.be/oiFKNQFUF7I
