Featured,Track,Name1,JobTitle1,Company1,Name2,JobTitle2,Company2,Title,Abstract,LinkedIn1,Twitter1,LinkedIn2,Twitter2,Slides,Picture,YouTube,Keywords,Duration
Yes,,Emily Arnott,Blog Content Writer,Blameless,Christina Tan,Strategy,Blameless,Elephant in the Blameless War Room - Accountability,"How do you reconcile the ideals of blamelessness with a demand for blame? When is accountability actually required? We'll navigate these challenges by explaining:

**How to empathize with blameful people** - we'll look at how their goals align with yours, even if their methods are archaic  
**How to skilfully respond to a demand for blame** - blameful peoples' goals can be achieved blamelessly - here's how to communicate that  
**When is accountability necessary?** - sometimes accountability is part of the best way forward - let's figure out when  
**How to be blamelessly accountable** - true accountability requires blamelessness - we'll show you why

#### [Blameless](https://www.blameless.com) is Platinum Sponsor of the conference. [Visit the subpage](https://www.conf42.com/blameless)",,@EmilyArnott8,https://www.linkedin.com/in/christina-xiao-tan/,@etoilezhhjd,,sre_emily_christina.png,,elephant in the room,
Yes,,Cristina Buenahora Bustamante,Founding Engineer,Cortex,,,,Evangelizing the SRE mindset: Building a culture of reliability and ownership,"Most engineers respond to messages or emails from an SRE or security engineer with disdain. They often see the work of these teams as another hurdle to getting code out the door and a tax on their productivity. 

We know they’re wrong. We need to spread the SRE mindset and approach to all engineering teams and pivot their thinking towards “How can I build a solution that is resilient, secure, and scalable?”, and “How can I partner with my SRE and security teams to make this a reality?”.

This talk will take a deep dive into the core principles of SRE thinking and how to create a culture of reliability and ownership, with practical takeaways that you can use with your own teams. 

####Key Discussion Points (Outline)
* How do SREs define their role?
* How do engineers define the SRE role?
* How do we bring these two together?
* What does it mean to foster a culture of reliability and ownership?
* How can you apply this to your delivery machine?
* What products or services can help achieve these goals?

#### [Cortex](https://www.cortex.io) is Platinum Sponsor of the conference. [Visit the subpage](https://www.conf42.com/cortex)",https://www.linkedin.com/in/cristina-buenahora-964a0084/,@crisgoodtime,,,,sre_cristina.png,,"evangelizing,culture,ownership",
Yes,,Umasankar Mukkara,CEO,Chaos Native,,,,Improving resilience through continuous SLO validation using chaos engineering,This session describes the techniques to Improve resilience through continuous SLO validation,https://www.linkedin.com/in/uma-mukkara/,@Uma_Mukkara,,,,sre_uma.png,,continuous SLO validation using chaos engineering,
Yes,,Robert Ross,CEO,FireHydrant,,,,Pragmatic Incident Response: 5 lessons learned from failures,"Incident response is overwhelming. So where do you start? There's a lot of advice out there, but it's mostly theories that aren't taking reality into account. So how do you get a process in place that actually works and scales? 

In this session, FireHydrant CEO and Co-Founder, Robert Ross, will share stories (good and bad) from his experience as an SRE and what 5 pragmatic tips he’s learned along the way on building a successful incident response process.",https://www.linkedin.com/in/bobby-tables/,@bobbytables,,,,sre_robert.png,,"pragmatic,incident response",
Yes,,Alayshia Knighten,"Team Lead, Onboarding Engineering",Honeycomb.io,,,,SLI Negotiation Tactics for Engineers,"Service level indicators are quantitative measures of a service, which in turn, are measured by SLOs. This is not the talk you think it is. 

As Engineers, we have our own SLIs, which are Survival Level Indicators, that measure and define if we are okay or not okay at a job. What happens when the rockstar engineer, who performs essential task A and B, hasn't taken vacation in 9 months? Over time, not meeting SLIs can take its toll on engineers. How do we avoid burnout, turnover, and wider destruction in our teams?

In this session, I will review different strategies to identify human burnout versus company personal objectives.Engineers share the same importance as customers and we should provide technical love to them as well.",https://www.linkedin.com/in/alayshia/,,,,,sre_alayshia.png,,"SLI,negociation",
Yes,,Itiel Shwartz,CTO,Komodor,,,,How to Empower Developers to Troubleshoot K8s Independently,"In the “good old days”, Ops/IT teams were responsible for handling issues when applications crash. In the world of microservices, however, developers are required to take on a bigger role in identifying and fixing issues in production, sometimes without having proper tools, privileges or even training.
So how can we empower developers to troubleshoot efficiently and independently?

Join us as Itiel Shwartz, co-founding CTO at Komodor, discusses:

* How to turn developers into k8s troubleshooting experts
* What culture and mindset changes are needed to succeed
* The link between chainge management and troubleshooting

",https://www.linkedin.com/in/itiel-shwartz-18542853/,@itielshwartz,,,,sre_itiel.png,,troubleshoot K8s independently,
Yes,,Allen Vailliencourt,Solutions Engineer,Teleport,,,,Keys or Certs for SSH Access? Why should I care?,"Today's software developers, DevOps teams, SRE's, and SysAdmins are familiar with the concept of public-key cryptography for gaining access to remote resources but using public and private keys has its limitations and can be difficult to scale and manage. Consider leveraging short-term certificates for SSH access over keys and rest easy! 

This talk will go over the pros and cons of using keys vs certificates and how to get started using short-term certificates!",https://www.linkedin.com/in/allenv/,@Valien,,,,sre_allen.png,,"Keys,Certs,SSH Access",
Yes,,Gunnar Grosch,Developer Advocate,AWS,,,,Improve Resilience with automated chaos engineering,"The transition into more complex systems is accelerating, and chaos engineering has proved to be a great-to-have option in our toolbox to handle this complexity. But the speed at which we're developing and deploying makes it hard to keep up through manual chaos experiments, so we turn to automation. 

In this session, we'll look at how automated chaos experiments help us cover a more extensive set of experiments than we can cover manually and how it allows us to verify our assumptions over time as unknown parts of the system change.",https://www.linkedin.com/in/gunnargrosch/,@GunnarGrosch,,,,sre_gunnar.png,,"resiliency,performance,automated chaos engineering",
No,observability,Parveen Khan,Senior QA Consultant,ThoughtWorks,,,,Peek into Observability from testers lens,"It is common yet quite new to hear the term ‘Observability’. But what does that mean?
Is it just another new acronym for monitoring? 

In this current modern technology world where we are working with so many different types of systems - microservices, distributed system and many others which are kind of huge spider webs. 
Imagine while testing these distributed systems and you have no clue of what’s going on under the hood. Gone are the days where testers have to rely only testing the user interface or the api’s. 
I worked on a distributed system where no one had an answer to what’s going wrong whenever there was a production issue each time. We had some monitoring and logging in place but we had no clue where to look at when things went wrong on production.
There was a need to have more powerful insights of the internals of the system and more than that there was a need for visibility to understand what’s happening under the hood of the system which is giving the team the superpowers to predict the future. 

This is where we started first steps into ‘Observability’. In this talk, I’ll share my journey of adoption of a culture of observability within the engineering team. 

Key takeaways
* What is observability
* Why is it important
* How does it help the team
* How observability can support testing. 
",https://www.linkedin.com/in/parveen-khan/,@Parveen_Khan10,,,,sre_parveen.png,,"peek into observability,testers lens",
No,observability,Andrei Danilov,Platform Engineer,Typeform,,,,Go global or go home! Monitoring your platform from multiple locations,"Setting-up a system of monitoring production availability in multiple regions might seem pretty straightforward if we’re looking at this strictly from a tooling perspective: Postman, DataDog, New Relic, AWS, Uptrends, Cloudfare (and the list can go on), they all offer solutions that are super easy to setup, manage and maintain. However, the real challenges are behind the use of the tool: 
* How do we select the regions and locations to monitor?
* Do we want to monitor exact particular location (eg: a city) or broad areas (eg: countries)
* What do we consider a failure (typical HTTP error codes, certain time thresholds?)
* Do all the selected areas have the same importance to the business?
* Do all the monitored areas trigger the alerts with the same priority?
* How often do we want our platform to be monitored?
* Who owns the actions to fix this in case of failure?
* How do I flag these monitors so I don’t mess up with company data?
* How do we design the monitors so in case of failure, we don’t get a cascade of alerts?

In this session I plan to answer all of the above questions, combining with examples from my personal work experience on the topic. 
An agenda would look something like this:
* About the Speaker
* Why is the topic important?
* Building your own strategy: things to consider
* Choosing the tool 
* Showcase of an already working solution
* Conclusions
* Q&A on Discord

After the session you'll be able to: 
* Get a good grip of why this topic is important and in which context
* Understand how to create a strategy for monitoring different world areas that applies to the realities of their own company
* Understand what tools they can use to achieve that
",https://www.linkedin.com/in/andreidanilov/,,,,,sre_andrei.png,,"go global,monitoring,platform,multiple locations",
