id,name,url
7bulls,7bulls,https://www.7bulls.com/en
adl,Aval Digital Labs,https://www.adldigitallab.com/
aws,Amazon Web Services (AWS),https://aws.amazon.com/
bol,bol.com,https://www.bol.com/nl/?country=BE&approved=true&language=nl-BE
boomer,BoomerTechnologyGroup,https://www.boomertechnologygroup.com/
bxblue,bxblue,https://bxblue.com.br
certus,Certus Cybersecurity,https://www.certuscyber.com
chaosiq,Chaos IQ,https://chaosiq.io
chaosnative,Chaos Native,https://www.linkedin.com/company/chaos-native
crowdsec,CrowdSec,https://crowdsec.net
effx,effx.com,https://www.effx.com
elastic,elastic,https://www.elastic.co
element84,Element84,https://www.element84.com
firehydrant,FireHydrant,https://firehydrant.io
gocardless,GoCardless,https://gocardless.com
google,Google,https://sre.google
gremlin,Gremlin,https://www.gremlin.com
hazelcast,Hazelcast,https://hazelcast.com
insidedev,[ Inside Dev ],https://inside.com/dev
jetbrains,Jet Brains,https://www.jetbrains.com
kmmx,KMMX,https://kmmx.mx
kulkul,Kulkul Technology,https://kulkul.tech
lightrun,Lightrun,https://lightrun.com/
lightstep,Lightstep,https://lightstep.com
locelle,Locelle,https://locelle.com
manning,Manning Publications,https://www.manning.com
mayadata,MayaData,https://mayadata.io
microsoft,Microsoft,https://www.microsoft.com/en-gb
nuaware,Nuaware,https://www.nuaware.com
ordina,Ordina,https://www.ordina.be/en/
pagerduty,PagerDuty,https://www.pagerduty.com/
pathwayz,The Pathwayz Group,https://www.thepathwayzgroup.com
plasmic,Plasmic,https://www.plasmic.app
redhat,Red Hat,https://www.redhat.com/
rookout,Rookout,https://www.rookout.com
snyk,Snyk,https://snyk.co/conf24
stackpulse,StackPulse,https://stackpulse.com
techevents,Tech Events Online,https://www.techevents.online
thenewstack,The New Stack,https://thenewstack.io
theodo,Theodo,https://www.theodo.co.uk
trivadis,Trivadis,https://www.trivadis.com/en/index.html
zuhlke,Zuhlke,https://www.zuehlke.com/en
ibm,IBM,https://www.ibm.com/uk-en?p1=Search&p4=43700060804246913&p5=e&gclid=Cj0KCQjwrsGCBhD1ARIsALILBYqD-wsrYuc0feJTiNB1YHOesS743NqnjmQN1XpNwjH0_A0HKJexTFUaAtmzEALw_wcB&gclsrc=aw.ds
moogsoft,Moogsoft,https://www.moogsoft.com/
honeycomb,Honeycomb,https://www.honeycomb.io/
earthly,Earthly,https://earthly.dev/
mongodb,MongoDB,https://www.mongodb.com/3
qwinix,Qwinix,https://www.qwinix.io/
