Sponsor,Title,YouTube,Body,Website,LinkedIn,Twitter,Facebook
andela,Andela: Your career destination is here,https://youtu.be/e3mmQCCPAJY,"Cloudsmith is the leading Continuous Packaging platform for engineers looking to set up a secure, cloud-native artifact repository in 60 seconds. Cloudsmith offers support for 28+ formats, has 225 points of presence, and integrates with all of the tools you already use and love. When it comes to securing your software supply chain in the Cloud, we've got you covered!

**Ready to learn more?**

- Download our latest O'Reilly Report: [**The Rise of Continuous Packaging**](https://cloudsmith.com/developers/resources/the-rise-of-continuous-packaging)
- [Schedule a demo](https://calendly.com/d/cmm-7s5-bwj/cloudsmith-demo)
- Sign up for a [free 14-day trial](https://cloudsmith.com/signup/) (no credit card required!)
- Explore our [Cloudsmith guides](https://help.cloudsmith.io/docs) to help you easily get started
- We're hiring! Check out our open positions [here](https://apply.workable.com/cloudsmith)

[![](./assets/custom/cloudsmith_banner.PNG)](https://cloudsmith.com/signup)

",https://andela.com,https://www.linkedin.com/company/andela/,@Andela,
blameless,The End-to-End SRE Platform,https://youtu.be/TtvsfqGeOQI,"####Blameless provides engineering teams with an end-to-end SRE platform that empowers teams to optimize reliability without compromising innovation velocity. By streamlining incident response, DevOps and SRE teams continuously learn, improve and stay resilient.

Latest Blameless sessions at Conf42:

* Keynote - [Too many people in the room?](https://www.conf42.com/Incident_Management_2022_Nick_Mason_Emily_Arnott_too_many_people) by [Emily Arnott](https://www.linkedin.com/in/emily-arnott-788181198/%20Twitter:%20https://twitter.com/EmilyArnott8) and [Nick Mason](https://www.linkedin.com/in/nicholas-mason-9481a2149)
* Talk - [Varieties of Incident Management](https://www.conf42.com/Incident_Management_2022_Kurt_Andersen_varieties_incident_response) by [Kurt Andersen](https://www.linkedin.com/in/kurta1)

Make sure to check out the most recenr blog post - [How to Become a Master at Incident Command](https://www.blameless.com/incident-response/best-practices-pragmatic-incident-command)

* [Join our SRE community Slack channel](https://www.blameless.com/slack-community)
* [Try Blameless Now](https://www.blameless.com/try-now)
* [Schedule Demo](https://www.blameless.com/schedule-demo)
* [Resilience in Action podcast featuring John Allspaw](https://www.blameless.com/podcast/resilience-in-action-e14-resilience-is-the-audacity-of-adaptive-capacity-ft-john-allspaw)
* [Check out our SRE blog](https://www.blameless.com/sre)
* Subscribe to Blameless on [YouTube](https://www.youtube.com/channel/UC1O9RGv3FGJau091DD09ooQ)
* Participate in a raffle - [win Beats Solo Wireless](https://info.blameless.com/raffle-conf42-incident-management)!

#### [Blameless](https://www.blameless.com) - Platinum Sponsor of [Conf42 Incident Management 2022](https://www.conf42.com/im2022)",https://www.blameless.com,https://se.linkedin.com/company/blameless,@blamelesshq,
chaosnative,Cloud Native Chaos Engineering Workshop by ChaosNative,,"##Workshop Overview

Chaos Engineering has evolved in the past few years with the development of the Cloud-Native paradigm.  Chaos testing is seen as a must for all Cloud-Native practitioners emphasizing reliability as a container challenge.  With the introduction of the LitmusChaos tool which helps curate Cloud-Native Chaos Engineering in a controlled way, practicing Chaos has become easier. Belonging to the CNCF ecosystem, Litmus stresses upon applying Chaos Engineering to modern architectures and building resilient applications simultaneously. The features and ideas majorly surround Community Collaboration, Observability, GitOps, Open APIs & much more. This talk stresses on the evolution of Chaos Engineering with the introduction of the LitmusChaos 2.0

##Target Audience

This workshop is intended for SREs, DevOps practitioners, Developers, Software Engineers, Students, and anyone else who is interested in learning the art and value of chaos engineering and resilience. This workshop also includes a certification option. You have a chance to become a __LitmusChaos Certified Chaos Practitioner__.

## Setup Details

The labs for the workshop will be on an online platform, all we require is a stable internet connection.

## Speakers

- Sayan Mondal, Software Engineer, ChaosNative

- Neelanjan Manna, Software Engineer, ChaosNative

##[Register for the Workshop](https://www.chaosnative.com/cnce-workshop)!",https://www.chaosnative.com/cnce-workshop,https://www.linkedin.com/company/chaos-native,@chaosnative,
cloudsmith,"Universal Artifact Management, Made Simple with Cloudsmith",https://youtu.be/mzVE3KAXu-E,"###Cloud-native, Secure, Universal Artifact Management Made Simple by Cloudsmith

Cloudsmith is the only truly cloud-native platform for engineers looking to set up a secure, cloud-native artifact repository in 60 seconds. Cloudsmith offers 24/7 engineer support, 225 points of presence, support for 28+ formats, and is ISO 270001 certified.

We make universal artifact management simple, easy and secure. Ownership of how your software artifacts, containers, and packages are pulled in, stored, and distributed is vital. It's the central point everything should pass through, and going forwards, as supply chain attacks increase, every single opening in your supply chain is a vector for attack.

You need a single source of truth, for all software and dependencies, that isolates and protects your teams and customers from supply chain attacks.

**Verifying assets with Continuous Packaging**

From signature verification to Docker vulnerability scanning, Cloudsmith helps you continuously assess threats and prevent tampering or corruption of your software. Easily protect your customers by shipping clean software only. Using Continuous Packaging (CP), Cloudsmith offers the observability and control to ensure that your software is always verified, packaged, and ready to deliver.

**The Package Delivery Network for Distributors**

Cloudsmith's Package Delivery Network (PDN) was built specifically for software distribution at the edge. Use entitlement tokens to seamlessly sell and distribute your software while utilizing custom domains to increase trust and present your brand as the DNS endpoint for global delivery. Whether deploying, or shipping licensed software to your customers, our global Package Delivery Network (PDN) is optimized to ensure lightning-fast delivery.

**Repositories Built The Way You Want**

Cloudsmith's multi-format repositories allow you to create a repository structure that works for your unique teams and processes. No more repository-per-format used. Instead, you can have as many formats within a repo as you like - letting you create a repo per environment (dev, stage, production), project, or per format.

**Ready to learn more?**

- Download Cloudsmith's latest O'Reilly Report:[**The Rise of Continuous Packaging**](https://cloudsmith.com/developers/resources/the-rise-of-continuous-packaging/)
- [Schedule a demo](https://calendly.com/d/cmm-7s5-bwj/cloudsmith-demo)
- Sign up for a free [14-day trial](https://cloudsmith.com/signup)(no credit card required!)
- Explore our[Cloudsmith guides](https://help.cloudsmith.io/docs) to help you easily get started
- Cloudsmith is hiring! Check out our open positions [here](https://apply.workable.com/cloudsmith)

Don't forget to tune into our session **[The Future is Cloud-native and Your Organization Should Be Too](https://www.conf42.com/Cloud_Native_2022_Ciara_Carey_future_is_cloudnative_your_organization)** with **[Ciara Carey](https://www.linkedin.com/in/ciara-carey-7540173), Developer Relations, Cloudsmith.**",http://www.cloudsmith.com,https://www.linkedin.com/company/cloudsmith,@cloudsmith,
cortex,Build reliable and innovative software at scale,,"####Cortex is a Software Engineering Platform that helps engineering teams build higher quality software by providing them visibility into complex service architectures and giving them the tools required to establish a culture of service reliability and ownership, drive adoption of best practices, and accelerate developer velocity

* [Learn more](https://www.cortex.io/products/scorecard/?utm_source=conf42) about how Cortex helps teams establish best practices
* [Book a demo](https://www.cortex.io/demo/?utm_source=conf42)
* Case study: [How Clever standardized service quality across its 500+ services](https://www.cortex.io/case-study/clever/?utm_source=conf42)

Read about [how to improve your influence as an SRE](https://www.cortex.io/post/4-ways-to-improve-your-influence-as-an-sre/?utm_source=conf42)

#### [Cortex](https://www.cortex.io) - Platinum Sponsor of [Conf42 SRE 2021](https://www.conf42.com/sre2021)",https://www.cortex.io,https://www.linkedin.com/company/30581230,@GetCortexApp,
firehydrant,Incident management for every developer,https://youtu.be/OMNhbLtWJhI,"####Incidents impact everyone, not just SREs. FireHydrant gives teams the tools to maintain service catalogs, respond to incidents, communicate through status pages, and learn with retrospectives.

* [How FireHydrant Works](https://firehydrant.com/how-it-works)
* [Create your free account](https://app.firehydrant.io/registrations/new)
* [Watch a free demo](https://firehydrant.com/demo)
* Check out the [pricing](https://firehydrant.com/pricing)
* Get inspired while reading the [Blog](https://firehydrant.com/blog)

#### [FireHydrant](https://firehydrant.com) - Diamond Sponsor of [Conf42 Incident Management 2022](https://www.conf42.com/im2022)",https://firehydrant.com/,https://www.linkedin.com/company/firehydrant/,@FireHydrant,
jeli,Not Incidents. ‍Opportunities.,,"### Not Incidents. Opportunities.

![](./assets/custom/jeli subpage item 1.PNG)

Every incident is an opportunity that reveals how your organization really works.

Jeli allows you to see that opportunity.

![](./assets/custom/jeli subpage item 2.PNG)

### Streamline your investigation

Incidents rarely happen or play out as expected. Jeli takes you through a customized, step-by-step process for each incident that results in a thorough, annotated timeline with the right data, comments and questions to learn from incidents, not just fix them.

Jeli starts by collecting the necessary information from your current technical tools using our Incident Response Bot. Our bot won't disrupt your work with unhelpful messages. Instead, it helps pinpoint often overlooked human factors.

### Automatically create a timeline that makes sense

Jeli's timelines give you a clear overview of who, what, where and when from the start of an incident to its resolution.

![](./assets/custom/jeli subpage item 3.PNG)

### Add details & color

Anyone on the team can categorize, tag and comment in the timeline, to build out the story and identify the right questions for follow-ups, interviews and reports.

### Reveal deep insights across incidents

Jeli is designed to make cross-incident analysis inviting and easy. Exploring multiple incidents over time lets teams find organizational contributing factors (code freeze!), identify islands of knowledge among staff, and provide evidence to re-align staffing and spending. Jeli is designed from the ground up to replace the grind of post-mortems with the joy of learning.

![](./assets/custom/jeli subpage item 4.PNG)


### Creating opportunities at industry leaders

Jeli is used by leading companies including Honeycomb, Zendesk, Indeed, Xero, Unity and Codesee.


### Yes, we're hiring!

We're actively seeking a Head of Marketing, Customer Success Manager, and always on the lookout for good engineers. [Get in touch](https://www.jeli.io/careers)!




",https://www.jeli.io/,https://www.linkedin.com/company/jeli-inc/,@jeli_io,
microsoft,Microsoft Azure at Conf42 Golang 2022,,"![](./assets/sponsors/microsoft.png)

Microsoft wants to help the Golang community grow.

They are missing the opportunity to meet with Go developers in person this year, and they are putting all our energy into connecting virtually.

Meanwhile, Microsoft invites you to check the technical resources below:

* __[Microsoft Azure](https://aka.ms/AzureAtConf42Golang2022) at Conf42 Golang 2022__

Learn to use the Azure SDK for Go, browse API references, sample code, tutorials, quick-starts, conceptual articles and more.

![](./assets/custom/Conf42-Golang2022_31032022.png)

* __[Azure Heroes](https://aka.ms/AzureHeroesAtConf42Golang) at Conf42 Golang 2022__

Blockchain-based digital badges (NFTs). A fun way to earn digital collectibles for inclusive behaviour and meaningful impact in the technical community. Your unique badger is very special and cryptographically secured by the blockchain (independent of the Azure Heroes programme) so it requires a blockchain wallet to safely store it.

![](./assets/custom/AzureHeroesQRCode.png)

* __[Cloud Skills Challenge](https://aka.ms/MicrosoftAzureAtConf42Golang) - Golang 2022__

Free course @ Microsoft LEARN! Learn all things about how to safeguard your cloud resources!

#### [Microsoft](https://aka.ms/AzureAtConf42Golang2022) - Gold Sponsor of [Conf42 Golang 2022](https://www.conf42.com/golang2022)",https://aka.ms/AzureAtConf42Golang2022,https://www.linkedin.com/company/microsoft,@MSdevIRL,
mulesoft,"Connect everything, empower everyone.",https://youtu.be/rCk597HqWKc,"####Connect with your customers in a new way – unlock, integrate, and act on data from any system, faster.

* [Start a free trial](https://www.mulesoft.com/platform/enterprise-integration)
* [Walk through the getting started guide](https://developer.mulesoft.com/tutorials-and-howtos/getting-started/hello-mule)
* [Join a meetup in your area](https://meetups.mulesoft.com)
* Learn more about MuleSoft training with this special Conf42 discount

#### [MuleSoft](https://www.mulesoft.com) - Platinum Sponsor of [Conf42 Site Reliability Engineering 2022](https://www.conf42.com/sre2022)",https://www.mulesoft.com/,https://www.linkedin.com/company/mulesoft/,@MuleSoft,
teleport,Quickly access any computing resource anywhere,https://youtu.be/8dDRW37fsy4,"####Teleport allows engineers and security professionals to unify access for SSH servers, Kubernetes clusters, web applications, and databases across all environments.

* [About Teleport](https://goteleport.com/about)
* [Get started with Teleport](https://goteleport.com/pricing)
* [Upcoming Events](https://goteleport.com/about/events)
* Teleport on [YouTube](https://www.youtube.com/channel/UC1O9RGv3FGJau091DD09ooQ)

Teleport has their own [Blog](https://goteleport.com/blog), a great read for all folks in the field!

#### [Teleport](https://goteleport.com) - Platinum Sponsor of [Conf42 DevSecOps 2022](https://www.conf42.com/devsecops2022)",https://goteleport.com,https://www.linkedin.com/company/go-teleport,@goteleport,
