Name,Job,Company,Twitter,Testimonial,Event,Speaker,Headshot
Yury Nino,Cloud Infrastructure Engineer,Google,@yurynino,"As Site Reliability Engineers, we must develop a broad range of soft and hard skills. For me, some of the most important include communication, teaching, and sharing knowledge. The Conf42 Conference Series has been a great ally in developing those skills. Being a speaker at three conferences opened many opportunities for me and allowed me to connect with incredible colleagues.",Conf42 Site Reliability Engineering,Yes,sre_yury_nino.png
Liam Hampton,Cloud Advocate,Microsoft,@liamchampton,"The Conf42 team is super easy to work with and made the whole process seamless from application to presentation. They delivered a well-organized, high-quality virtual conference, which was well-received from the community interaction I had afterward. The team was always on hand to help, making the experience very enjoyable. I will certainly be submitting CFPs for upcoming Conf42 events.",Conf42 Golang,Yes,golang_liam_conroy_hampton.png
Henrik Rexed,Cloud Native Advocate,Dynatrace,@hrexed,"The organizers are responsive, and the agenda provides lots of good topics for our community.",Conf42 Observability,Yes,henrik rexed_obser.png
Archit Srivastava,Data Analyst,Hewlett Packard Enterprise | AiQyaM,,"What I liked the most was the openness of the conference, allowing us to bring in topics we were most comfortable presenting. Especially Mark :-)",Conf42 Quantum Computing,Yes,archit srivastava_quantum.png
Emmanuel Samir Harris,Freelance Software Developer,,,The platform provided by Conf42 for my speaking engagement was the best I have ever had. Thank you.,Conf42 Quantum Computing,Yes,emmanuel harris_quantum.png
Hamida Rebai,MVP in Developer Technologies,Microsoft,@rebaihamida,The streaming format worked great!,Conf42 DevOps,Yes,devops_rebai_hamida.png
Jesus Espino,Staff Engineer,Mattermost,@jespinog,"Everything was crystal clear regarding when and how everything should be done. The templates and explanations were great, and you kept us well-informed during the process.",Conf42 Golang,Yes,golang_jesus_espino.png
Spiros Economakis,Head of Cloud Infrastructure,Mattermost,@spirosoik,There was very good coordination on when everything needs to be delivered.,Conf42 Platform Engineering,Yes,Spiros Economakis_platform.png
Vadim Tsaregorodtsev,Lead Software Engineer,Emerging Travel Group,@v_hadoocken,"Everything at the conference was well-organized, and the instructions provided were clear and concise. The attention to detail in the planning was evident, making it easy for attendees to navigate and participate in the events. The organizers did an excellent job ensuring that all aspects of the conference ran smoothly, from the registration process to the scheduling of sessions. Overall, the organization and execution of the conference were impressive, contributing significantly to a productive and enjoyable experience.",Conf42 JavaScript,Yes,Vadim Tsaregorodtsev_js.png
Tim Spann,Developer Advocate,StreamNative,@paasdev,"It's so easy to participate, and the event is well-run! The attendees are great too! It's my favorite event series!",Conf42 Artificial Intelligence & Machine Learning,Yes,ml_tim.png
